Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,Machine_ID,Breakdown,Operating_Time_Minutes,Repair_Time_Minutes,Failure_Code,Planned_Time_Minutes,Run_Time_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units,Downtime_Minutes
M7907,MA1AB100000000907,WO10907,SUV Pro,PAINT-1,STN-02,2026-03-02 00:53,ENG-1315,SUP-072,EMP240,TL-033,A,MC-103,No,472,0,,480,470,0.87,501,2,499,10
M7908,MA1AB100000000908,WO10908,Hatch Z,GA-1,STN-05,2026-03-02 00:55,ENG-1089,SUP-152,EMP177,TL-085,,MC-105,No,442,0,,480,475,0.89,595,5,590,5
M7909,MA1AB100000000909,WO10909,SUV Pro,GA-2,STN-03,2026-03-02 00:56,ENG-1400,SUP-180,EMP220,TL-063,B,MC-101,No,455,0,,480,471,0.84,516,6,510,9
M7910,MA1AB100000000910,WO10910,Hatch Z,GA-1,STN-03,2026-03-02 00:57,ENG-1043,SUP-038,EMP178,TL-064,,MC-102,No,427,0,,480,474,1.16,594,0,594,6
M7911,MA1AB100000000911,WO10911,SUV Pro,GA-2, stn-05 ,2026-03-02 00:58,ENG-1225,SUP-186,EMP185,TL-027,C,MC-104,No,426,0,,480,430,0.93,516,8,508,50
M7912,MA1AB100000000912,WO10912,Sedan X,PAINT-1,Stn-03,2026-03-02 01:00,ENG-1419,SUP-030,EMP126,TL-022,,MC-105,No,475,0,,480,454,0.94,566,4,562,26
M7913,MA1AB100000000913,WO10913,SUV Pro,TRIM-1,STN-03,2026-03-02 01:01,ENG-1243,SUP-192,EMP372,TL-030,,MC-104,No,454,0,,480,442,0.85,461,14,447,38
M7914,MA1AB100000000914,WO10914,Hatch Z,TRIM-1,STN-04,2026-03-02 01:02,ENG-1134,SUP-038,EMP371,TL-056,A,MC-103,No,449,0,,480,451,1.12,526,8,518,29
M7915,MA1AB100000000915,WO10915,SUV Pro,TRIM-1,STN-04,2026-03-02 01:03,ENG-1347,SUP-081,EMP371,TL-088,A,MC-102,No,462,0,,480,446,1.02,533,2,531,34
M7916,MA1AB100000000916,WO10916,Sedan X,PAINT-1,Stn-03,2026-03-02 01:05,ENG-1221,SUP-157,EMP239,TL-043,C,MC-105,No,423,0,,480,474,0.88,469,4,465,6
M7917,MA1AB100000000917,WO10917,SUV Pro,GA-1,STN-03,2026-03-02 01:06,ENG-1335,SUP-150,EMP300,TL-060,B,MC-104,No,470,0,,480,427,1.12,573,7,566,53
M7918,MA1AB100000000918,WO10918,Hatch Z,GA-2,STN-05,2026-03-02 01:07,ENG-1172,SUP-174,EMP192,TL-041,A,MC-104,No,474,0,,480,469,1.01,563,8,555,11
M7919,MA1AB100000000919,WO10919,Hatch Z,GA-1,Stn-03,2026-03-02 01:08,ENG-1034,SUP-004,EMP310,TL-013,A,MC-101,No,450,0,,480,433,1.12,573,5,568,47
M7920,MA1AB100000000920,WO10920,Hatch Z,TRIM-1,STN-03,2026-03-02 01:10,ENG-1112,SUP-186,EMP245,TL-033,B,MC-104,No,430,0,,480,456,1.08,462,2,460,24
M7921,MA1AB100000000921,WO10921,Sedan X,GA-1,STN-05,2026-03-02 01:11,ENG-1047,SUP-015,EMP211,TL-077,A,MC-103,No,422,0,,480,476,0.97,543,9,534,4
M7922,MA1AB100000000922,WO10922,Hatch Z,GA-1,STN-01,2026-03-02 01:12,ENG-1438,SUP-155,EMP166,TL-049,B,MC-104,Yes,443,51,F002,480,444,0.94,569,13,556,36
M7923,MA1AB100000000923,WO10923,Sedan X,GA-2,STN-03,2026-03-02 01:13,ENG-1150,SUP-120,EMP138,TL-082,,MC-103,No,441,0,,480,433,1.16,574,7,567,47
M7924,MA1AB100000000924,WO10924,SUV Pro,TRIM-1, stn-05 ,2026-03-02 01:15,ENG-1462,SUP-171,EMP265,TL-033,B,MC-103,No,476,0,,480,438,0.87,542,8,534,42
M7925,MA1AB100000000925,WO10925,Sedan X,PAINT-1,Stn-03,2026-03-02 01:16,ENG-1031,SUP-098,EMP298,TL-043,A,MC-101,No,422,0,,480,471,0.84,454,7,447,9
M7926,MA1AB100000000926,WO10926,SUV Pro,PAINT-1,STN-02,2026-03-02 01:17,ENG-1225,SUP-018,EMP351,TL-026,,MC-102,No,423,0,,480,426,1.14,538,6,532,54
M7927,MA1AB100000000927,WO10927,Sedan X,TRIM-1,STN-01,2026-03-02 01:18,ENG-1073,SUP-139,EMP320,TL-028,A,MC-103,No,431,0,,480,477,1.07,500,2,498,3
M7928,MA1AB100000000928,WO10928,SUV Pro,PAINT-1,STN-01,2026-03-02 01:20,ENG-1017,SUP-019,EMP136,TL-074,C,MC-104,No,421,0,,480,471,1.17,489,0,489,9
M7929,MA1AB100000000929,WO10929,SUV Pro,GA-1,STN-04,2026-03-02 01:21,ENG-1076,SUP-168,EMP100,TL-005,,MC-104,No,427,0,,480,421,1.04,468,7,461,59
M7930,MA1AB100000000930,WO10930,SUV Pro,GA-2, stn-05 ,2026-03-02 01:22,ENG-1168,SUP-101,EMP394,TL-001,,MC-103,Yes,435,71,F003,480,427,1.2,469,4,465,53
M7931,MA1AB100000000931,WO10931,SUV Pro,TRIM-1,STN-04,2026-03-02 01:23,ENG-1432,SUP-187,EMP135,TL-070,B,MC-104,No,467,0,,480,456,0.97,529,1,528,24
M7932,MA1AB100000000932,WO10932,Sedan X,TRIM-1, stn-05 ,2026-03-02 01:25,ENG-1418,SUP-200,EMP346,TL-016,C,MC-105,No,440,0,,480,467,0.83,554,7,547,13
M7933,MA1AB100000000933,WO10933,SUV Pro,PAINT-1,STN-04,2026-03-02 01:26,ENG-1028,SUP-162,EMP146,TL-047,C,MC-101,No,427,0,,480,420,1.07,555,6,549,60
M7934,MA1AB100000000934,WO10934,Sedan X,TRIM-1,Stn-03,2026-03-02 01:27,ENG-1392,SUP-075,EMP203,TL-023,A,MC-104,No,426,0,,480,454,0.9,530,3,527,26
M7935,MA1AB100000000935,WO10935,SUV Pro,GA-2,STN-03,2026-03-02 01:28,ENG-1356,SUP-100,EMP154,TL-081,C,MC-101,No,446,0,,480,438,0.96,517,7,510,42
M7936,MA1AB100000000936,WO10936,SUV Pro,GA-1, stn-05 ,2026-03-02 01:30,ENG-1224,SUP-189,EMP197,TL-018,A,MC-103,No,444,0,,480,463,0.95,582,15,567,17
M7937,MA1AB100000000937,WO10937,Sedan X,GA-1, stn-05 ,2026-03-02 01:31,ENG-1303,SUP-062,EMP350,TL-050,A,MC-103,No,424,0,,480,468,0.93,519,2,517,12
M7938,MA1AB100000000938,WO10938,Hatch Z,PAINT-1,STN-04,2026-03-02 01:32,ENG-1273,SUP-116,EMP108,TL-005,C,MC-103,No,451,0,,480,466,1.01,481,9,472,14
M7939,MA1AB100000000939,WO10939,Sedan X,PAINT-1,Stn-03,2026-03-02 01:33,ENG-1369,SUP-011,EMP307,TL-016,B,MC-101,Yes,447,33,F002,480,461,1.04,548,14,534,19
M7940,MA1AB100000000940,WO10940,Hatch Z,TRIM-1, stn-05 ,2026-03-02 01:35,ENG-1445,SUP-138,EMP176,TL-095,B,MC-104,No,449,0,,480,428,0.83,507,14,493,52
M7941,MA1AB100000000941,WO10941,Sedan X,GA-1, stn-05 ,2026-03-02 01:36,ENG-1072,SUP-126,EMP109,TL-061,A,MC-105,No,443,0,,480,424,1.16,471,14,457,56
M7942,MA1AB100000000942,WO10942,Sedan X,GA-2,STN-01,2026-03-02 01:37,ENG-1088,SUP-162,EMP125,TL-040,A,MC-101,No,466,0,,480,452,0.94,571,14,557,28
M7943,MA1AB100000000943,WO10943,SUV Pro,GA-2,Stn-03,2026-03-02 01:38,ENG-1302,SUP-017,EMP154,TL-015,,MC-105,No,442,0,,480,443,1.09,485,4,481,37
M7944,MA1AB100000000944,WO10944,Hatch Z,GA-2,STN-01,2026-03-02 01:40,ENG-1411,SUP-052,EMP318,TL-044,,MC-104,No,432,0,,480,456,0.94,495,10,485,24
M7945,MA1AB100000000945,WO10945,SUV Pro,GA-1, stn-05 ,2026-03-02 01:41,ENG-1294,SUP-140,EMP170,TL-042,B,MC-104,No,422,0,,480,471,0.85,593,9,584,9
M7946,MA1AB100000000946,WO10946,Sedan X,GA-2,STN-03,2026-03-02 01:42,ENG-1032,SUP-031,EMP240,TL-019,,MC-101,No,423,0,,480,439,0.93,581,4,577,41
M7947,MA1AB100000000947,WO10947,Sedan X,PAINT-1,STN-05,2026-03-02 01:43,ENG-1084,SUP-113,EMP224,TL-075,A,MC-102,No,427,0,,480,447,0.89,588,3,585,33
M7948,MA1AB100000000948,WO10948,Sedan X,GA-1,Stn-03,2026-03-02 01:45,ENG-1433,SUP-162,EMP292,TL-100,B,MC-105,No,449,0,,480,452,0.92,540,4,536,28
M7949,MA1AB100000000949,WO10949,Sedan X,TRIM-1,STN-01,2026-03-02 01:46,ENG-1003,SUP-002,EMP191,TL-012,C,MC-103,No,468,0,,480,463,1.07,511,4,507,17
M7950,MA1AB100000000950,WO10950,SUV Pro,TRIM-1, stn-05 ,2026-03-02 01:47,ENG-1064,SUP-053,EMP173,TL-082,C,MC-105,No,476,0,,480,442,1.07,522,9,513,38
M7951,MA1AB100000000951,WO10951,Hatch Z,TRIM-1,STN-04,2026-03-02 01:48,ENG-1122,SUP-045,EMP119,TL-077,B,MC-104,No,430,0,,480,468,0.88,473,7,466,12
M7952,MA1AB100000000952,WO10952,Hatch Z,TRIM-1,STN-05,2026-03-02 01:50,ENG-1486,SUP-023,EMP254,TL-045,,MC-104,No,460,0,,480,453,1.08,491,13,478,27
M7953,MA1AB100000000953,WO10953,Sedan X,GA-2,STN-02,2026-03-02 01:51,ENG-1060,SUP-136,EMP148,TL-080,C,MC-101,No,477,0,,480,440,1.05,562,12,550,40
M7954,MA1AB100000000954,WO10954,Hatch Z,GA-2,STN-04,2026-03-02 01:52,ENG-1394,SUP-161,EMP206,TL-036,A,MC-102,No,455,0,,480,420,0.86,544,5,539,60
M7955,MA1AB100000000955,WO10955,Sedan X,GA-1,Stn-03,2026-03-02 01:53,ENG-1076,SUP-176,EMP342,TL-064,B,MC-103,No,425,0,,480,427,1.03,563,13,550,53
M7956,MA1AB100000000956,WO10956,Sedan X,GA-1,STN-01,2026-03-02 01:55,ENG-1330,SUP-094,EMP245,TL-027,,MC-105,No,453,0,,480,448,0.82,505,5,500,32
M7957,MA1AB100000000957,WO10957,SUV Pro,PAINT-1,STN-05,2026-03-02 01:56,ENG-1412,SUP-195,EMP332,TL-006,A,MC-102,No,433,0,,480,465,1.06,551,15,536,15
M7958,MA1AB100000000958,WO10958,Hatch Z,GA-1,STN-05,2026-03-02 01:57,ENG-1090,SUP-041,EMP114,TL-063,A,MC-103,No,473,0,,480,448,0.91,462,1,461,32
M7959,MA1AB100000000959,WO10959,Sedan X,GA-2, stn-05 ,2026-03-02 01:58,ENG-1227,SUP-152,EMP396,TL-042,,MC-104,No,420,0,,480,442,1.04,524,2,522,38
M7960,MA1AB100000000960,WO10960,Sedan X,PAINT-1,STN-02,2026-03-02 02:00,ENG-1398,SUP-029,EMP266,TL-030,A,MC-104,No,467,0,,480,439,1.18,516,13,503,41
M7961,MA1AB100000000961,WO10961,Sedan X,TRIM-1,Stn-03,2026-03-02 02:01,ENG-1102,SUP-097,EMP212,TL-010,,MC-101,No,435,0,,480,454,1.08,450,13,437,26
M7962,MA1AB100000000962,WO10962,Hatch Z,TRIM-1,STN-01,2026-03-02 02:02,ENG-1455,SUP-112,EMP174,TL-028,,MC-101,No,457,0,,480,445,1.02,535,3,532,35
M7963,MA1AB100000000963,WO10963,Sedan X,TRIM-1,STN-03,2026-03-02 02:03,ENG-1069,SUP-118,EMP199,TL-081,C,MC-105,No,479,0,,480,441,1.03,497,9,488,39
M7964,MA1AB100000000964,WO10964,SUV Pro,GA-2,STN-03,2026-03-02 02:05,ENG-1065,SUP-009,EMP391,TL-008,C,MC-102,No,429,0,,480,470,0.9,522,1,521,10
M7965,MA1AB100000000965,WO10965,Sedan X,GA-1,Stn-03,2026-03-02 02:06,ENG-1238,SUP-118,EMP314,TL-022,C,MC-102,No,477,0,,480,466,0.99,547,6,541,14
M7966,MA1AB100000000966,WO10966,Sedan X,PAINT-1,STN-05,2026-03-02 02:07,ENG-1080,SUP-164,EMP187,TL-074,B,MC-103,Yes,422,20,F004,480,463,0.82,524,1,523,17
M7967,MA1AB100000000967,WO10967,Sedan X,TRIM-1,Stn-03,2026-03-02 02:08,ENG-1267,SUP-126,EMP210,TL-076,,MC-105,No,452,0,,480,456,1.0,502,1,501,24
M7968,MA1AB100000000968,WO10968,SUV Pro,PAINT-1,STN-01,2026-03-02 02:10,ENG-1373,SUP-110,EMP226,TL-032,C,MC-101,Yes,453,65,F004,480,451,1.19,526,5,521,29
M7969,MA1AB100000000969,WO10969,SUV Pro,GA-2,STN-05,2026-03-02 02:11,ENG-1484,SUP-039,EMP393,TL-001,,MC-105,No,464,0,,480,427,1.0,541,12,529,53
M7970,MA1AB100000000970,WO10970,Sedan X,GA-1,STN-04,2026-03-02 02:12,ENG-1375,SUP-197,EMP358,TL-005,,MC-104,No,448,0,,480,461,1.1,575,10,565,19
M7971,MA1AB100000000971,WO10971,Hatch Z,TRIM-1,STN-04,2026-03-02 02:13,ENG-1414,SUP-179,EMP150,TL-058,,MC-101,No,425,0,,480,478,1.16,522,7,515,2
M7972,MA1AB100000000972,WO10972,Sedan X,GA-1,STN-05,2026-03-02 02:15,ENG-1385,SUP-004,EMP308,TL-028,B,MC-102,No,420,0,,480,444,1.03,515,15,500,36
M7973,MA1AB100000000973,WO10973,SUV Pro,PAINT-1,STN-02,2026-03-02 02:16,ENG-1331,SUP-024,EMP108,TL-062,C,MC-101,No,446,0,,480,444,0.85,563,7,556,36
M7974,MA1AB100000000974,WO10974,Sedan X,TRIM-1,Stn-03,2026-03-02 02:17,ENG-1292,SUP-192,EMP398,TL-004,,MC-104,No,428,0,,480,433,1.2,505,11,494,47
M7975,MA1AB100000000975,WO10975,SUV Pro,GA-2,Stn-03,2026-03-02 02:18,ENG-1360,SUP-104,EMP194,TL-048,,MC-101,No,435,0,,480,455,1.0,504,14,490,25
M7976,MA1AB100000000976,WO10976,Hatch Z,GA-1,Stn-03,2026-03-02 02:20,ENG-1321,SUP-019,EMP297,TL-089,C,MC-102,No,425,0,,480,420,0.97,502,10,492,60
M7977,MA1AB100000000977,WO10977,Hatch Z,GA-1,STN-03,2026-03-02 02:21,ENG-1218,SUP-193,EMP238,TL-090,B,MC-104,Yes,462,54,F002,480,437,0.83,526,6,520,43
M7978,MA1AB100000000978,WO10978,Hatch Z,GA-1,STN-05,2026-03-02 02:22,ENG-1450,SUP-086,EMP128,TL-066,C,MC-103,No,474,0,,480,460,1.09,547,5,542,20
M7979,MA1AB100000000979,WO10979,Sedan X,GA-1,STN-04,2026-03-02 02:23,ENG-1187,SUP-120,EMP120,TL-047,C,MC-105,No,457,0,,480,458,1.14,459,4,455,22
M7980,MA1AB100000000980,WO10980,Sedan X,GA-1,STN-05,2026-03-02 02:25,ENG-1363,SUP-199,EMP204,TL-018,C,MC-103,Yes,449,74,F002,480,466,1.01,450,3,447,14
M7981,MA1AB100000000981,WO10981,Sedan X,GA-1, stn-05 ,2026-03-02 02:26,ENG-1244,SUP-189,EMP397,TL-090,B,MC-104,No,445,0,,480,476,0.87,592,13,579,4
M7982,MA1AB100000000982,WO10982,Hatch Z,GA-2,STN-03,2026-03-02 02:27,ENG-1180,SUP-069,EMP357,TL-088,,MC-104,No,475,0,,480,467,1.08,478,10,468,13
M7983,MA1AB100000000983,WO10983,SUV Pro,GA-1,STN-01,2026-03-02 02:28,ENG-1190,SUP-089,EMP331,TL-063,A,MC-104,No,449,0,,480,473,0.88,545,1,544,7
M7984,MA1AB100000000984,WO10984,SUV Pro,PAINT-1,STN-04,2026-03-02 02:30,ENG-1317,SUP-095,EMP133,TL-025,,MC-102,No,420,0,,480,466,0.94,549,3,546,14
M7985,MA1AB100000000985,WO10985,Sedan X,GA-1,STN-04,2026-03-02 02:31,ENG-1459,SUP-046,EMP247,TL-010,A,MC-104,No,424,0,,480,452,0.9,538,15,523,28
M7986,MA1AB100000000986,WO10986,Sedan X,PAINT-1,STN-01,2026-03-02 02:32,ENG-1356,SUP-038,EMP354,TL-020,B,MC-105,No,464,0,,480,432,1.01,507,5,502,48
M7987,MA1AB100000000987,WO10987,Hatch Z,GA-1,STN-03,2026-03-02 02:33,ENG-1213,SUP-175,EMP377,TL-017,,MC-102,No,422,0,,480,479,1.06,467,12,455,1
M7988,MA1AB100000000988,WO10988,SUV Pro,TRIM-1,STN-04,2026-03-02 02:35,ENG-1377,SUP-166,EMP110,TL-038,B,MC-104,No,468,0,,480,449,1.02,458,8,450,31
M7989,MA1AB100000000989,WO10989,Sedan X,GA-1,Stn-03,2026-03-02 02:36,ENG-1410,SUP-060,EMP366,TL-083,C,MC-102,No,480,0,,480,458,0.87,508,11,497,22
M7990,MA1AB100000000990,WO10990,SUV Pro,PAINT-1, stn-05 ,2026-03-02 02:37,ENG-1330,SUP-084,EMP348,TL-076,,MC-105,No,456,0,,480,473,0.89,584,12,572,7
M7991,MA1AB100000000991,WO10991,SUV Pro,PAINT-1,STN-05,2026-03-02 02:38,ENG-1067,SUP-079,EMP187,TL-034,B,MC-105,No,470,0,,480,453,0.89,592,0,592,27
M7992,MA1AB100000000992,WO10992,SUV Pro,PAINT-1,STN-03,2026-03-02 02:40,ENG-1394,SUP-013,EMP175,TL-046,C,MC-102,No,459,0,,480,446,1.0,545,13,532,34
M7993,MA1AB100000000993,WO10993,SUV Pro,GA-2,STN-05,2026-03-02 02:41,ENG-1473,SUP-042,EMP374,TL-037,B,MC-101,No,467,0,,480,479,1.19,555,15,540,1
M7994,MA1AB100000000994,WO10994,Sedan X,GA-2,STN-02,2026-03-02 02:42,ENG-1121,SUP-030,EMP121,TL-041,B,MC-103,No,452,0,,480,467,1.06,531,15,516,13
M7995,MA1AB100000000995,WO10995,SUV Pro,PAINT-1,STN-03,2026-03-02 02:43,ENG-1094,SUP-053,EMP387,TL-091,A,MC-104,No,463,0,,480,465,1.14,534,11,523,15
M7996,MA1AB100000000996,WO10996,Hatch Z,PAINT-1,STN-03,2026-03-02 02:45,ENG-1075,SUP-096,EMP329,TL-070,B,MC-103,No,423,0,,480,439,0.84,589,7,582,41
M7997,MA1AB100000000997,WO10997,Hatch Z,PAINT-1,STN-01,2026-03-02 02:46,ENG-1471,SUP-007,EMP307,TL-064,B,MC-105,No,443,0,,480,464,0.81,526,6,520,16
M7998,MA1AB100000000998,WO10998,SUV Pro,PAINT-1,STN-02,2026-03-02 02:47,ENG-1002,SUP-190,EMP379,TL-065,C,MC-103,No,422,0,,480,430,1.02,464,15,449,50
M7999,XX1 2 3 4,WO10999,Hatch Z,PAINT-1,STN-04,2026-03-02 02:48,ENG-1458,SUP-075,EMP393,TL-086,B,MC-101,No,431,0,,480,448,0.89,521,9,512,32
M8000,MA1AB100000001000,WO11000,Hatch Z,TRIM-1,STN-03,2026-03-02 02:50,ENG-1352,SUP-029,EMP345,TL-006,B,MC-103,No,465,0,,480,459,0.93,515,3,512,21
M8001,MA1AB100000001001,WO11001,Hatch Z,GA-1,STN-03,2026-03-02 02:51,ENG-1012,SUP-103,EMP212,TL-058,C,MC-103,Yes,465,41,F002,480,462,1.09,566,5,561,18
M8002,MA1AB100000001002,WO11002,Sedan X,PAINT-1,STN-01,2026-03-02 02:52,ENG-1311,SUP-165,EMP199,TL-075,B,MC-105,No,435,0,,480,453,0.84,546,15,531,27
M8003,MA1AB100000001003,WO11003,SUV Pro,GA-2,STN-01,2026-03-02 02:53,ENG-1042,SUP-138,EMP328,TL-087,A,MC-105,No,461,0,,480,432,1.15,594,8,586,48
M8004,MA1AB100000001004,WO11004,Hatch Z,TRIM-1,STN-02,2026-03-02 02:55,ENG-1251,SUP-082,EMP361,TL-008,C,MC-104,No,480,0,,480,443,0.97,549,2,547,37
M8005,MA1AB100000001005,WO11005,SUV Pro,GA-2, stn-05 ,2026-03-02 02:56,ENG-1437,SUP-110,EMP289,TL-050,C,MC-102,No,475,0,,480,453,1.04,458,3,455,27
M8006,MA1AB100000001006,WO11006,Sedan X,PAINT-1,STN-03,2026-03-02 02:57,ENG-1179,SUP-079,EMP328,TL-072,A,MC-104,No,433,0,,480,420,0.82,592,12,580,60
M8007,MA1AB100000001007,WO11007,Sedan X,TRIM-1, stn-05 ,2026-03-02 02:58,ENG-1212,SUP-114,EMP247,TL-021,,MC-105,No,468,0,,480,463,0.82,521,10,511,17
M8008,MA1AB100000001008,WO11008,Hatch Z,TRIM-1,STN-02,2026-03-02 03:00,ENG-1427,SUP-151,EMP144,TL-019,B,MC-104,No,442,0,,480,444,1.07,459,0,459,36
M8009,MA1AB100000001009,WO11009,SUV Pro,TRIM-1,Stn-03,2026-03-02 03:01,ENG-1268,SUP-086,EMP133,TL-076,,MC-103,No,452,0,,480,457,0.82,584,2,582,23
M8010,MA1AB100000001010,WO11010,Sedan X,GA-1,STN-04,2026-03-02 03:02,ENG-1327,SUP-070,EMP312,TL-023,,MC-103,No,437,0,,480,447,1.05,510,10,500,33
M8011,MA1AB100000001011,WO11011,Hatch Z,GA-2,STN-02,2026-03-02 03:03,ENG-1095,SUP-098,EMP248,TL-071,,MC-105,Yes,443,59,F004,480,445,0.92,515,1,514,35
M8012,MA1AB100000001012,WO11012,Sedan X,PAINT-1,Stn-03,2026-03-02 03:05,ENG-1299,SUP-078,EMP352,TL-072,,MC-105,No,453,0,,480,441,0.92,465,6,459,39
M8013,MA1AB100000001013,WO11013,Sedan X,GA-1,Stn-03,2026-03-02 03:06,ENG-1001,SUP-040,EMP234,TL-039,,MC-104,No,450,0,,480,475,1.18,547,2,545,5
M8014,MA1AB100000001014,WO11014,Sedan X,PAINT-1,STN-04,2026-03-02 03:07,ENG-1091,SUP-126,EMP225,TL-004,A,MC-104,No,463,0,,480,459,1.15,505,13,492,21
M8015,MA1AB100000001015,WO11015,SUV Pro,TRIM-1,STN-01,2026-03-02 03:08, eng-1001 ,SUP-154,EMP285,TL-075,,MC-103,No,477,0,,480,457,0.92,536,6,530,23
M8016,MA1AB100000001016,WO11016,Hatch Z,TRIM-1,Stn-03,2026-03-02 03:10,ENG-1132,SUP-161,EMP343,TL-089,A,MC-102,No,459,0,,480,466,0.95,566,3,563,14
M8017,MA1AB100000001017,WO11017,SUV Pro,GA-1,Stn-03,2026-03-02 03:11,ENG-1132,SUP-042,EMP397,TL-008,B,MC-102,No,463,0,,480,464,0.92,521,10,511,16
M8018,MA1AB100000001018,WO11018,SUV Pro,TRIM-1, stn-05 ,2026-03-02 03:12,ENG-1069,SUP-092,EMP183,TL-007,C,MC-105,No,471,0,,480,477,0.85,547,14,533,3
M8019,MA1AB100000001019,WO11019,SUV Pro,TRIM-1, stn-05 ,2026-03-02 03:13,ENG-1466,SUP-092,EMP124,TL-038,C,MC-104,No,476,0,,480,467,1.18,526,15,511,13
M8020,MA1AB100000001020,WO11020,Hatch Z,GA-1,STN-05,2026-03-02 03:15,ENG-1099,SUP-197,EMP193,TL-098,A,MC-102,Yes,477,73,F001,480,424,1.06,474,3,471,56
M8021,MA1AB100000001021,WO11021,Hatch Z,GA-2,STN-05,2026-03-02 03:16,ENG-1165,SUP-081,EMP254,TL-035,C,MC-104,No,477,0,,480,451,1.09,589,13,576,29
M8022,MA1AB100000001022,WO11022,Sedan X,PAINT-1,Stn-03,2026-03-02 03:17,ENG-1073,SUP-004,EMP170,TL-067,C,MC-101,No,424,0,,480,467,0.97,583,10,573,13
M8023,MA1AB100000001023,WO11023,SUV Pro,TRIM-1,STN-04,2026-03-02 03:18,ENG-1174,SUP-042,EMP152,TL-028,B,MC-103,No,437,0,,480,435,0.88,498,2,496,45
M8024,MA1AB100000001024,WO11024,Hatch Z,GA-2,Stn-03,2026-03-02 03:20,ENG-1096,SUP-144,EMP369,TL-069,A,MC-104,No,429,0,,480,460,1.05,492,6,486,20
M8025,MA1AB100000001025,WO11025,SUV Pro,TRIM-1,STN-01,2026-03-02 03:21,ENG-1059,SUP-034,EMP108,TL-062,C,MC-104,No,475,0,,480,461,0.9,582,12,570,19
M8026,MA1AB100000001026,WO11026,SUV Pro,PAINT-1,STN-02,2026-03-02 03:22,ENG-1418,SUP-114,EMP367,TL-098,C,MC-104,No,480,0,,480,438,1.17,563,5,558,42
M8027,MA1AB100000001027,WO11027,Sedan X,PAINT-1,STN-01,2026-03-02 03:23,ENG-1381,SUP-031,EMP213,TL-017,B,MC-102,No,438,0,,480,460,1.18,516,11,505,20
M8028,MA1AB100000001028,WO11028,Hatch Z,GA-2,STN-03,2026-03-02 03:25,ENG-1064,SUP-054,EMP166,TL-011,,MC-104,No,463,0,,480,421,1.19,454,5,449,59
M8029,MA1AB100000001029,WO11029,Hatch Z,GA-1,STN-01,2026-03-02 03:26,ENG-1009,SUP-199,EMP347,TL-097,,MC-101,No,428,0,,480,446,0.89,558,1,557,34
M8030,MA1AB100000001030,WO11030,Sedan X,GA-2,STN-01,2026-03-02 03:27,ENG-1016,SUP-169,EMP362,TL-076,A,MC-102,No,446,0,,480,466,0.92,593,14,579,14
M8031,MA1AB100000001031,WO11031,SUV Pro,GA-1,STN-03,2026-03-02 03:28,ENG-1022,SUP-017,EMP254,TL-086,A,MC-105,No,461,0,,480,460,1.14,458,2,456,20
M8032,MA1AB100000001032,WO11032,Sedan X,GA-1,STN-05,2026-03-02 03:30,ENG-1105,SUP-151,EMP202,TL-024,C,MC-105,Yes,432,23,F001,480,429,0.99,535,5,530,51
M8033,MA1AB100000001033,WO11033,Sedan X,GA-1,STN-02,2026-03-02 03:31,ENG-1433,SUP-192,EMP242,TL-075,C,MC-103,No,434,0,,480,460,1.02,491,7,484,20
M8034,MA1AB100000001034,WO11034,SUV Pro,GA-2,Stn-03,2026-03-02 03:32,ENG-1256,SUP-200,EMP223,TL-065,A,MC-101,No,453,0,,480,469,1.09,531,6,525,11
M8035,MA1AB100000001035,WO11035,Sedan X,GA-1,STN-05,2026-03-02 03:33,ENG-1111,SUP-184,EMP198,TL-037,B,MC-104,No,446,0,,480,479,0.88,463,8,455,1
M8036,MA1AB100000001036,WO11036,Hatch Z,GA-1, stn-05 ,2026-03-02 03:35,ENG-1050,SUP-055,EMP358,TL-091,,MC-101,No,461,0,,480,445,0.99,498,0,498,35
M8037,MA1AB100000001037,WO11037,SUV Pro,GA-2,STN-04,2026-03-02 03:36,ENG-1344,SUP-028,EMP192,TL-046,,MC-105,No,440,0,,480,470,0.83,556,14,542,10
M8038,MA1AB100000001038,WO11038,SUV Pro,GA-2,STN-05,2026/03/02 03:37,ENG-1116,SUP-105,EMP157,TL-098,C,MC-104,No,462,0,,480,437,0.81,571,7,564,43
M8039,MA1AB100000001039,WO11039,Sedan X,TRIM-1,STN-01,2026-03-02 03:38,ENG-1266,SUP-035,EMP353,TL-098,C,MC-101,No,473,0,,480,474,1.19,508,10,498,6
M8040,MA1AB100000001040,WO11040,Hatch Z,PAINT-1,STN-05,2026-03-02 03:40,ENG-1369,SUP-011,EMP142,TL-042,,MC-102,No,449,0,,480,431,1.09,572,11,561,49
M8041,MA1AB100000001041,WO11041,Sedan X,TRIM-1,STN-03,2026-03-02 03:41,ENG-1233,SUP-154,EMP259,TL-088,,MC-104,No,428,0,,480,469,1.05,593,15,578,11
M8042,MA1AB100000001042,WO11042,Sedan X,TRIM-1,STN-03,2026-03-02 03:42,ENG-1437,SUP-110,EMP196,TL-009,,MC-102,No,439,0,,480,424,0.88,471,12,459,56
