Supplier_Code,Supplier_Name,Part_Number,VIN,Claim_ID,Failure_Code,Warranty_Cost,Claim_Status
SUP-019,Auto Supplier 19,ENG-1321,MA1AB100000000976,,,,
SUP-193,Auto Supplier 193,ENG-1218,MA1AB100000000977,,,,
SUP-086,Auto Supplier 86,ENG-1450,MA1AB100000000978,,,,
SUP-120,Auto Supplier 120,ENG-1187,MA1AB100000000979,,,,
SUP-199,Auto Supplier 199,ENG-1363,MA1AB100000000980,,,,
SUP-189,Auto Supplier 189,ENG-1244,MA1AB100000000981,,,,
SUP-069,Auto Supplier 69,ENG-1180,MA1AB100000000982,,,,
SUP-089,Auto Supplier 89,ENG-1190,MA1AB100000000983,,,,
SUP-095,Auto Supplier 95,ENG-1317,MA1AB100000000984,,,,
SUP-046,Auto Supplier 46,ENG-1459,MA1AB100000000985,,,,
SUP-038,Auto Supplier 38,ENG-1356,MA1AB100000000986,,,,
SUP-175,Auto Supplier 175,ENG-1213,MA1AB100000000987,,,,
SUP-166,Auto Supplier 166,ENG-1377,MA1AB100000000988,,,,
SUP-060,Auto Supplier 60,ENG-1410,MA1AB100000000989,,,,
SUP-084,Auto Supplier 84,ENG-1330,MA1AB100000000990,,,,
SUP-079,Auto Supplier 79,ENG-1067,MA1AB100000000991,,,,
SUP-013,Auto Supplier 13,ENG-1394,MA1AB100000000992,,,,
SUP-042,Auto Supplier 42,ENG-1473,MA1AB100000000993,,,,
SUP-030,Auto Supplier 30,ENG-1121,MA1AB100000000994,,,,
SUP-053,Auto Supplier 53,ENG-1094,MA1AB100000000995,,,,
SUP-096,Auto Supplier 96,ENG-1075,MA1AB100000000996,,,,
SUP-007,Auto Supplier 7,ENG-1471,MA1AB100000000997,,,,
SUP-190,Auto Supplier 190,ENG-1002,MA1AB100000000998,,,,
SUP-075,Auto Supplier 75,ENG-1458,XX1 2 3 4,,,,
SUP-029,Auto Supplier 29,ENG-1352,MA1AB100000001000,,,,
SUP-103,Auto Supplier 103,ENG-1012,MA1AB100000001001,,,,
SUP-165,Auto Supplier 165,ENG-1311,MA1AB100000001002,,,,
SUP-138,Auto Supplier 138,ENG-1042,MA1AB100000001003,,,,
SUP-082,Auto Supplier 82,ENG-1251,MA1AB100000001004,,,,
SUP-110,Auto Supplier 110,ENG-1437,MA1AB100000001005,,,,
SUP-079,Auto Supplier 79,ENG-1179,MA1AB100000001006,,,,
SUP-114,Auto Supplier 114,ENG-1212,MA1AB100000001007,,,,
SUP-151,Auto Supplier 151,ENG-1427,MA1AB100000001008,,,,
SUP-086,Auto Supplier 86,ENG-1268,MA1AB100000001009,,,,
SUP-070,Auto Supplier 70,ENG-1327,MA1AB100000001010,,,,
SUP-098,Auto Supplier 98,ENG-1095,MA1AB100000001011,,,,
SUP-078,Auto Supplier 78,ENG-1299,MA1AB100000001012,,,,
SUP-040,Auto Supplier 40,ENG-1001,MA1AB100000001013,,,,
SUP-126,Auto Supplier 126,ENG-1091,MA1AB100000001014,,,,
SUP-154,Auto Supplier 154, eng-1001 ,MA1AB100000001015,,,,
SUP-161,Auto Supplier 161,ENG-1132,MA1AB100000001016,,,,
SUP-042,Auto Supplier 42,ENG-1132,MA1AB100000001017,,,,
SUP-092,Auto Supplier 92,ENG-1069,MA1AB100000001018,,,,
SUP-092,Auto Supplier 92,ENG-1466,MA1AB100000001019,,,,
SUP-197,Auto Supplier 197,ENG-1099,MA1AB100000001020,,,,
SUP-081,Auto Supplier 81,ENG-1165,MA1AB100000001021,,,,
SUP-004,Auto Supplier 4,ENG-1073,MA1AB100000001022,,,,
SUP-042,Auto Supplier 42,ENG-1174,MA1AB100000001023,,,,
SUP-144,Auto Supplier 144,ENG-1096,MA1AB100000001024,,,,
SUP-034,Auto Supplier 34,ENG-1059,MA1AB100000001025,,,,
SUP-114,Auto Supplier 114,ENG-1418,MA1AB100000001026,,,,
SUP-031,Auto Supplier 31,ENG-1381,MA1AB100000001027,,,,
SUP-054,Auto Supplier 54,ENG-1064,MA1AB100000001028,,,,
SUP-199,Auto Supplier 199,ENG-1009,MA1AB100000001029,,,,
SUP-169,Auto Supplier 169,ENG-1016,MA1AB100000001030,,,,
SUP-017,Auto Supplier 17,ENG-1022,MA1AB100000001031,,,,
SUP-151,Auto Supplier 151,ENG-1105,MA1AB100000001032,,,,
SUP-192,Auto Supplier 192,ENG-1433,MA1AB100000001033,,,,
SUP-200,Auto Supplier 200,ENG-1256,MA1AB100000001034,,,,
SUP-184,Auto Supplier 184,ENG-1111,MA1AB100000001035,,,,
SUP-055,Auto Supplier 55,ENG-1050,MA1AB100000001036,,,,
SUP-028,Auto Supplier 28,ENG-1344,MA1AB100000001037,,,,
SUP-105,Auto Supplier 105,ENG-1116,MA1AB100000001038,,,,
SUP-035,Auto Supplier 35,ENG-1266,MA1AB100000001039,,,,
SUP-011,Auto Supplier 11,ENG-1369,MA1AB100000001040,,,,
SUP-154,Auto Supplier 154,ENG-1233,MA1AB100000001041,,,,
SUP-110,Auto Supplier 110,ENG-1437,MA1AB100000001042,,,,
SUP-173,Auto Supplier 173,ENG-1006,MA1AB100000001043,,,,
SUP-174,Auto Supplier 174,ENG-1337,MA1AB100000001044,,,,
SUP-027,Auto Supplier 27,ENG-1302,MA1AB100000001045,,,,
SUP-104,Auto Supplier 104,ENG-1304,MA1AB100000001046,,,,
SUP-183,Auto Supplier 183,ENG-1391,MA1AB100000001047,,,,
SUP-171,Auto Supplier 171,ENG-1243,MA1AB100000001048,,,,
SUP-065,Auto Supplier 65,ENG-1062,MA1AB100000001049,,,,
SUP-189,Auto Supplier 189,ENG-1050,MA1AB100000001050,,,,
SUP-155,Auto Supplier 155,ENG-1195,MA1AB100000001051,,,,
SUP-170,Auto Supplier 170,ENG-1039,MA1AB100000001052,,,,
SUP-128,Auto Supplier 128,ENG-1338,MA1AB100000001053,,,,
SUP-139,Auto Supplier 139,ENG-1440,MA1AB100000001054,,,,
SUP-081,Auto Supplier 81,ENG-1230,MA1AB100000001055,,,,
SUP-169,Auto Supplier 169,ENG-1285,MA1AB100000001056,,,,
SUP-184,Auto Supplier 184,ENG-1159,MA1AB100000001057,,,,
SUP-176,Auto Supplier 176,ENG-1283,MA1AB100000001058,,,,
SUP-101,Auto Supplier 101,ENG-1028,MA1AB100000001059,,,,
SUP-083,Auto Supplier 83,ENG-1145,MA1AB100000001060,,,,
SUP-190,Auto Supplier 190,ENG-1414,MA1AB100000001061,,,,
SUP-092,Auto Supplier 92,ENG-1176,MA1AB100000001062,,,,
SUP-166,Auto Supplier 166,ENG-1120,MA1AB100000001063,,,,
SUP-030,Auto Supplier 30,ENG-1156,MA1AB100000001064,,,,
SUP-169,Auto Supplier 169,ENG-1235,MA1AB100000001065,,,,
SUP-151,Auto Supplier 151,ENG-1240,MA1AB100000001066,,,,
SUP-026,Auto Supplier 26,ENG-1293,MA1AB100000001067,,,,
SUP-196,Auto Supplier 196,ENG-1415,MA1AB100000001068,,,,
SUP-163,Auto Supplier 163,ENG-1254,MA1AB100000001069,,,,
SUP-147,Auto Supplier 147,ENG-1152,MA1AB100000001070,,,,
SUP-070,Auto Supplier 70,ENG-1172,MA1AB100000001071,,,,
SUP-020,Auto Supplier 20,ENG-1407,MA1AB100000001072,,,,
SUP-103,Auto Supplier 103,ENG-1212,MA1AB100000001073,,,,
SUP-181,Auto Supplier 181,ENG-1321,MA1AB100000001074,,,,
SUP-164,Auto Supplier 164,ENG-1479,MA1AB100000001075,,,,
SUP-094,Auto Supplier 94,ENG-1102,MA1AB100000001076,,,,
SUP-106,Auto Supplier 106,ENG-1222,MA1AB100000001077,,,,
SUP-166,Auto Supplier 166,ENG-1146,MA1AB100000001078,,,,
SUP-050,Auto Supplier 50,ENG-1076,MA1AB100000001079,,,,
SUP-109,Auto Supplier 109,ENG-1223,MA1AB100000001080,,,,
SUP-072,Auto Supplier 72,ENG-1132,MA1AB100000001081,,,,
SUP-015,Auto Supplier 15,ENG-1010,MA1AB100000001082,,,,
SUP-169,Auto Supplier 169,ENG-1343,MA1AB100000001083,,,,
SUP-129,Auto Supplier 129,ENG-1376,MA1AB100000001084,,,,
SUP-032,Auto Supplier 32,ENG-1307,MA1AB100000001085,,,,
SUP-037,Auto Supplier 37,ENG-1111,MA1AB100000001086,,,,
SUP-151,Auto Supplier 151,ENG-1130,MA1AB100000001087,,,,
SUP-109,Auto Supplier 109,ENG-1279,MA1AB100000001088,,,,
SUP-184,Auto Supplier 184,ENG-1243,MA1AB100000001089,,,,
SUP-170,Auto Supplier 170,ENG-1378,MA1AB100000001090,,,,
SUP-180,Auto Supplier 180,ENG-1327,MA1AB100000001091,,,,
SUP-100,Auto Supplier 100,ENG-1226,MA1AB100000001092,,,,
SUP-061,Auto Supplier 61,ENG-1387,MA1AB100000001093,,,,
SUP-165,Auto Supplier 165,ENG-1392,MA1AB100000001094,,,,
SUP-106,Auto Supplier 106,ENG-1377,MA1AB100000001095,,,,
SUP-130,Auto Supplier 130,ENG-1133,MA1AB100000001096,,,,
SUP-008,Auto Supplier 8,ENG-1355,MA1AB100000001097,,,,
SUP-035,Auto Supplier 35,ENG-1328,MA1AB100000001098,,,,
SUP-022,Auto Supplier 22,ENG-1294,MA1AB100000001099,,,,
SUP-176,Auto Supplier 176,ENG-1304,MA1AB100000001100,,,,
SUP-176,Auto Supplier 176,ENG-1088,MA1AB100000001101,,,,
SUP-101,Auto Supplier 101,ENG-1093,MA1AB100000001102,,,,
SUP-157,Auto Supplier 157,ENG-1331,MA1AB100000001103,,,,
SUP-044,Auto Supplier 44,ENG-1436,MA1AB100000001104,,,,
SUP-095,Auto Supplier 95,ENG-1045,MA1AB100000001105,,,,
SUP-117,Auto Supplier 117,ENG-1471,MA1AB100000001106,,,,
SUP-069,Auto Supplier 69,ENG-1484,MA1AB100000001107,,,,
SUP-053,Auto Supplier 53,ENG-1438,MA1AB100000001108,,,,
SUP-038,Auto Supplier 38,ENG-1405,MA1AB100000001109,,,,
,,ENG-1189,MA1AB100000001110,,,,
SUP-083,Auto Supplier 83,ENG-1068,MA1AB100000001111,,,,
SUP-189,Auto Supplier 189,ENG-1216,MA1AB100000001112,,,,
SUP-061,Auto Supplier 61,ENG-1170,MA1AB100000001113,,,,
SUP-098,Auto Supplier 98,ENG-1317,MA1AB100000001114,,,,
SUP-067,Auto Supplier 67,ENG-1091,MA1AB100000001115,,,,
SUP-082,Auto Supplier 82,ENG-1045,MA1AB100000001116,,,,
SUP-033,Auto Supplier 33,ENG-1022,MA1AB100000001117,,,,
SUP-195,Auto Supplier 195,ENG-1313,MA1AB100000001118,,,,
SUP-126,Auto Supplier 126,ENG-1377,MA1AB100000001119,,,,
SUP-059,Auto Supplier 59,ENG-1027,MA1AB100000001120,,,,
SUP-112,Auto Supplier 112,ENG-1239,MA1AB100000001121,,,,
SUP-125,Auto Supplier 125,ENG-1287,MA1AB100000001122,,,,
SUP-024,Auto Supplier 24,ENG-1178,MA1AB100000001123,,,,
SUP-170,Auto Supplier 170,ENG-1456,MA1AB100000001124,,,,
SUP-020,Auto Supplier 20,ENG-1471,MA1AB100000001125,,,,
SUP-073,Auto Supplier 73,ENG-1013,MA1AB100000001126,,,,
SUP-040,Auto Supplier 40,ENG-1165,MA1AB100000001127,,,,
SUP-069,Auto Supplier 69,ENG-1321,MA1AB100000001128,,,,
SUP-188,Auto Supplier 188,ENG-1485,MA1AB100000001129,,,,
SUP-015,Auto Supplier 15,ENG-1408,MA1AB100000001130,,,,
SUP-062,Auto Supplier 62,ENG-1091,MA1AB100000001131,,,,
SUP-104,Auto Supplier 104,ENG-1399,MA1AB100000001132,,,,
SUP-111,Auto Supplier 111,ENG-1410,MA1AB100000001133,,,,
SUP-132,Auto Supplier 132,ENG-1188,MA1AB100000001134,,,,
SUP-154,Auto Supplier 154,ENG-1288,MA1AB100000001135,,,,
SUP-110,Auto Supplier 110,ENG-1322,MA1AB100000001136,,,,
SUP-183,Auto Supplier 183,ENG-1351,MA1AB100000001137,,,,
SUP-123,Auto Supplier 123,ENG-1040,MA1AB100000001138,,,,
SUP-134,Auto Supplier 134,ENG-1127,MA1AB100000001139,,,,
SUP-028,Auto Supplier 28,ENG-1262,MA1AB100000001140,,,,
SUP-146,Auto Supplier 146,ENG-1368,MA1AB100000001141,,,,
SUP-005,Auto Supplier 5,ENG-1257,MA1AB100000001142,,,,
SUP-012,Auto Supplier 12,ENG-1201,MA1AB100000001143,,,,
SUP-116,Auto Supplier 116,ENG-1343,MA1AB100000001144,,,,
SUP-155,Auto Supplier 155,ENG-1382,MA1AB100000001145,,,,
SUP-030,Auto Supplier 30,ENG-1202,MA1AB100000001146,,,,
SUP-191,Auto Supplier 191,ENG-1336,MA1AB100000001147,,,,
SUP-023,Auto Supplier 23,ENG-1154,MA1AB100000001148,,,,
SUP-179,Auto Supplier 179,ENG-1008,MA1AB100000001149,,,,
SUP-112,Auto Supplier 112,ENG-1123,MA1AB100000001150,,,,
SUP-109,Auto Supplier 109,ENG-1242,MA1AB100000001151,,,,
SUP-006,Auto Supplier 6,ENG-1241,MA1AB100000001152,,,,
SUP-101,Auto Supplier 101,ENG-1424,MA1AB100000001153,,,,
SUP-127,Auto Supplier 127,ENG-1434,MA1AB100000001154,,,,
SUP-132,Auto Supplier 132,ENG-1248,MA1AB100000001155,,,,
SUP-081,Auto Supplier 81,ENG-1295,MA1AB100000001156,,,,
SUP-127,Auto Supplier 127,ENG-1059,MA1AB100000001157,,,,
SUP-050,Auto Supplier 50,ENG-1371,MA1AB100000001158,,,,
SUP-176,Auto Supplier 176,ENG-1465,MA1AB100000001159,,,,
SUP-183,Auto Supplier 183, eng-1001 ,MA1AB100000001160,,,,
SUP-073,Auto Supplier 73,ENG-1106,MA1AB100000001161,,,,
SUP-156,Auto Supplier 156,ENG-1080,MA1AB100000001162,,,,
SUP-143,Auto Supplier 143,ENG-1107,MA1AB100000001163,,,,
SUP-045,Auto Supplier 45,ENG-1081,MA1AB100000001164,,,,
SUP-059,Auto Supplier 59,ENG-1316,MA1AB100000001165,,,,
SUP-091,Auto Supplier 91,ENG-1401,MA1AB100000001166,,,,
SUP-113,Auto Supplier 113,ENG-1025,MA1AB100000001167,,,,
SUP-011,Auto Supplier 11,ENG-1287,MA1AB100000001168,,,,
SUP-093,Auto Supplier 93,ENG-1105,MA1AB100000001169,,,,
SUP-128,Auto Supplier 128,ENG-1259,MA1AB100000001170,,,,
SUP-052,Auto Supplier 52,ENG-1434,MA1AB100000001171,,,,
SUP-130,Auto Supplier 130,ENG-1146,MA1AB100000001172,,,,
SUP-171,Auto Supplier 171,ENG-1322,MA1AB100000001173,,,,
SUP-106,Auto Supplier 106,ENG-1219,MA1AB100000001174,,,,
SUP-003,Auto Supplier 3,ENG-1394,MA1AB100000001175,,,,
SUP-043,Auto Supplier 43,ENG-1395,MA1AB100000001176,,,,
SUP-162,Auto Supplier 162,ENG-1029,MA1AB100000001177,,,,
SUP-081,Auto Supplier 81,ENG-1380,MA1AB100000001178,,,,
SUP-115,Auto Supplier 115,ENG-1206,MA1AB100000001179,,,,
SUP-167,Auto Supplier 167,ENG-1400,MA1AB100000001180,,,,
SUP-086,Auto Supplier 86,ENG-1275,MA1AB100000001181,,,,
SUP-131,Auto Supplier 131,ENG-1047,MA1AB100000001182,,,,
SUP-139,Auto Supplier 139,ENG-1014,MA1AB100000001183,,,,
SUP-188,Auto Supplier 188,ENG-1056,MA1AB100000001184,,,,
SUP-194,Auto Supplier 194,ENG-1024,MA1AB100000001185,,,,
SUP-061,Auto Supplier 61,ENG-1173,MA1AB100000001186,,,,
SUP-184,Auto Supplier 184,ENG-1341,MA1AB100000001187,,,,
SUP-064,Auto Supplier 64,ENG-1377,MA1AB100000001188,,,,
SUP-183,Auto Supplier 183,ENG-1075,MA1AB100000001189,,,,
SUP-034,Auto Supplier 34,ENG-1454,MA1AB100000001190,,,,
SUP-104,Auto Supplier 104,ENG-1269,MA1AB100000001191,,,,
SUP-113,Auto Supplier 113,ENG-1216,MA1AB100000001192,,,,
SUP-125,Auto Supplier 125,ENG-1065,MA1AB100000001193,,,,
SUP-009,Auto Supplier 9,ENG-1242,MA1AB100000001194,,,,
SUP-095,Auto Supplier 95,ENG-1061,MA1AB100000001195,,,,
SUP-079,Auto Supplier 79,ENG-1190,MA1AB100000001196,,,,
SUP-037,Auto Supplier 37,ENG-1073,MA1AB100000001197,,,,
SUP-190,Auto Supplier 190,ENG-1419,MA1AB100000001198,,,,
SUP-012,Auto Supplier 12,ENG-1445,MA1AB100000001199,,,,
SUP-097,Auto Supplier 97,ENG-1400,MA1AB100000001200,,,,
SUP-171,Auto Supplier 171,ENG-1230,MA1AB100000001201,,,,
SUP-102,Auto Supplier 102,ENG-1119,MA1AB100000001202,,,,
SUP-166,Auto Supplier 166,ENG-1142,MA1AB100000001203,,,,
SUP-032,Auto Supplier 32,ENG-1330,MA1AB100000001204,,,,
SUP-049,Auto Supplier 49,ENG-1267,MA1AB100000001205,,,,
SUP-053,Auto Supplier 53,ENG-1140,MA1AB100000001206,,,,
SUP-012,Auto Supplier 12,ENG-1301,MA1AB100000001207,,,,
SUP-136,Auto Supplier 136,ENG-1012,MA1AB100000001208,,,,
SUP-044,Auto Supplier 44,ENG-1277,MA1AB100000001209,,,,
SUP-105,Auto Supplier 105,ENG-1157,MA1AB100000001210,,,,
SUP-077,Auto Supplier 77,ENG-1029,MA1AB100000001211,,,,
SUP-097,Auto Supplier 97,ENG-1132,MA1AB100000001212,,,,
SUP-193,Auto Supplier 193,ENG-1260,MA1AB100000001213,,,,
SUP-142,Auto Supplier 142,ENG-1237,MA1AB100000001214,,,,
SUP-005,Auto Supplier 5,ENG-1119,MA1AB100000001215,,,,
SUP-105,Auto Supplier 105,ENG-1290,MA1AB100000001216,,,,
SUP-063,Auto Supplier 63,ENG-1086,MA1AB100000001217,,,,
SUP-159,Auto Supplier 159,ENG-1237,MA1AB100000001218,,,,
SUP-154,Auto Supplier 154,ENG-1139,MA1AB100000001219,,,,
SUP-131,Auto Supplier 131,ENG-1430,MA1AB100000001220,,,,
SUP-102,Auto Supplier 102,ENG-1045,MA1AB100000001221,,,,
SUP-082,Auto Supplier 82,ENG-1258,MA1AB100000001222,,,,
SUP-170,Auto Supplier 170,ENG-1125,MA1AB100000001223,,,,
SUP-178,Auto Supplier 178,ENG-1467,MA1AB100000001224,,,,
SUP-003,Auto Supplier 3,ENG-1461,MA1AB100000001225,,,,
SUP-167,Auto Supplier 167,ENG-1448,MA1AB100000001226,,,,
SUP-091,Auto Supplier 91,ENG-1063,MA1AB100000001227,,,,
SUP-179,Auto Supplier 179,ENG-1393,MA1AB100000001228,,,,
SUP-057,Auto Supplier 57,ENG-1004,MA1AB100000001229,,,,
SUP-158,Auto Supplier 158,ENG-1046,MA1AB100000001230,,,,
SUP-072,Auto Supplier 72,ENG-1018,MA1AB100000001231,,,,
SUP-102,Auto Supplier 102,ENG-1326,MA1AB100000001232,,,,
SUP-145,Auto Supplier 145,ENG-1378,MA1AB100000001233,,,,
SUP-033,Auto Supplier 33,ENG-1033,MA1AB100000001234,,,,
SUP-174,Auto Supplier 174,ENG-1434,MA1AB100000001235,,,,
SUP-110,Auto Supplier 110,ENG-1480,MA1AB100000001236,,,,
SUP-133,Auto Supplier 133,ENG-1348,MA1AB100000001237,,,,
SUP-013,Auto Supplier 13,ENG-1114,MA1AB100000001238,,,,
SUP-086,Auto Supplier 86,ENG-1099,MA1AB100000001239,,,,
SUP-020,Auto Supplier 20,ENG-1216,MA1AB100000001240,,,,
SUP-161,Auto Supplier 161,ENG-1320,MA1AB100000001241,,,,
SUP-161,Auto Supplier 161,ENG-1408,MA1AB100000001242,,,,
SUP-088,Auto Supplier 88,ENG-1490,MA1AB100000001243,,,,
SUP-161,Auto Supplier 161,ENG-1048,MA1AB100000001244,,,,
SUP-081,Auto Supplier 81,ENG-1193,MA1AB100000001245,,,,
SUP-157,Auto Supplier 157,ENG-1154,MA1AB100000001246,,,,
SUP-076,Auto Supplier 76,ENG-1026,MA1AB100000001247,,,,
SUP-154,Auto Supplier 154,ENG-1442,MA1AB100000001248,,,,
SUP-026,Auto Supplier 26,ENG-1317,MA1AB100000001249,,,,
SUP-028,Auto Supplier 28,ENG-1098,MA1AB100000001250,,,,
SUP-164,Auto Supplier 164,ENG-1064,MA1AB100000001251,,,,
SUP-114,Auto Supplier 114,ENG-1317,MA1AB100000001252,,,,
SUP-150,Auto Supplier 150,ENG-1159,MA1AB100000001253,,,,
SUP-080,Auto Supplier 80,ENG-1240,MA1AB100000001254,,,,
SUP-130,Auto Supplier 130,ENG-1121,MA1AB100000001255,,,,
SUP-052,Auto Supplier 52,ENG-1327,MA1AB100000001256,,,,
SUP-120,Auto Supplier 120,ENG-1354,MA1AB100000001257,,,,
SUP-042,Auto Supplier 42,ENG-1168,MA1AB100000001258,,,,
SUP-058,Auto Supplier 58,ENG-1327,MA1AB100000001259,,,,
SUP-085,Auto Supplier 85,ENG-1393,MA1AB100000001260,,,,
SUP-019,Auto Supplier 19,ENG-1005,MA1AB100000001261,,,,
SUP-162,Auto Supplier 162,ENG-1099,MA1AB100000001262,,,,
SUP-073,Auto Supplier 73,ENG-1101,MA1AB100000001263,,,,
SUP-142,Auto Supplier 142,ENG-1433,MA1AB100000001264,,,,
SUP-026,Auto Supplier 26,ENG-1134,MA1AB100000001265,,,,
SUP-054,Auto Supplier 54,ENG-1479,MA1AB100000001266,,,,
SUP-135,Auto Supplier 135,ENG-1087,MA1AB100000001267,,,,
SUP-049,Auto Supplier 49,ENG-1406,MA1AB100000001268,,,,
SUP-110,Auto Supplier 110,ENG-1306,MA1AB100000001269,,,,
SUP-084,Auto Supplier 84,ENG-1076,MA1AB100000001270,,,,
SUP-021,Auto Supplier 21,ENG-1372,MA1AB100000001271,,,,
SUP-166,Auto Supplier 166,ENG-1451,MA1AB100000001272,,,,
SUP-183,Auto Supplier 183,ENG-1164,MA1AB100000001273,,,,
SUP-149,Auto Supplier 149,ENG-1137,MA1AB100000001274,,,,
SUP-061,Auto Supplier 61,ENG-1231,MA1AB100000001275,,,,
SUP-096,Auto Supplier 96,ENG-1080,MA1AB100000001276,,,,
SUP-133,Auto Supplier 133,ENG-1227,MA1AB100000001277,,,,
SUP-120,Auto Supplier 120,ENG-1230,MA1AB100000001278,,,,
SUP-007,Auto Supplier 7,ENG-1195,MA1AB100000001279,,,,
SUP-022,Auto Supplier 22,ENG-1461,MA1AB100000001280,,,,
SUP-019,Auto Supplier 19,ENG-1060,MA1AB100000001281,,,,
SUP-065,Auto Supplier 65,ENG-1168,MA1AB100000001282,,,,
SUP-184,Auto Supplier 184,ENG-1385,MA1AB100000001283,,,,
SUP-104,Auto Supplier 104,ENG-1177,MA1AB100000001284,,,,
SUP-059,Auto Supplier 59,ENG-1203,MA1AB100000001285,,,,
SUP-142,Auto Supplier 142,ENG-1300,MA1AB100000001286,,,,
SUP-049,Auto Supplier 49,ENG-1433,MA1AB100000001287,,,,
SUP-143,Auto Supplier 143,ENG-1436,MA1AB100000001288,,,,
SUP-189,Auto Supplier 189,ENG-1482,MA1AB100000001289,,,,
SUP-176,Auto Supplier 176,ENG-1217,MA1AB100000001290,,,,
SUP-009,Auto Supplier 9,ENG-1402,MA1AB100000001291,,,,
SUP-101,Auto Supplier 101,ENG-1104,MA1AB100000001292,,,,
SUP-146,Auto Supplier 146,ENG-1168,MA1AB100000001293,,,,
SUP-142,Auto Supplier 142,ENG-1345,MA1AB100000001294,,,,
SUP-099,Auto Supplier 99,ENG-1035,MA1AB100000001295,,,,
SUP-095,Auto Supplier 95,ENG-1029,MA1AB100000001296,,,,
SUP-029,Auto Supplier 29,ENG-1080,MA1AB100000001297,,,,
SUP-053,Auto Supplier 53,ENG-1489,MA1AB100000001298,,,,
SUP-148,Auto Supplier 148,ENG-1309,MA1AB100000001299,,,,
SUP-002,Auto Supplier 2,ENG-1103,MA1AB100000001300,,,,
SUP-146,Auto Supplier 146,ENG-1168,MA1AB100000001301,,,,
SUP-074,Auto Supplier 74,ENG-1046,MA1AB100000001302,,,,
SUP-046,Auto Supplier 46,ENG-1127,MA1AB100000001303,,,,
SUP-025,Auto Supplier 25,ENG-1291,MA1AB100000001304,,,,
SUP-161,Auto Supplier 161, eng-1001 ,MA1AB100000001305,,,,
SUP-196,Auto Supplier 196,ENG-1210,MA1AB100000001306,,,,
SUP-200,Auto Supplier 200,ENG-1392,MA1AB100000001307,,,,
SUP-012,Auto Supplier 12,ENG-1259,MA1AB100000001308,,,,
SUP-191,Auto Supplier 191,ENG-1175,MA1AB100000001309,,,,
SUP-182,Auto Supplier 182,ENG-1058,MA1AB100000001310,,,,
SUP-141,Auto Supplier 141,ENG-1042,MA1AB100000001311,,,,
SUP-042,Auto Supplier 42,ENG-1142,MA1AB100000001312,,,,
SUP-190,Auto Supplier 190,ENG-1273,MA1AB100000001313,,,,
SUP-040,Auto Supplier 40,ENG-1139,MA1AB100000001314,,,,
SUP-056,Auto Supplier 56,ENG-1272,MA1AB100000001315,,,,
SUP-079,Auto Supplier 79,ENG-1353,MA1AB100000001316,,,,
SUP-064,Auto Supplier 64,ENG-1103,MA1AB100000001317,,,,
SUP-004,Auto Supplier 4,ENG-1014,MA1AB100000001318,,,,
SUP-171,Auto Supplier 171,ENG-1427,MA1AB100000001319,,,,
SUP-084,Auto Supplier 84,ENG-1055,MA1AB100000001320,,,,
SUP-110,Auto Supplier 110,ENG-1202,MA1AB100000001321,,,,
SUP-004,Auto Supplier 4,ENG-1088,MA1AB100000001322,,,,
SUP-057,Auto Supplier 57,ENG-1234,MA1AB100000001323,,,,
SUP-056,Auto Supplier 56,ENG-1034,MA1AB100000001324,,,,
SUP-025,Auto Supplier 25,ENG-1491,MA1AB100000001325,,,,
SUP-163,Auto Supplier 163,ENG-1089,MA1AB100000001326,,,,
SUP-150,Auto Supplier 150,ENG-1311,MA1AB100000001327,,,,
SUP-158,Auto Supplier 158,ENG-1010,MA1AB100000001328,,,,
SUP-159,Auto Supplier 159,ENG-1124,MA1AB100000001329,,,,
SUP-039,Auto Supplier 39,ENG-1103,MA1AB100000001330,,,,
SUP-085,Auto Supplier 85,ENG-1449,MA1AB100000001331,,,,
,,ENG-1405,XX1 2 3 4,,,,
SUP-085,Auto Supplier 85,ENG-1375,MA1AB100000001333,,,,
SUP-176,Auto Supplier 176,ENG-1127,MA1AB100000001334,,,,
SUP-162,Auto Supplier 162,ENG-1226,MA1AB100000001335,,,,
SUP-037,Auto Supplier 37,ENG-1324,MA1AB100000001336,,,,
SUP-021,Auto Supplier 21,ENG-1259,MA1AB100000001337,,,,
SUP-063,Auto Supplier 63,ENG-1101,MA1AB100000001338,,,,
SUP-163,Auto Supplier 163,ENG-1229,MA1AB100000001339,,,,
SUP-043,Auto Supplier 43,ENG-1193,MA1AB100000001340,,,,
SUP-124,Auto Supplier 124,ENG-1079,MA1AB100000001341,,,,
SUP-077,Auto Supplier 77,ENG-1464,MA1AB100000001342,,,,
SUP-117,Auto Supplier 117,ENG-1156,MA1AB100000001343,,,,
SUP-121,Auto Supplier 121,ENG-1366,MA1AB100000001344,,,,
SUP-187,Auto Supplier 187,ENG-1256,MA1AB100000001345,,,,
SUP-099,Auto Supplier 99,ENG-1191,MA1AB100000001346,,,,
SUP-145,Auto Supplier 145,ENG-1197,MA1AB100000001347,,,,
SUP-126,Auto Supplier 126,ENG-1363,MA1AB100000001348,,,,
SUP-064,Auto Supplier 64,ENG-1376,MA1AB100000001349,,,,
SUP-166,Auto Supplier 166,ENG-1340,MA1AB100000001350,,,,
SUP-155,Auto Supplier 155,ENG-1126,MA1AB100000001351,,,,
SUP-165,Auto Supplier 165,ENG-1047,MA1AB100000001352,,,,
