VIN,Total_Energy_kWh,Vehicles_Built,Energy_per_Vehicle_kWh
MA1A**********755,31.66,1,31.66
MA1A**********756,37.53,1,37.53
MA1A**********757,53.24,1,53.24
MA1A**********758,72.77,1,72.77
MA1A**********759,58.78,1,58.78
MA1A**********760,32.01,1,32.01
MA1A**********761,66.34,1,66.34
MA1A**********762,29.92,1,29.92
MA1A**********763,43.83,1,43.83
MA1A**********764,58.13,1,58.13
MA1A**********765,27.28,1,27.28
MA1A**********766,19.5,1,19.5
MA1A**********767,29.09,1,29.09
MA1A**********768,42.52,1,42.52
MA1A**********769,37.96,1,37.96
MA1A**********770,30.59,1,30.59
MA1A**********771,38.18,1,38.18
MA1A**********772,26.75,1,26.75
MA1A**********773,33.68,1,33.68
MA1A**********774,28.9,1,28.9
MA1A**********775,55.16,1,55.16
MA1A**********776,33.46,1,33.46
MA1A**********777,42.58,1,42.58
MA1A**********778,36.45,1,36.45
MA1A**********779,39.31,1,39.31
MA1A**********780,38.18,1,38.18
MA1A**********781,24.25,1,24.25
MA1A**********782,24.93,1,24.93
MA1A**********783,50.36,1,50.36
MA1A**********784,24.53,1,24.53
MA1A**********785,38.61,1,38.61
MA1A**********786,78.47,1,78.47
MA1A**********787,47.21,1,47.21
MA1A**********788,13.870000000000001,1,13.87
MA1A**********789,57.35,1,57.35
MA1A**********790,17.07,1,17.07
MA1A**********791,50.15,1,50.15
MA1A**********792,37.17,1,37.17
MA1A**********793,28.39,1,28.39
MA1A**********794,9.280000000000001,1,9.28
MA1A**********795,19.02,1,19.02
MA1A**********796,19.25,1,19.25
MA1A**********797,41.34,1,41.34
MA1A**********798,19.2,1,19.2
MA1A**********799,29.23,1,29.23
MA1A**********800,31.14,1,31.14
MA1A**********801,36.9,1,36.9
MA1A**********802,53.18,1,53.18
MA1A**********803,36.68,1,36.68
MA1A**********804,39.98,1,39.98
MA1A**********805,49.21,1,49.21
MA1A**********806,72.03,1,72.03
MA1A**********807,53.76,1,53.76
MA1A**********808,31.61,1,31.61
MA1A**********809,82.49,1,82.49
MA1A**********810,31.04,1,31.04
MA1A**********811,38.74,1,38.74
MA1A**********812,52.2,1,52.2
MA1A**********813,26.23,1,26.23
MA1A**********814,55.58,1,55.58
MA1A**********815,20.310000000000002,1,20.31
MA1A**********816,66.75,1,66.75
MA1A**********817,29.34,1,29.34
MA1A**********818,51.58,1,51.58
MA1A**********819,48.34,1,48.34
MA1A**********820,55.86,1,55.86
MA1A**********821,23.91,1,23.91
MA1A**********822,43.36,1,43.36
MA1A**********823,58.18,1,58.18
MA1A**********824,50.69,1,50.69
MA1A**********825,36.54,1,36.54
MA1A**********826,74.06,1,74.06
MA1A**********827,34.53,1,34.53
MA1A**********828,38.06,1,38.06
MA1A**********829,42.22,1,42.22
MA1A**********830,25.330000000000002,1,25.33
MA1A**********831,32.28,1,32.28
MA1A**********832,51.06,1,51.06
MA1A**********833,27.8,1,27.8
MA1A**********834,27.98,1,27.98
MA1A**********835,57.98,1,57.98
MA1A**********836,52.1,1,52.1
MA1A**********837,61.62,1,61.62
MA1A**********838,34.2,1,34.2
MA1A**********839,48.55,1,48.55
MA1A**********840,35.15,1,35.15
MA1A**********841,14.11,1,14.11
MA1A**********842,49.98,1,49.98
MA1A**********843,50.05,1,50.05
MA1A**********844,28.68,1,28.68
MA1A**********845,36.54,1,36.54
MA1A**********846,15.52,1,15.52
MA1A**********847,28.7,1,28.7
MA1A**********848,30.18,1,30.18
MA1A**********849,29.73,1,29.73
MA1A**********850,44.4,1,44.4
MA1A**********851,26.05,1,26.05
MA1A**********852,45.92,1,45.92
MA1A**********853,30.45,1,30.45
MA1A**********854,30.62,1,30.62
MA1A**********855,18.23,1,18.23
MA1A**********856,56.43,1,56.43
MA1A**********857,51.31,1,51.31
MA1A**********858,37.71,1,37.71
MA1A**********859,46.6,1,46.6
MA1A**********860,50.33,1,50.33
MA1A**********861,50.93,1,50.93
MA1A**********862,36.93,1,36.93
MA1A**********863,76.89,1,76.89
MA1A**********864,66.59,1,66.59
MA1A**********865,77.36,1,77.36
MA1A**********866,34.68,1,34.68
MA1A**********867,28.25,1,28.25
MA1A**********868,49.22,1,49.22
MA1A**********869,31.1,1,31.1
MA1A**********870,35.019999999999996,1,35.02
MA1A**********871,49.37,1,49.37
MA1A**********872,51.17,1,51.17
MA1A**********873,36.29,1,36.29
MA1A**********874,56.12,1,56.12
MA1A**********875,43.910000000000004,1,43.91
MA1A**********876,19.240000000000002,1,19.24
MA1A**********877,68.57,1,68.57
MA1A**********878,19.68,1,19.68
MA1A**********879,33.07,1,33.07
MA1A**********880,20.400000000000002,1,20.4
MA1A**********881,49.72,1,49.72
MA1A**********882,42.8,1,42.8
MA1A**********883,69.07,1,69.07
MA1A**********884,20.75,1,20.75
MA1A**********885,30.93,1,30.93
MA1A**********886,68.98,1,68.98
MA1A**********887,31.0,1,31.0
MA1A**********888,21.47,1,21.47
MA1A**********889,57.65,1,57.65
MA1A**********890,33.96,1,33.96
MA1A**********891,39.36,1,39.36
MA1A**********892,41.07,1,41.07
MA1A**********893,26.48,1,26.48
MA1A**********894,25.18,1,25.18
MA1A**********895,85.01,1,85.01
MA1A**********896,77.61,1,77.61
MA1A**********897,34.65,1,34.65
MA1A**********898,58.48,1,58.48
MA1A**********899,32.28,1,32.28
MA1A**********900,41.1,1,41.1
MA1A**********901,61.77,1,61.77
MA1A**********902,63.66,1,63.66
MA1A**********903,35.230000000000004,1,35.23
MA1A**********904,39.45,1,39.45
MA1A**********905,28.53,1,28.53
MA1A**********906,38.4,1,38.4
MA1A**********907,45.68,1,45.68
MA1A**********908,55.54,1,55.54
MA1A**********909,69.16,1,69.16
MA1A**********910,37.59,1,37.59
MA1A**********911,31.03,1,31.03
MA1A**********912,47.05,1,47.05
MA1A**********913,36.98,1,36.98
MA1A**********914,49.51,1,49.51
MA1A**********915,47.13,1,47.13
MA1A**********916,43.14,1,43.14
MA1A**********917,49.39,1,49.39
MA1A**********918,37.22,1,37.22
MA1A**********919,17.12,1,17.12
MA1A**********920,39.69,1,39.69
MA1A**********921,59.09,1,59.09
MA1A**********922,24.21,1,24.21
MA1A**********923,46.02,1,46.02
MA1A**********924,29.72,1,29.72
MA1A**********925,18.060000000000002,1,18.06
MA1A**********926,35.03,1,35.03
MA1A**********927,38.67,1,38.67
MA1A**********928,41.56,1,41.56
MA1A**********929,53.730000000000004,1,53.73
MA1A**********930,60.2,1,60.2
MA1A**********931,57.88,1,57.88
MA1A**********932,15.34,1,15.34
MA1A**********933,26.02,1,26.02
MA1A**********934,54.46,1,54.46
MA1A**********935,32.99,1,32.99
MA1A**********936,45.97,1,45.97
MA1A**********937,35.15,1,35.15
MA1A**********938,35.949999999999996,1,35.95
MA1A**********939,19.47,1,19.47
MA1A**********940,48.1,1,48.1
MA1A**********941,37.910000000000004,1,37.91
MA1A**********942,57.49,1,57.49
MA1A**********943,32.42,1,32.42
MA1A**********944,38.68,1,38.68
MA1A**********945,55.84,1,55.84
MA1A**********946,48.7,1,48.7
MA1A**********947,69.81,1,69.81
MA1A**********948,35.25,1,35.25
MA1A**********949,24.2,1,24.2
MA1A**********950,44.38,1,44.38
MA1A**********951,32.57,1,32.57
MA1A**********952,37.8,1,37.8
MA1A**********953,35.88,1,35.88
MA1A**********954,45.04,1,45.04
MA1A**********955,29.37,1,29.37
MA1A**********956,62.04,1,62.04
MA1A**********957,13.44,1,13.44
MA1A**********958,26.54,1,26.54
MA1A**********959,10.62,1,10.62
MA1A**********960,33.95,1,33.95
MA1A**********961,58.52,1,58.52
MA1A**********962,58.02,1,58.02
MA1A**********963,43.52,1,43.52
MA1A**********964,27.630000000000003,1,27.63
MA1A**********965,16.189999999999998,1,16.19
MA1A**********966,38.39,1,38.39
MA1A**********967,32.78,1,32.78
MA1A**********968,44.95,1,44.95
MA1A**********969,44.46,1,44.46
MA1A**********970,43.13,1,43.13
MA1A**********971,20.94,1,20.94
MA1A**********972,32.589999999999996,1,32.59
MA1A**********973,45.1,1,45.1
MA1A**********974,46.84,1,46.84
MA1A**********975,42.89,1,42.89
MA1A**********976,71.81,1,71.81
MA1A**********977,29.73,1,29.73
MA1A**********978,61.620000000000005,1,61.62
MA1A**********979,71.67,1,71.67
MA1A**********980,43.95,1,43.95
MA1A**********981,41.39,1,41.39
MA1A**********982,23.96,1,23.96
MA1A**********983,50.37,1,50.37
MA1A**********984,56.36,1,56.36
MA1A**********985,41.84,1,41.84
MA1A**********986,29.72,1,29.72
MA1A**********987,42.01,1,42.01
MA1A**********988,43.14,1,43.14
MA1A**********989,33.33,1,33.33
MA1A**********990,31.57,1,31.57
MA1A**********991,64.08,1,64.08
MA1A**********992,45.940000000000005,1,45.94
MA1A**********993,24.42,1,24.42
MA1A**********994,42.53,1,42.53
MA1A**********995,31.45,1,31.45
MA1A**********996,26.73,1,26.73
MA1A**********997,35.26,1,35.26
MA1A**********998,10.1,1,10.1
MA1A**********999,35.33,1,35.33
XX1 **3 4,148.64,1,148.64
