Work_Order,VIN,Model,Production_Date,Planned_Qty,Actual_Qty,Status,Priority,Plant,Supervisor_ID
WO10267,MA1AB100000000267,Hatch Z,2026-05-27,126,133,In Progress,High,Plant-C,SUPV003
WO10268,MA1AB100000000268,Hatch Z,2026-05-28,58,47,Completed,Medium,Plant-A,SUPV007
WO10269,MA1AB100000000269,SUV Pro,2026-05-29,194,188,Completed,High,Plant-C,SUPV007
WO10270,MA1AB100000000270,SUV Pro,2026-03-01,173,182,Planned,Medium,Plant-A,SUPV007
WO10271,MA1AB100000000271,Sedan X,2026-03-02,66,62,Delayed,High,Plant-C,SUPV023
WO10272,MA1AB100000000272,EV Prime,2026-03-03,193,180,In Progress,High,Plant-A,SUPV006
WO10273,MA1AB100000000273,SUV Pro,2026-03-04,67,58,In Progress,Low,Plant-C,SUPV022
WO10274,MA1AB100000000274,EV Prime,2026-03-05,105,102,Delayed,High,Plant-C,SUPV006
WO10275,MA1AB100000000275,Sedan X,2026-03-06,99,108,Completed,High,Plant-B,SUPV017
WO10276,MA1AB100000000276,EV Prime,2026-03-07,168,178,Delayed,High,Plant-B,SUPV007
WO10277,MA1AB100000000277,SUV Pro,2026-03-08,116,120,Delayed,Medium,Plant-C,SUPV020
WO10278,MA1AB100000000278,SUV Pro,2026-03-09,94,102,Completed,High,Plant-A,SUPV025
WO10279,MA1AB100000000279,SUV Pro,2026-03-10,187,189,In Progress,Low,Plant-A,SUPV021
WO10280,MA1AB100000000280,SUV Pro,2026-03-11,161,163,Planned,Low,Plant-A,SUPV008
WO10281,MA1AB100000000281,Sedan X,2026-03-12,169,167,Planned,Low,Plant-C,SUPV006
WO10282,MA1AB100000000282,Hatch Z,2026-03-13,148,142,Completed,Medium,Plant-B,SUPV003
WO10283,MA1AB100000000283,Hatch Z,2026-03-14,126,120,Delayed,Low,Plant-C,SUPV004
WO10284,MA1AB100000000284,Hatch Z,2026-03-15,131,141,Completed,Medium,Plant-A,SUPV002
WO10285,MA1AB100000000285,EV Prime,2026-03-16,51,36,Delayed,Low,Plant-C,SUPV010
WO10286,MA1AB100000000286,SUV Pro,2026-03-17,159,154,Planned,Low,Plant-A,SUPV012
WO10287,MA1AB100000000287,EV Prime,2026-03-18,104,97,Completed,Low,Plant-B,SUPV024
WO10288,MA1AB100000000288,SUV Pro,2026-03-19,130,121,In Progress,High,Plant-A,SUPV007
WO10289,MA1AB100000000289,Hatch Z,2026-03-20,172,168,In Progress,Medium,Plant-C,SUPV011
WO10290,MA1AB100000000290,Sedan X,2026-03-21,200,197,Planned,Medium,Plant-C,SUPV001
WO10291,MA1AB100000000291,EV Prime,2026-03-22,56,47,In Progress,Low,Plant-C,SUPV022
WO10292,MA1AB100000000292,Sedan X,2026-03-23,173,161,In Progress,Low,Plant-A,SUPV007
WO10293,MA1AB100000000293,EV Prime,2026-03-24,69,67,In Progress,High,Plant-C,SUPV005
WO10294,MA1AB100000000294,EV Prime,2026-03-25,171,173,Planned,High,Plant-B,SUPV003
WO10295,MA1AB100000000295,EV Prime,2026-03-26,160,166,Completed,Low,Plant-A,SUPV005
WO10296,MA1AB100000000296,Hatch Z,2026-03-27,105,101,Completed,High,Plant-A,SUPV018
WO10297,MA1AB100000000297,Hatch Z,2026-03-28,70,62,Completed,Medium,Plant-C,SUPV021
WO10298,MA1AB100000000298,EV Prime,2026-03-29,92,97,Delayed,High,Plant-A,SUPV023
WO10299,MA1AB100000000299,SUV Pro,2026-03-30,191,177,Delayed,Low,Plant-B,SUPV020
WO10300,MA1AB100000000300,EV Prime,2026-03-31,154,153,Delayed,Low,Plant-A,SUPV017
WO10301,MA1AB100000000301,EV Prime,2026-04-01,118,108,Planned,High,Plant-C,SUPV025
WO10302,MA1AB100000000302,SUV Pro,2026-04-02,130,127,In Progress,Medium,Plant-C,SUPV002
WO10303,MA1AB100000000303,SUV Pro,2026-04-03,88,75,Completed,Medium,Plant-C,SUPV014
WO10304,MA1AB100000000304,Sedan X,2026-04-04,122,129,Delayed,Medium,Plant-C,SUPV001
WO10305,MA1AB100000000305,Sedan X,2026-04-05,191,177,Planned,Low,Plant-A,SUPV002
WO10306,MA1AB100000000306,Sedan X,2026-04-06,76,78,In Progress,High,Plant-C,SUPV005
WO10307,MA1AB100000000307,EV Prime,2026-04-07,127,128,Planned,High,Plant-C,SUPV020
WO10308,MA1AB100000000308,Hatch Z,2026-04-08,189,193,Delayed,High,Plant-A,SUPV007
WO10309,MA1AB100000000309,Sedan X,2026-04-09,135,142,Delayed,High,Plant-A,SUPV015
WO10310,MA1AB100000000310,Sedan X,2026-04-10,163,148,Delayed,Medium,Plant-A,SUPV024
WO10311,MA1AB100000000311,EV Prime,2026-04-11,80,83,Completed,Medium,Plant-B,SUPV024
WO10312,MA1AB100000000312,EV Prime,2026-04-12,90,84,Delayed,Low,Plant-A,SUPV010
WO10313,MA1AB100000000313,EV Prime,2026-04-13,166,161,Completed,Medium,Plant-C,SUPV025
WO10314,MA1AB100000000314,Sedan X,2026-04-14,134,133,In Progress,Low,Plant-A,SUPV020
WO10315,MA1AB100000000315,Sedan X,2026-04-15,141,133,Completed,High,Plant-C,SUPV016
WO10316,MA1AB100000000316,Hatch Z,2026-04-16,133,121,Planned,Medium,Plant-A,SUPV025
WO10317,MA1AB100000000317,SUV Pro,2026-04-17,184,177,In Progress,Low,Plant-C,SUPV002
WO10318,MA1AB100000000318,SUV Pro,2026-04-18,64,58,Delayed,Low,Plant-B,SUPV004
WO10319,MA1AB100000000319,SUV Pro,2026-04-19,177,175,Delayed,High,Plant-B,SUPV021
WO10320,MA1AB100000000320,SUV Pro,2026-04-20,150,149,Completed,Medium,Plant-A,SUPV019
WO10321,MA1AB100000000321,Hatch Z,2026-04-21,198,204,In Progress,High,Plant-B,SUPV011
WO10322,MA1AB100000000322,EV Prime,2026-04-22,56,56,Completed,Low,Plant-B,SUPV020
WO10323,MA1AB100000000323,Sedan X,2026-04-23,95,101,Planned,Medium,Plant-C,SUPV018
WO10324,MA1AB100000000324,Sedan X,2026-04-24,192,188,In Progress,Low,Plant-B,SUPV017
WO10325,MA1AB100000000325,SUV Pro,2026-04-25,188,197,In Progress,Low,Plant-B,SUPV018
WO10326,MA1AB100000000326,EV Prime,2026-04-26,172,177,Completed,Medium,Plant-B,SUPV013
WO10327,MA1AB100000000327,SUV Pro,2026-04-27,93,83,Delayed,Medium,Plant-C,SUPV020
WO10328,MA1AB100000000328,Hatch Z,2026-04-28,115,113,Delayed,Medium,Plant-A,SUPV013
WO10329,MA1AB100000000329,Sedan X,2026-04-29,63,67,Delayed,Low,Plant-B,SUPV011
WO10330,MA1AB100000000330,EV Prime,2026-04-30,59,52,Delayed,High,Plant-B,SUPV008
WO10331,MA1AB100000000331,Sedan X,2026-05-01,144,129,Completed,High,Plant-C,SUPV020
WO10332,MA1AB100000000332,EV Prime,2026-05-02,79,86,Delayed,Medium,Plant-B,SUPV013
WO10333,MA1AB100000000333,Hatch Z,2026-05-03,143,129,Delayed,High,Plant-C,SUPV017
WO10334,MA1AB100000000334,Sedan X,2026-05-04,91,89,Completed,Medium,Plant-B,SUPV023
WO10335,MA1AB100000000335,EV Prime,2026-05-05,65,72,In Progress,Low,Plant-A,SUPV010
WO10336,MA1AB100000000336,Sedan X,2026-05-06,193,202,Delayed,Medium,Plant-C,SUPV017
WO10337,MA1AB100000000337,SUV Pro,2026-05-07,147,143,Delayed,High,Plant-B,SUPV016
WO10338,MA1AB100000000338,EV Prime,2026-05-08,137,129,Completed,Low,Plant-C,SUPV013
WO10339,MA1AB100000000339,Hatch Z,2026-05-09,147,135,Planned,Low,Plant-A,SUPV008
WO10340,MA1AB100000000340,Sedan X,2026-05-10,120,106,Delayed,Medium,Plant-B,SUPV024
WO10341,MA1AB100000000341,Sedan X,2026-05-11,111,109,Completed,Medium,Plant-B,SUPV011
WO10342,MA1AB100000000342,Hatch Z,2026-05-12,90,86,Completed,Medium,Plant-A,SUPV011
WO10343,MA1AB100000000343,Sedan X,2026-05-13,116,114,In Progress,Medium,Plant-C,SUPV018
WO10344,MA1AB100000000344,SUV Pro,2026-05-14,65,69,Delayed,High,Plant-B,SUPV016
WO10345,MA1AB100000000345,Sedan X,2026-05-15,78,64,In Progress,Medium,Plant-C,SUPV006
WO10346,MA1AB100000000346,EV Prime,2026-05-16,170,171,Planned,High,Plant-B,SUPV024
WO10347,MA1AB100000000347,SUV Pro,2026-05-17,130,128,In Progress,Medium,Plant-B,SUPV004
WO10348,MA1AB100000000348,Sedan X,2026-05-18,88,88,In Progress,Low,Plant-B,SUPV016
WO10349,MA1AB100000000349,SUV Pro,2026-05-19,185,183,Completed,Medium,Plant-A,SUPV013
WO10350,MA1AB100000000350,SUV Pro,2026-05-20,146,140,Planned,Medium,Plant-B,SUPV003
WO10351,MA1AB100000000351,Hatch Z,2026-05-21,96,105,Delayed,High,Plant-A,SUPV023
WO10352,MA1AB100000000352,SUV Pro,2026-05-22,82,81,In Progress,Low,Plant-B,SUPV014
WO10353,MA1AB100000000353,Hatch Z,2026-05-23,118,106,Completed,Low,Plant-B,SUPV016
WO10354,MA1AB100000000354,SUV Pro,2026-05-24,65,50,Planned,Medium,Plant-A,SUPV004
WO10355,MA1AB100000000355,SUV Pro,2026-05-25,187,185,Delayed,Medium,Plant-B,SUPV024
WO10356,MA1AB100000000356,EV Prime,2026-05-26,131,129,Delayed,High,Plant-C,SUPV016
WO10357,MA1AB100000000357,Hatch Z,2026-05-27,191,183,Planned,High,Plant-C,SUPV013
WO10358,MA1AB100000000358,Sedan X,2026-05-28,64,69,Planned,High,Plant-C,SUPV002
WO10359,MA1AB100000000359,SUV Pro,2026-05-29,196,195,Completed,Medium,Plant-B,SUPV024
WO10360,MA1AB100000000360,Sedan X,2026-03-01,164,160,Delayed,Medium,Plant-C,SUPV009
WO10361,MA1AB100000000361,Hatch Z,2026-03-02,81,88,Planned,Medium,Plant-C,SUPV017
WO10362,MA1AB100000000362,Hatch Z,2026-03-03,185,191,Delayed,High,Plant-C,SUPV007
WO10363,MA1AB100000000363,SUV Pro,2026-03-04,163,150,In Progress,Low,Plant-C,SUPV009
WO10364,MA1AB100000000364,EV Prime,2026-03-05,95,104,Delayed,High,Plant-B,SUPV011
WO10365,MA1AB100000000365,SUV Pro,2026-03-06,119,123,Delayed,Medium,Plant-A,SUPV002
WO10366,MA1AB100000000366,Hatch Z,2026-03-07,182,167,In Progress,Medium,Plant-A,SUPV016
WO10367,MA1AB100000000367,SUV Pro,2026-03-08,124,125,Delayed,Low,Plant-C,SUPV012
WO10368,MA1AB100000000368,SUV Pro,2026-03-09,177,182,Planned,Low,Plant-C,SUPV008
WO10369,MA1AB100000000369,Sedan X,2026-03-10,156,157,In Progress,Medium,Plant-C,SUPV001
WO10370,MA1AB100000000370,Hatch Z,2026-03-11,62,63,Planned,High,Plant-C,SUPV002
WO10371,MA1AB100000000371,EV Prime,2026-03-12,165,160,Completed,High,Plant-A,SUPV008
WO10372,MA1AB100000000372,Sedan X,2026-03-13,84,70,In Progress,Medium,Plant-C,SUPV005
WO10373,MA1AB100000000373,Sedan X,2026-03-14,83,75,Completed,Medium,Plant-B,SUPV014
WO10374,MA1AB100000000374,SUV Pro,2026-03-15,153,150,In Progress,Medium,Plant-B,SUPV009
WO10375,MA1AB100000000375,EV Prime,2026-03-16,195,184,In Progress,Low,Plant-C,SUPV016
WO10376,MA1AB100000000376,SUV Pro,2026-03-17,109,119,Delayed,Low,Plant-A,SUPV005
WO10377,MA1AB100000000377,Sedan X,2026-03-18,55,41,In Progress,Medium,Plant-C,SUPV023
WO10378,MA1AB100000000378,EV Prime,2026-03-19,95,91,Completed,High,Plant-A,SUPV014
WO10379,MA1AB100000000379,Sedan X,2026-03-20,138,128,Completed,Medium,Plant-A,SUPV023
WO10380,MA1AB100000000380,SUV Pro,2026-03-21,179,187,Planned,Low,Plant-B,SUPV018
WO10381,MA1AB100000000381,SUV Pro,2026-03-22,119,121,Completed,Low,Plant-B,SUPV009
WO10382,MA1AB100000000382,Hatch Z,2026-03-23,146,131,Planned,Low,Plant-B,SUPV014
WO10383,MA1AB100000000383,Sedan X,2026-03-24,87,80,Completed,Medium,Plant-B,SUPV016
WO10384,MA1AB100000000384,Hatch Z,2026-03-25,185,194,In Progress,Low,Plant-B,SUPV004
WO10385,MA1AB100000000385,Hatch Z,2026-03-26,80,70,Completed,Medium,Plant-C,SUPV003
WO10386,MA1AB100000000386,Sedan X,2026-03-27,80,84,Delayed,Low,Plant-B,SUPV012
WO10387,MA1AB100000000387,SUV Pro,2026-03-28,189,178,Delayed,Low,Plant-C,SUPV025
WO10388,MA1AB100000000388,EV Prime,2026-03-29,134,124,In Progress,High,Plant-A,SUPV015
WO10389,MA1AB100000000389,Sedan X,2026-03-30,102,104,Completed,High,Plant-C,SUPV001
WO10390,MA1AB100000000390,Sedan X,2026-03-31,68,60,Delayed,Medium,Plant-C,SUPV021
WO10391,MA1AB100000000391,Hatch Z,2026-04-01,83,87,Completed,High,Plant-C,SUPV011
WO10392,MA1AB100000000392,SUV Pro,2026-04-02,159,159,Planned,Low,Plant-A,SUPV010
WO10393,MA1AB100000000393,Sedan X,2026-04-03,117,119,Planned,Medium,Plant-C,SUPV003
WO10394,MA1AB100000000394,Sedan X,2026-04-04,81,67,Completed,High,Plant-B,SUPV016
WO10395,MA1AB100000000395,Hatch Z,2026-04-05,200,205,In Progress,Medium,Plant-B,SUPV024
WO10396,MA1AB100000000396,Hatch Z,2026-04-06,111,101,Planned,High,Plant-A,SUPV001
WO10397,MA1AB100000000397,EV Prime,2026-04-07,70,63,In Progress,Medium,Plant-B,SUPV017
WO10398,MA1AB100000000398,SUV Pro,2026-04-08,161,167,Completed,Low,Plant-B,SUPV025
WO10399,MA1AB100000000399,Hatch Z,2026-04-09,160,165,Planned,Low,Plant-B,SUPV012
WO10400,MA1AB100000000400,Hatch Z,2026-04-10,95,104,Planned,Medium,Plant-C,SUPV017
WO10401,MA1AB100000000401,Sedan X,2026-04-11,105,91,Planned,High,Plant-C,SUPV010
WO10402,MA1AB100000000402,Hatch Z,2026-04-12,198,204,Planned,Low,Plant-A,SUPV007
WO10403,MA1AB100000000403,SUV Pro,2026-04-13,185,184,In Progress,Medium,Plant-B,SUPV021
WO10404,MA1AB100000000404,Hatch Z,2026-04-14,141,137,Delayed,Medium,Plant-B,SUPV009
WO10405,MA1AB100000000405,SUV Pro,2026-04-15,197,203,Completed,High,Plant-C,SUPV019
WO10406,MA1AB100000000406,Sedan X,2026-04-16,182,191,Completed,High,Plant-C,SUPV017
WO10407,MA1AB100000000407,Sedan X,2026-04-17,132,142,Delayed,Low,Plant-C,SUPV003
WO10408,MA1AB100000000408,Sedan X,2026-04-18,52,55,Completed,High,Plant-C,SUPV024
WO10409,MA1AB100000000409,Sedan X,2026-04-19,102,94,Planned,Medium,Plant-A,SUPV017
WO10410,MA1AB100000000410,Hatch Z,2026-04-20,182,188,In Progress,Medium,Plant-B,SUPV003
WO10411,MA1AB100000000411,Hatch Z,2026-04-21,150,148,Planned,High,Plant-A,SUPV007
WO10412,MA1AB100000000412,SUV Pro,2026-04-22,191,195,Delayed,Medium,Plant-C,SUPV012
WO10413,MA1AB100000000413,Sedan X,2026-04-23,132,130,Completed,High,Plant-B,SUPV020
WO10414,MA1AB100000000414,Sedan X,2026-04-24,58,44,Delayed,Medium,Plant-B,SUPV014
WO10415,MA1AB100000000415,EV Prime,2026-04-25,151,161,Completed,Low,Plant-C,SUPV024
WO10416,MA1AB100000000416,SUV Pro,2026-04-26,122,126,Completed,High,Plant-A,SUPV024
WO10417,MA1AB100000000417,Hatch Z,2026-04-27,150,157,Delayed,Medium,Plant-B,SUPV015
WO10418,MA1AB100000000418,SUV Pro,2026-04-28,131,134,Completed,High,Plant-B,SUPV002
WO10419,MA1AB100000000419,Sedan X,2026-04-29,178,171,Planned,Low,Plant-C,SUPV013
WO10420,MA1AB100000000420,EV Prime,2026-04-30,193,193,Completed,Medium,Plant-B,SUPV012
WO10421,MA1AB100000000421,Sedan X,2026-05-01,190,192,Completed,Medium,Plant-B,SUPV004
WO10422,MA1AB100000000422,EV Prime,2026-05-02,193,202,In Progress,Low,Plant-B,SUPV005
WO10423,MA1AB100000000423,Sedan X,2026-05-03,192,188,Completed,Medium,Plant-B,SUPV006
WO10424,MA1AB100000000424,EV Prime,2026-05-04,198,187,Planned,High,Plant-C,SUPV024
WO10425,MA1AB100000000425,Hatch Z,2026-05-05,150,154,Completed,High,Plant-B,SUPV002
WO10426,MA1AB100000000426,SUV Pro,2026-05-06,121,109,Planned,Medium,Plant-B,SUPV015
WO10427,MA1AB100000000427,Sedan X,2026-05-07,102,101,Delayed,Medium,Plant-A,SUPV009
WO10428,MA1AB100000000428,Hatch Z,2026-05-08,108,103,In Progress,Low,Plant-B,SUPV017
WO10429,MA1AB100000000429,Hatch Z,2026-05-09,158,161,Completed,Low,Plant-B,SUPV017
WO10430,MA1AB100000000430,EV Prime,2026-05-10,200,186,Delayed,Medium,Plant-A,SUPV021
WO10431,MA1AB100000000431,SUV Pro,2026-05-11,164,154,Completed,High,Plant-C,SUPV017
WO10432,MA1AB100000000432,Hatch Z,2026-05-12,138,134,In Progress,High,Plant-A,SUPV011
WO10433,MA1AB100000000433,EV Prime,2026-05-13,85,88,In Progress,Medium,Plant-B,SUPV018
WO10434,MA1AB100000000434,Hatch Z,2026-05-14,174,166,Planned,High,Plant-B,SUPV004
WO10435,MA1AB100000000435,SUV Pro,2026-05-15,163,156,Completed,Medium,Plant-C,SUPV024
WO10436,MA1AB100000000436,Hatch Z,2026-05-16,75,73,In Progress,High,Plant-A,SUPV005
WO10437,MA1AB100000000437,SUV Pro,2026-05-17,90,98,Planned,Low,Plant-A,SUPV011
WO10438,MA1AB100000000438,Sedan X,2026-05-18,197,206,In Progress,High,Plant-B,SUPV001
WO10439,MA1AB100000000439,Sedan X,2026-05-19,63,59,Completed,Medium,Plant-A,SUPV006
WO10440,MA1AB100000000440,SUV Pro,2026-05-20,167,158,Completed,Medium,Plant-B,SUPV025
WO10441,MA1AB100000000441,Sedan X,2026-05-21,81,90,Planned,Medium,Plant-A,SUPV006
WO10442,MA1AB100000000442,Sedan X,2026-05-22,124,114,Completed,High,Plant-C,SUPV016
WO10443,MA1AB100000000443,EV Prime,2026-05-23,163,155,Completed,Low,Plant-C,SUPV024
WO10444,MA1AB100000000444,Sedan X,2026-05-24,132,126,Planned,Medium,Plant-B,SUPV007
WO10445,MA1AB100000000445,SUV Pro,2026-05-25,197,187,Planned,Medium,Plant-B,SUPV006
WO10446,MA1AB100000000446,Sedan X,2026-05-26,75,62,Delayed,Medium,Plant-A,SUPV017
WO10447,MA1AB100000000447,SUV Pro,2026-05-27,121,124,Delayed,High,Plant-B,SUPV003
WO10448,MA1AB100000000448,Sedan X,2026-05-28,112,105,Completed,Medium,Plant-C,SUPV010
WO10449,MA1AB100000000449,Sedan X,2026-05-29,168,169,Delayed,High,Plant-A,SUPV001
WO10450,MA1AB100000000450,Sedan X,2026-03-01,174,172,Planned,High,Plant-B,SUPV023
WO10451,MA1AB100000000451,Sedan X,2026-03-02,193,187,Completed,Medium,Plant-A,SUPV009
WO10452,MA1AB100000000452,Hatch Z,2026-03-03,81,69,Delayed,High,Plant-C,SUPV006
WO10453,MA1AB100000000453,Sedan X,2026-03-04,91,90,Planned,Low,Plant-B,SUPV022
WO10454,MA1AB100000000454,Sedan X,2026-03-05,148,134,Delayed,Medium,Plant-C,SUPV016
WO10455,MA1AB100000000455,Sedan X,2026-03-06,131,136,Completed,Medium,Plant-A,SUPV020
WO10456,MA1AB100000000456,Hatch Z,2026-03-07,72,67,In Progress,Low,Plant-B,SUPV001
WO10457,MA1AB100000000457,EV Prime,2026-03-08,154,160,Delayed,Medium,Plant-C,SUPV014
WO10458,MA1AB100000000458,EV Prime,2026-03-09,177,168,Planned,Low,Plant-B,SUPV021
WO10459,MA1AB100000000459,EV Prime,2026-03-10,104,89,Delayed,Low,Plant-B,SUPV009
WO10460,MA1AB100000000460,Sedan X,2026-03-11,140,130,Completed,High,Plant-B,SUPV014
WO10461,MA1AB100000000461,Sedan X,2026-03-12,65,65,Delayed,High,Plant-A,SUPV023
WO10462,MA1AB100000000462,Sedan X,2026-03-13,90,81,In Progress,Low,Plant-B,SUPV004
WO10463,MA1AB100000000463,SUV Pro,2026-03-14,136,121,In Progress,Low,Plant-B,SUPV006
WO10464,MA1AB100000000464,Hatch Z,2026-03-15,172,162,Planned,High,Plant-A,SUPV024
WO10465,MA1AB100000000465,SUV Pro,2026-03-16,190,180,In Progress,High,Plant-C,SUPV016
WO10466,MA1AB100000000466,EV Prime,2026-03-17,87,95,In Progress,Low,Plant-A,SUPV018
WO10467,MA1AB100000000467,SUV Pro,2026-03-18,82,83,Completed,High,Plant-A,SUPV007
WO10468,MA1AB100000000468,EV Prime,2026-03-19,185,181,Planned,High,Plant-B,SUPV010
WO10469,MA1AB100000000469,EV Prime,2026-03-20,63,50,Completed,High,Plant-B,SUPV018
WO10470,MA1AB100000000470,SUV Pro,2026-03-21,102,93,Completed,Low,Plant-C,SUPV019
WO10471,MA1AB100000000471,Hatch Z,2026-03-22,81,85,In Progress,Medium,Plant-B,SUPV020
WO10472,MA1AB100000000472,Sedan X,2026-03-23,69,76,Completed,Medium,Plant-C,SUPV001
WO10473,MA1AB100000000473,SUV Pro,2026-03-24,84,82,Planned,Medium,Plant-B,SUPV004
WO10474,MA1AB100000000474,Hatch Z,2026-03-25,180,184,In Progress,Low,Plant-B,SUPV024
WO10475,MA1AB100000000475,SUV Pro,2026-03-26,54,58,Completed,Low,Plant-C,SUPV014
WO10476,MA1AB100000000476,Sedan X,2026-03-27,199,189,In Progress,High,Plant-B,SUPV005
WO10477,MA1AB100000000477,Sedan X,2026-03-28,170,175,Planned,Low,Plant-C,SUPV002
WO10478,MA1AB100000000478,Hatch Z,2026-03-29,75,74,Planned,Medium,Plant-C,SUPV019
WO10479,MA1AB100000000479,Sedan X,2026-03-30,109,117,Delayed,High,Plant-B,SUPV005
WO10480,MA1AB100000000480,Hatch Z,2026-03-31,193,198,Delayed,High,Plant-B,SUPV014
WO10481,MA1AB100000000481,EV Prime,2026-04-01,102,92,In Progress,Medium,Plant-C,SUPV021
WO10482,MA1AB100000000482,EV Prime,2026-04-02,159,151,In Progress,Low,Plant-C,SUPV002
WO10483,MA1AB100000000483,Hatch Z,2026-04-03,167,158,Completed,High,Plant-B,SUPV003
WO10484,MA1AB100000000484,SUV Pro,2026-04-04,118,106,Completed,Low,Plant-B,SUPV007
WO10485,MA1AB100000000485,SUV Pro,2026-04-05,136,128,Planned,Low,Plant-C,SUPV007
WO10486,MA1AB100000000486,Hatch Z,2026-04-06,197,186,Completed,High,Plant-A,SUPV019
WO10487,MA1AB100000000487,Hatch Z,2026-04-07,134,134,Planned,Medium,Plant-B,SUPV018
WO10488,MA1AB100000000488,Hatch Z,2026-04-08,189,181,Planned,Low,Plant-B,SUPV017
WO10489,MA1AB100000000489,EV Prime,2026-04-09,93,81,Planned,High,Plant-C,SUPV017
WO10490,MA1AB100000000490,Sedan X,2026-04-10,134,135,Completed,Low,Plant-B,SUPV016
WO10491,MA1AB100000000491,EV Prime,2026-04-11,71,80,Completed,Low,Plant-A,SUPV011
WO10492,MA1AB100000000492,EV Prime,2026-04-12,96,101,Planned,Low,Plant-C,SUPV021
WO10493,MA1AB100000000493,SUV Pro,2026-04-13,70,69,Delayed,Low,Plant-C,SUPV018
WO10494,MA1AB100000000494,EV Prime,2026-04-14,140,145,Planned,Medium,Plant-B,SUPV006
WO10495,MA1AB100000000495,Hatch Z,2026-04-15,99,97,In Progress,High,Plant-C,SUPV002
WO10496,MA1AB100000000496,SUV Pro,2026-04-16,66,64,Completed,Medium,Plant-B,SUPV011
WO10497,MA1AB100000000497,Hatch Z,2026-04-17,120,113,Delayed,High,Plant-B,SUPV007
WO10498,MA1AB100000000498,SUV Pro,2026-04-18,168,161,Completed,Medium,Plant-A,SUPV002
WO10499,MA1AB100000000499,EV Prime,2026-04-19,146,133,Delayed,High,Plant-C,SUPV002
WO10500,MA1AB100000000500,SUV Pro,2026-04-20,127,115,Planned,Medium,Plant-A,SUPV008
WO10501,MA1AB100000000501,SUV Pro,2026-04-21,102,103,Planned,High,Plant-A,SUPV003
WO10502,MA1AB100000000502,Hatch Z,2026-04-22,66,62,Completed,Medium,Plant-C,SUPV023
WO10503,MA1AB100000000503,EV Prime,2026-04-23,90,92,Delayed,Medium,Plant-C,SUPV015
WO10504,MA1AB100000000504,Hatch Z,2026-04-24,53,49,Delayed,Low,Plant-A,SUPV011
WO10505,MA1AB100000000505,Hatch Z,2026-04-25,175,168,Delayed,Low,Plant-C,SUPV023
WO10506,MA1AB100000000506,Hatch Z,2026-04-26,154,160,Planned,Medium,Plant-B,SUPV013
WO10507,MA1AB100000000507,Sedan X,2026-04-27,194,200,Delayed,Low,Plant-C,SUPV016
WO10508,MA1AB100000000508,Hatch Z,2026-04-28,67,61,In Progress,Low,Plant-A,SUPV010
WO10509,MA1AB100000000509,Sedan X,2026-04-29,150,158,Planned,High,Plant-B,SUPV023
WO10510,MA1AB100000000510,SUV Pro,2026-04-30,135,130,In Progress,Low,Plant-A,SUPV002
WO10511,MA1AB100000000511,Sedan X,2026-05-01,77,81,Delayed,Low,Plant-A,SUPV003
WO10512,MA1AB100000000512,Sedan X,2026-05-02,58,67,Delayed,High,Plant-A,SUPV009
WO10513,MA1AB100000000513,Hatch Z,2026-05-03,113,112,In Progress,High,Plant-C,SUPV021
WO10514,MA1AB100000000514,SUV Pro,2026-05-04,106,103,Planned,Low,Plant-B,SUPV014
WO10515,MA1AB100000000515,SUV Pro,2026-05-05,150,140,In Progress,Low,Plant-B,SUPV004
WO10516,MA1AB100000000516,EV Prime,2026-05-06,119,123,Planned,High,Plant-C,SUPV004
WO10517,MA1AB100000000517,EV Prime,2026-05-07,110,112,Planned,High,Plant-B,SUPV019
WO10518,MA1AB100000000518,Hatch Z,2026-05-08,64,68,Delayed,High,Plant-A,SUPV012
WO10519,MA1AB100000000519,EV Prime,2026-05-09,70,64,Planned,High,Plant-C,SUPV022
WO10520,MA1AB100000000520,EV Prime,2026-05-10,180,190,Planned,High,Plant-C,SUPV019
WO10521,MA1AB100000000521,Hatch Z,2026-05-11,157,148,Delayed,Medium,Plant-A,SUPV002
WO10522,MA1AB100000000522,Sedan X,2026-05-12,114,112,Completed,High,Plant-C,SUPV007
WO10523,MA1AB100000000523,EV Prime,2026-05-13,70,64,Delayed,Medium,Plant-B,SUPV024
WO10524,MA1AB100000000524,EV Prime,2026-05-14,109,118,Completed,High,Plant-A,SUPV012
WO10525,MA1AB100000000525,Sedan X,2026-05-15,120,126,Completed,Medium,Plant-C,SUPV021
WO10526,MA1AB100000000526,SUV Pro,2026-05-16,142,151,Planned,Low,Plant-B,SUPV017
WO10527,MA1AB100000000527,Hatch Z,2026-05-17,167,169,Completed,Medium,Plant-C,SUPV019
WO10528,MA1AB100000000528,Hatch Z,2026-05-18,195,187,In Progress,Medium,Plant-B,SUPV014
WO10529,MA1AB100000000529,SUV Pro,2026-05-19,151,154,In Progress,High,Plant-A,SUPV009
WO10530,MA1AB100000000530,SUV Pro,2026-05-20,126,118,Completed,Medium,Plant-C,SUPV018
WO10531,MA1AB100000000531,EV Prime,2026-05-21,191,187,In Progress,High,Plant-A,SUPV010
WO10532,MA1AB100000000532,Sedan X,2026-05-22,181,175,In Progress,Medium,Plant-A,SUPV020
WO10533,MA1AB100000000533,EV Prime,2026-05-23,69,63,Delayed,High,Plant-A,SUPV025
WO10534,MA1AB100000000534,Sedan X,2026-05-24,100,89,Planned,High,Plant-C,SUPV020
