Reading_ID,Event_ID,Sensor_ID,Timestamp,Torque,Temperature,Pressure,Vibration_mm_s,Energy_kWh,Calibration_Factor_x,Torque_Nm,Torque_Status,Temperature_C,Temperature_Status,Calibration_Factor_y,Calibrated_Torque,Drift,Calibration_Status
RD002388,M9725,SEN-024,2026-03-02 01:53:30,,104 F,65 psi,6.79,6.06,0.995,47.4537,Valid,40.0,Valid,1.028,,,Out of Calibration
RD002389,M10661,SEN-046,2026-03-02 01:54:00,,95 F,65 psi,4.75,4.2,0.981,,Invalid,35.0,Valid,0.998,,,Out of Calibration
RD002390,M10152,SEN-022,2026-03-02 01:54:30,,40 C,65 psi,4.4,1.12,1.03,47.4537,Valid,40.0,Valid,1.021,,,Out of Calibration
RD002391,M8110,SEN-001,2026-03-02 01:55:00,45.0,,65 psi,6.85,0.81,1.014,45.0,Valid,,Invalid,0.991,44.6,-0.4,Within Limit
RD002392,M8249,SEN-004,2026-03-02 01:55:30,,95 F,5.2 bar,0.28,3.99,0.984,97.61904,Valid,35.0,Valid,0.983,,,Out of Calibration
RD002393,M9652,SEN-045,2026-03-02 01:56:00,,104 F,65 psi,5.87,6.06,0.981,,Invalid,40.0,Valid,0.976,,,Out of Calibration
RD002394,M9280,SEN-034,2026-03-02 01:56:30,,,5.2 bar,1.09,4.87,0.975,97.61904,Valid,,Invalid,1.016,,,Out of Calibration
RD002395,M11773,SEN-042,2026-03-02 01:57:00,,35 C,72 psi,6.02,5.62,1.018,47.4537,Valid,35.0,Valid,0.976,,,Out of Calibration
RD002396,M9709,SEN-030,2026-03-02 01:57:30,45.0,104 F,72 psi,6.1,5.31,1.02,45.0,Valid,40.0,Valid,0.997,44.86,-0.14,Within Limit
RD002397,M10962,SEN-029,2026-03-02 01:58:00,60.0,95 F,4.5 bar,6.2,2.98,1.011,60.0,Valid,35.0,Valid,0.971,58.26,-1.74,Within Limit
RD002398,M11399,SEN-031,2026-03-02 01:58:30,,95 F,5.2 bar,3.08,3.81,0.989,,Invalid,35.0,Valid,1.019,,,Out of Calibration
RD002399,M8199,SEN-045,2026-03-02 01:59:00,45.0,,5.2 bar,5.03,5.46,0.98,45.0,Valid,,Invalid,0.976,43.92,-1.08,Within Limit
RD002400,M10236,SEN-024,2026-03-02 01:59:30,,,72 psi,6.21,5.41,1.021,97.61904,Valid,,Invalid,1.028,,,Out of Calibration
RD002401,M10579,SEN-007,2026-03-02 02:00:00,45.0,35 C,65 psi,1.85,6.17,0.982,45.0,Valid,35.0,Valid,1.009,45.4,0.4,Within Limit
RD002402,M11877,SEN-030,2026-03-02 02:00:30,60.0,85C,5.2 bar,2.17,5.64,1.019,60.0,Valid,85.0,Valid,0.997,59.82,-0.18,Within Limit
RD002403,M7037,SEN-027,2026-03-02 02:01:00,,35 C,72 psi,6.3,7.62,0.974,,Invalid,35.0,Valid,1.001,,,Out of Calibration
RD002404,M10716,SEN-040,2026-03-02 02:01:30,50.0,40 C,65 psi,2.22,5.07,1.0,50.0,Valid,40.0,Valid,0.982,49.1,-0.9,Within Limit
RD002405,M10185,SEN-006,2026-03-02 02:02:00,60.0,104 F,72 psi,0.2,1.67,0.978,60.0,Valid,40.0,Valid,0.995,59.7,-0.3,Within Limit
RD002406,M7461,SEN-013,2026-03-02 02:02:30,,85C,5.2 bar,4.02,4.22,0.97,47.4537,Valid,85.0,Valid,1.003,,,Out of Calibration
RD002407,M8295,SEN-041,2026-03-02 02:03:00,50.0,104 F,4.5 bar,0.86,7.86,1.027,50.0,Valid,40.0,Valid,0.984,49.2,-0.8,Within Limit
RD002408,M7814,SEN-022,2026-03-02 02:03:30,60.0,35 C,4.5 bar,5.88,5.04,1.019,60.0,Valid,35.0,Valid,1.021,61.26,1.26,Within Limit
RD002409,M9218,SEN-036,2026-03-02 02:04:00,,,4.5 bar,7.38,0.79,0.991,97.61904,Valid,,Invalid,1.012,,,Out of Calibration
RD002410,M8394,SEN-029,2026-03-02 02:04:30,,,4.5 bar,2.47,1.49,1.001,47.4537,Valid,,Invalid,0.971,,,Out of Calibration
RD002411,M9011,SEN-037,2026-03-02 02:05:00,60.0,,72 psi,2.89,4.49,1.002,60.0,Valid,,Invalid,1.028,61.68,1.68,Within Limit
RD002412,M10201,SEN-026,2026-03-02 02:05:30,,85C,72 psi,2.63,2.41,0.987,,Invalid,85.0,Valid,1.014,,,Out of Calibration
RD002413,M9594,SEN-002,2026-03-02 02:06:00,,,5.2 bar,0.68,5.32,1.012,,Invalid,,Invalid,1.018,,,Out of Calibration
RD002414,M10528,SEN-050,2026-03-02 02:06:30,,40 C,65 psi,5.73,3.0,0.987,,Invalid,40.0,Valid,0.995,,,Out of Calibration
RD002415,M11043,SEN-009,2026-03-02 02:07:00,45.0,104 F,72 psi,5.35,2.65,0.996,45.0,Valid,40.0,Valid,1.016,45.72,0.72,Within Limit
RD002416,M8978,SEN-045,2026-03-02 02:07:30,50.0,,72 psi,0.84,6.69,0.992,50.0,Valid,,Invalid,0.976,48.8,-1.2,Within Limit
RD002417,M8806,SEN-016,2026-03-02 02:08:00,60.0,95 F,72 psi,0.67,2.15,0.984,60.0,Valid,35.0,Valid,0.999,59.94,-0.06,Within Limit
RD002418,M10218,SEN-039,2026-03-02 02:08:30,,40 C,4.5 bar,4.93,6.51,0.974,47.4537,Valid,40.0,Valid,1.013,,,Out of Calibration
RD002419,M11630,SEN-021,2026-03-02 02:09:00,60.0,40 C,5.2 bar,7.89,1.47,1.005,60.0,Valid,40.0,Valid,1.01,60.6,0.6,Within Limit
RD002420,M9426,SEN-028,2026-03-02 02:09:30,45.0,,4.5 bar,3.41,7.61,1.007,45.0,Valid,,Invalid,1.028,46.26,1.26,Within Limit
RD002421,M8448,SEN-042,2026-03-02 02:10:00,45.0,,72 psi,2.92,2.03,1.012,45.0,Valid,,Invalid,0.976,43.92,-1.08,Within Limit
RD002422,M8806,SEN-026,2026-03-02 02:10:30,60.0,95 F,72 psi,6.21,6.4,1.009,60.0,Valid,35.0,Valid,1.014,60.84,0.84,Within Limit
RD002423,M7233,SEN-001,2026-03-02 02:11:00,,85C,65 psi,2.97,3.96,1.022,,Invalid,85.0,Valid,0.991,,,Out of Calibration
RD002424,M9349,SEN-037,2026-03-02 02:11:30,,95 F,4.5 bar,5.33,6.39,0.995,97.61904,Valid,35.0,Valid,1.028,,,Out of Calibration
RD002425,M8773,SEN-035,2026-03-02 02:12:00,,35 C,72 psi,1.01,2.99,0.993,47.4537,Valid,35.0,Valid,1.026,,,Out of Calibration
RD002426,M11162,SEN-013,2026-03-02 02:12:30,,,5.2 bar,5.51,1.88,0.985,47.4537,Valid,,Invalid,1.003,,,Out of Calibration
RD002427,M8356,SEN-017,2026-03-02 02:13:00,,35 C,72 psi,5.57,4.3,0.998,97.61904,Valid,35.0,Valid,0.98,,,Out of Calibration
RD002428,M9489,SEN-049,2026-03-02 02:13:30,60.0,104 F,65 psi,6.06,2.78,1.029,60.0,Valid,40.0,Valid,0.975,58.5,-1.5,Within Limit
RD002429,M8291,SEN-024,2026-03-02 02:14:00,60.0,35 C,4.5 bar,7.99,5.51,1.029,60.0,Valid,35.0,Valid,1.028,61.68,1.68,Within Limit
RD002430,M9180,SEN-019,2026-03-02 02:14:30,50.0,35 C,5.2 bar,5.81,5.76,1.0,50.0,Valid,35.0,Valid,1.027,51.35,1.35,Within Limit
RD002431,M8518,SEN-033,2026-03-02 02:15:00,,95 F,5.2 bar,3.79,3.56,0.975,47.4537,Valid,35.0,Valid,0.986,,,Out of Calibration
RD002432,M11828,SEN-044,2026-03-02 02:15:30,,35 C,5.2 bar,2.7,5.33,1.027,,Invalid,35.0,Valid,0.975,,,Out of Calibration
RD002433,M10604,SEN-044,2026-03-02 02:16:00,45.0,35 C,4.5 bar,4.43,5.25,0.994,45.0,Valid,35.0,Valid,0.975,43.88,-1.12,Within Limit
RD002434,M9281,SEN-045,2026-03-02 02:16:30,,35 C,72 psi,6.47,3.2,0.998,47.4537,Valid,35.0,Valid,0.976,,,Out of Calibration
RD002435,M9463,SEN-029,2026-03-02 02:17:00,,104 F,65 psi,1.0,6.9,0.992,,Invalid,40.0,Valid,0.971,,,Out of Calibration
RD002436,M11768,SEN-012,2026-03-02 02:17:30,60.0,35 C,5.2 bar,6.68,1.7,1.01,60.0,Valid,35.0,Valid,1.012,60.72,0.72,Within Limit
RD002437,M9239,SEN-050,2026-03-02 02:18:00,,35 C,72 psi,2.53,5.49,0.984,,Invalid,35.0,Valid,0.995,,,Out of Calibration
RD002438,M10985,SEN-009,2026-03-02 02:18:30,50.0,,4.5 bar,6.88,6.1,1.007,50.0,Valid,,Invalid,1.016,50.8,0.8,Within Limit
RD002439,M9397,SEN-004,2026-03-02 02:19:00,,95 F,5.2 bar,5.34,6.56,0.982,97.61904,Valid,35.0,Valid,0.983,,,Out of Calibration
RD002440,M9811,SEN-021,2026-03-02 02:19:30,,85C,5.2 bar,8.46,2.16,1.029,47.4537,Valid,85.0,Valid,1.01,,,Out of Calibration
RD002441,M7987,SEN-029,2026-03-02 02:20:00,,35 C,4.5 bar,1.95,7.59,0.985,97.61904,Valid,35.0,Valid,0.971,,,Out of Calibration
RD002442,M7850,SEN-028,2026-03-02 02:20:30,45.0,40 C,4.5 bar,2.14,1.17,1.011,45.0,Valid,40.0,Valid,1.028,46.26,1.26,Within Limit
RD002443,M10975,SEN-024,2026-03-02 02:21:00,60.0,85C,65 psi,5.36,5.57,0.987,60.0,Valid,85.0,Valid,1.028,61.68,1.68,Within Limit
RD002444,M7065,SEN-020,2026-03-02 02:21:30,,35 C,4.5 bar,6.54,5.68,0.995,47.4537,Valid,35.0,Valid,0.985,,,Out of Calibration
RD002445,M8732,SEN-028,2026-03-02 02:22:00,,85C,65 psi,4.5,7.7,0.997,47.4537,Valid,85.0,Valid,1.028,,,Out of Calibration
RD002446,M10823,SEN-045,2026-03-02 02:22:30,,95 F,4.5 bar,4.05,1.67,0.997,47.4537,Valid,35.0,Valid,0.976,,,Out of Calibration
RD002447,M8633,SEN-031,2026-03-02 02:23:00,60.0,85C,65 psi,1.29,5.84,1.028,60.0,Valid,85.0,Valid,1.019,61.14,1.14,Within Limit
RD002448,M8372,SEN-015,2026-03-02 02:23:30,,,4.5 bar,4.64,6.61,1.024,,Invalid,,Invalid,1.012,,,Out of Calibration
RD002449,M10991,SEN-045,2026-03-02 02:24:00,,40 C,4.5 bar,7.29,2.52,1.01,,Invalid,40.0,Valid,0.976,,,Out of Calibration
RD002450,M11276,SEN-001,2026-03-02 02:24:30,60.0,95 F,65 psi,1.48,5.19,1.004,60.0,Valid,35.0,Valid,0.991,59.46,-0.54,Within Limit
RD002451,M8117,SEN-043,2026-03-02 02:25:00,50.0,40 C,4.5 bar,5.55,2.23,1.015,50.0,Valid,40.0,Valid,1.021,51.05,1.05,Within Limit
RD002452,M8715,SEN-018,2026-03-02 02:25:30,,35 C,65 psi,8.19,1.71,0.992,,Invalid,35.0,Valid,1.013,,,Out of Calibration
RD002453,M8719,SEN-049,2026-03-02 02:26:00,,,65 psi,1.37,6.02,1.023,97.61904,Valid,,Invalid,0.975,,,Out of Calibration
RD002454,M11310,SEN-047,2026-03-02 02:26:30,,35 C,72 psi,5.53,4.67,0.971,47.4537,Valid,35.0,Valid,0.998,,,Out of Calibration
RD002455,M10587,SEN-035,2026-03-02 02:27:00,,35 C,4.5 bar,6.46,2.57,1.026,97.61904,Valid,35.0,Valid,1.026,,,Out of Calibration
RD002456,M11368,SEN-026,2026-03-02 02:27:30,,85C,4.5 bar,3.33,5.66,1.013,97.61904,Valid,85.0,Valid,1.014,,,Out of Calibration
RD002457,M9627,SEN-023,2026-03-02 02:28:00,45.0,35 C,65 psi,5.36,3.23,1.025,45.0,Valid,35.0,Valid,1.015,45.68,0.68,Within Limit
RD002458,M10327,SEN-043,2026-03-02 02:28:30,,40 C,72 psi,1.71,5.83,0.973,47.4537,Valid,40.0,Valid,1.021,,,Out of Calibration
RD002459,M9429,SEN-010,2026-03-02 02:29:00,,85C,72 psi,6.88,7.33,1.01,,Invalid,85.0,Valid,1.006,,,Out of Calibration
RD002460,M8906,SEN-025,2026-03-02 02:29:30,,85C,72 psi,1.28,6.74,0.987,47.4537,Valid,85.0,Valid,1.01,,,Out of Calibration
RD002461,M8121,SEN-030,2026-03-02 02:30:00,,104 F,65 psi,5.24,7.39,0.99,,Invalid,40.0,Valid,0.997,,,Out of Calibration
RD002462,M11046,SEN-013,2026-03-02 02:30:30,50.0,35 C,65 psi,5.42,5.54,1.01,50.0,Valid,35.0,Valid,1.003,50.15,0.15,Within Limit
RD002463,M10484,SEN-029,2026-03-02 02:31:00,,40 C,72 psi,5.38,5.46,1.016,,Invalid,40.0,Valid,0.971,,,Out of Calibration
RD002464,M9772,SEN-015,2026-03-02 02:31:30,,85C,5.2 bar,0.94,7.45,0.983,47.4537,Valid,85.0,Valid,1.012,,,Out of Calibration
RD002465,M11873,SEN-006,2026-03-02 02:32:00,60.0,,4.5 bar,7.71,5.41,1.024,60.0,Valid,,Invalid,0.995,59.7,-0.3,Within Limit
RD002466,M8647,SEN-029,2026-03-02 02:32:30,50.0,85C,65 psi,1.34,7.86,0.985,50.0,Valid,85.0,Valid,0.971,48.55,-1.45,Within Limit
RD002467,M8399,SEN-029,2026-03-02 02:33:00,,40 C,65 psi,7.1,4.24,0.998,97.61904,Valid,40.0,Valid,0.971,,,Out of Calibration
RD002468,M9708,SEN-041,2026-03-02 02:33:30,45.0,85C,65 psi,5.24,5.5,0.979,45.0,Valid,85.0,Valid,0.984,44.28,-0.72,Within Limit
RD002469,M7991,SEN-038,2026-03-02 02:34:00,45.0,95 F,72 psi,5.23,5.73,1.016,45.0,Valid,35.0,Valid,0.981,44.14,-0.86,Within Limit
RD002470,M11072,SEN-049,2026-03-02 02:34:30,,35 C,72 psi,3.83,7.69,1.025,97.61904,Valid,35.0,Valid,0.975,,,Out of Calibration
RD002471,M8832,SEN-026,2026-03-02 02:35:00,,85C,5.2 bar,4.46,3.91,0.989,97.61904,Valid,85.0,Valid,1.014,,,Out of Calibration
RD002472,M8744,SEN-032,2026-03-02 02:35:30,,104 F,65 psi,2.32,4.88,0.987,,Invalid,40.0,Valid,1.021,,,Out of Calibration
RD002473,M7012,SEN-022,2026-03-02 02:36:00,60.0,35 C,65 psi,5.47,6.98,1.017,60.0,Valid,35.0,Valid,1.021,61.26,1.26,Within Limit
RD002474,M8373,SEN-007,2026-03-02 02:36:30,60.0,,4.5 bar,7.26,5.81,1.004,60.0,Valid,,Invalid,1.009,60.54,0.54,Within Limit
RD002475,M7262,SEN-032,2026-03-02 02:37:00,50.0,85C,4.5 bar,2.46,2.5,1.008,50.0,Valid,85.0,Valid,1.021,51.05,1.05,Within Limit
RD002476,M7068,SEN-020,2026-03-02 02:37:30,45.0,95 F,65 psi,7.42,5.73,0.984,45.0,Valid,35.0,Valid,0.985,44.32,-0.68,Within Limit
RD002477,M9011,SEN-009,2026-03-02 02:38:00,60.0,40 C,5.2 bar,2.13,0.7,1.026,60.0,Valid,40.0,Valid,1.016,60.96,0.96,Within Limit
RD002478,M11045,SEN-049,2026-03-02 02:38:30,50.0,,72 psi,3.57,0.78,1.001,50.0,Valid,,Invalid,0.975,48.75,-1.25,Within Limit
RD002479,M8768,SEN-049,2026-03-02 02:39:00,,,4.5 bar,5.8,7.01,1.01,,Invalid,,Invalid,0.975,,,Out of Calibration
RD002480,M8716,SEN-023,2026-03-02 02:39:30,50.0,,72 psi,8.26,7.38,0.979,50.0,Valid,,Invalid,1.015,50.75,0.75,Within Limit
RD002481,M10714,SEN-029,2026-03-02 02:40:00,45.0,95 F,4.5 bar,2.61,3.71,0.972,45.0,Valid,35.0,Valid,0.971,43.7,-1.3,Within Limit
RD002482,M8256,SEN-049,2026-03-02 02:40:30,45.0,85C,72 psi,7.87,2.9,0.992,45.0,Valid,85.0,Valid,0.975,43.88,-1.12,Within Limit
RD002483,M10537,SEN-042,2026-03-02 02:41:00,,95 F,5.2 bar,5.0,5.2,0.983,47.4537,Valid,35.0,Valid,0.976,,,Out of Calibration
RD002484,M7260,SEN-022,2026-03-02 02:41:30,,104 F,72 psi,3.83,7.94,1.024,97.61904,Valid,40.0,Valid,1.021,,,Out of Calibration
RD002485,M11136,SEN-029,2026-03-02 02:42:00,45.0,,4.5 bar,2.46,6.99,0.97,45.0,Valid,,Invalid,0.971,43.7,-1.3,Within Limit
RD002486,M7737,SEN-038,2026-03-02 02:42:30,50.0,35 C,65 psi,8.28,1.87,1.016,50.0,Valid,35.0,Valid,0.981,49.05,-0.95,Within Limit
RD002487,M11127,SEN-002,2026-03-02 02:43:00,45.0,,5.2 bar,7.58,6.71,1.008,45.0,Valid,,Invalid,1.018,45.81,0.81,Within Limit
RD002488,M7875,SEN-010,2026-03-02 02:43:30,50.0,,65 psi,2.13,2.28,0.986,50.0,Valid,,Invalid,1.006,50.3,0.3,Within Limit
RD002489,M10731,SEN-030,2026-03-02 02:44:00,,,4.5 bar,7.45,1.96,0.989,,Invalid,,Invalid,0.997,,,Out of Calibration
RD002490,M9013,SEN-027,2026-03-02 02:44:30,,40 C,4.5 bar,1.45,5.09,0.995,47.4537,Valid,40.0,Valid,1.001,,,Out of Calibration
RD002491,M7113,SEN-041,2026-03-02 02:45:00,45.0,40 C,5.2 bar,3.71,4.02,1.018,45.0,Valid,40.0,Valid,0.984,44.28,-0.72,Within Limit
RD002492,M11826,SEN-002,2026-03-02 02:45:30,,35 C,65 psi,5.32,1.64,1.019,97.61904,Valid,35.0,Valid,1.018,,,Out of Calibration
RD002493,M10226,SEN-023,2026-03-02 02:46:00,,85C,65 psi,0.7,4.69,0.973,97.61904,Valid,85.0,Valid,1.015,,,Out of Calibration
RD002494,M9661,SEN-049,2026-03-02 02:46:30,,,65 psi,3.01,7.41,0.984,97.61904,Valid,,Invalid,0.975,,,Out of Calibration
RD002495,M11865,SEN-043,2026-03-02 02:47:00,50.0,,5.2 bar,3.1,7.13,0.999,50.0,Valid,,Invalid,1.021,51.05,1.05,Within Limit
RD002496,M11178,SEN-007,2026-03-02 02:47:30,60.0,85C,4.5 bar,1.45,2.08,0.975,60.0,Valid,85.0,Valid,1.009,60.54,0.54,Within Limit
RD002497,M9200,SEN-043,2026-03-02 02:48:00,60.0,,65 psi,5.62,4.06,0.992,60.0,Valid,,Invalid,1.021,61.26,1.26,Within Limit
RD002498,M9095,SEN-039,2026-03-02 02:48:30,50.0,85C,5.2 bar,0.88,6.69,1.013,50.0,Valid,85.0,Valid,1.013,50.65,0.65,Within Limit
RD002499,M8385,SEN-036,2026-03-02 02:49:00,,85C,5.2 bar,4.16,5.85,0.984,97.61904,Valid,85.0,Valid,1.012,,,Out of Calibration
RD002500,M11426,SEN-019,2026-03-02 02:49:30,,95 F,65 psi,2.58,1.16,1.019,97.61904,Valid,35.0,Valid,1.027,,,Out of Calibration
RD002501,M7554,SEN-010,2026-03-02 02:50:00,,,72 psi,0.28,3.86,0.987,,Invalid,,Invalid,1.006,,,Out of Calibration
RD002502,M11421,SEN-034,2026-03-02 02:50:30,,95 F,65 psi,6.18,6.27,1.003,47.4537,Valid,35.0,Valid,1.016,,,Out of Calibration
RD002503,M10493,SEN-019,2026-03-02 02:51:00,,35 C,5.2 bar,3.19,2.28,0.989,47.4537,Valid,35.0,Valid,1.027,,,Out of Calibration
RD002504,M8742,SEN-033,2026-03-02 02:51:30,45.0,85C,5.2 bar,0.28,5.51,1.004,45.0,Valid,85.0,Valid,0.986,44.37,-0.63,Within Limit
RD002505,M10785,SEN-026,2026-03-02 02:52:00,,,4.5 bar,5.36,4.44,1.004,,Invalid,,Invalid,1.014,,,Out of Calibration
RD002506,M9281,SEN-034,2026-03-02 02:52:30,60.0,40 C,72 psi,4.46,7.47,0.996,60.0,Valid,40.0,Valid,1.016,60.96,0.96,Within Limit
RD002507,M11167,SEN-047,2026-03-02 02:53:00,50.0,40 C,4.5 bar,7.6,2.35,1.008,50.0,Valid,40.0,Valid,0.998,49.9,-0.1,Within Limit
RD002508,M8890,SEN-018,2026-03-02 02:53:30,45.0,40 C,65 psi,7.08,1.65,0.996,45.0,Valid,40.0,Valid,1.013,45.58,0.58,Within Limit
RD002509,M11554,SEN-046,2026-03-02 02:54:00,,85C,65 psi,8.29,1.4,1.014,,Invalid,85.0,Valid,0.998,,,Out of Calibration
RD002510,M8997,SEN-022,2026-03-02 02:54:30,60.0,95 F,4.5 bar,7.0,2.14,0.993,60.0,Valid,35.0,Valid,1.021,61.26,1.26,Within Limit
RD002511,M7514,SEN-044,2026-03-02 02:55:00,45.0,35 C,5.2 bar,2.35,5.84,1.014,45.0,Valid,35.0,Valid,0.975,43.88,-1.12,Within Limit
RD002512,M10661,SEN-040,2026-03-02 02:55:30,60.0,95 F,65 psi,2.26,6.72,0.992,60.0,Valid,35.0,Valid,0.982,58.92,-1.08,Within Limit
RD002513,M8193,SEN-009,2026-03-02 02:56:00,60.0,85C,65 psi,7.45,3.95,0.978,60.0,Valid,85.0,Valid,1.016,60.96,0.96,Within Limit
RD002514,M11503,SEN-049,2026-03-02 02:56:30,,35 C,5.2 bar,2.08,6.57,0.985,47.4537,Valid,35.0,Valid,0.975,,,Out of Calibration
RD002515,M10859,SEN-015,2026-03-02 02:57:00,50.0,,72 psi,5.57,6.82,1.022,50.0,Valid,,Invalid,1.012,50.6,0.6,Within Limit
RD002516,M7158,SEN-025,2026-03-02 02:57:30,,85C,5.2 bar,5.1,1.02,0.972,97.61904,Valid,85.0,Valid,1.01,,,Out of Calibration
RD002517,M11779,SEN-004,2026-03-02 02:58:00,,85C,5.2 bar,1.94,7.99,0.977,,Invalid,85.0,Valid,0.983,,,Out of Calibration
RD002518,M7115,SEN-014,2026-03-02 02:58:30,,85C,4.5 bar,7.9,5.09,0.975,,Invalid,85.0,Valid,1.026,,,Out of Calibration
RD002519,M8571,SEN-015,2026-03-02 02:59:00,,35 C,4.5 bar,6.92,5.1,1.028,,Invalid,35.0,Valid,1.012,,,Out of Calibration
RD002520,M9093,SEN-016,2026-03-02 02:59:30,,40 C,72 psi,0.22,1.56,1.004,,Invalid,40.0,Valid,0.999,,,Out of Calibration
RD002521,M10256,SEN-030,2026-03-02 03:00:00,,,72 psi,7.92,1.93,0.98,97.61904,Valid,,Invalid,0.997,,,Out of Calibration
RD002522,M9209,SEN-006,2026-03-02 03:00:30,,35 C,4.5 bar,0.77,7.32,0.994,47.4537,Valid,35.0,Valid,0.995,,,Out of Calibration
RD002523,M11042,SEN-001,2026-03-02 03:01:00,45.0,35 C,65 psi,1.65,4.22,0.983,45.0,Valid,35.0,Valid,0.991,44.6,-0.4,Within Limit
RD002524,M11149,SEN-013,2026-03-02 03:01:30,60.0,85C,4.5 bar,3.79,6.01,0.975,60.0,Valid,85.0,Valid,1.003,60.18,0.18,Within Limit
RD002525,M10518,SEN-038,2026-03-02 03:02:00,,104 F,65 psi,0.58,5.13,1.009,47.4537,Valid,40.0,Valid,0.981,,,Out of Calibration
RD002526,M9807,SEN-028,2026-03-02 03:02:30,50.0,,4.5 bar,4.24,5.55,1.023,50.0,Valid,,Invalid,1.028,51.4,1.4,Within Limit
RD002527,M9421,SEN-048,2026-03-02 03:03:00,45.0,85C,65 psi,2.55,6.09,1.009,45.0,Valid,85.0,Valid,1.003,45.14,0.14,Within Limit
RD002528,M7027,SEN-002,2026-03-02 03:03:30,60.0,35 C,5.2 bar,0.84,2.67,1.019,60.0,Valid,35.0,Valid,1.018,61.08,1.08,Within Limit
RD002529,M8339,SEN-014,2026-03-02 03:04:00,,35 C,4.5 bar,5.64,7.99,1.013,47.4537,Valid,35.0,Valid,1.026,,,Out of Calibration
RD002530,M9720,SEN-036,2026-03-02 03:04:30,,85C,4.5 bar,0.3,3.49,0.995,97.61904,Valid,85.0,Valid,1.012,,,Out of Calibration
RD002531,M8114,SEN-021,2026-03-02 03:05:00,60.0,95 F,72 psi,7.45,5.31,1.02,60.0,Valid,35.0,Valid,1.01,60.6,0.6,Within Limit
RD002532,M11057,SEN-016,2026-03-02 03:05:30,45.0,35 C,4.5 bar,4.69,5.63,0.976,45.0,Valid,35.0,Valid,0.999,44.96,-0.04,Within Limit
RD002533,M11540,SEN-024,2026-03-02 03:06:00,,,65 psi,0.61,2.35,0.989,47.4537,Valid,,Invalid,1.028,,,Out of Calibration
RD002534,M8115,SEN-044,2026-03-02 03:06:30,50.0,95 F,65 psi,3.32,4.46,1.017,50.0,Valid,35.0,Valid,0.975,48.75,-1.25,Within Limit
RD002535,M11635,SEN-029,2026-03-02 03:07:00,,85C,72 psi,5.25,5.41,0.977,47.4537,Valid,85.0,Valid,0.971,,,Out of Calibration
RD002536,M7522,SEN-012,2026-03-02 03:07:30,,85C,72 psi,2.46,4.21,1.013,,Invalid,85.0,Valid,1.012,,,Out of Calibration
RD002537,M11866,SEN-048,2026-03-02 03:08:00,60.0,104 F,5.2 bar,7.21,7.09,0.971,60.0,Valid,40.0,Valid,1.003,60.18,0.18,Within Limit
RD002538,M7211,SEN-028,2026-03-02 03:08:30,45.0,95 F,4.5 bar,5.36,4.38,0.971,45.0,Valid,35.0,Valid,1.028,46.26,1.26,Within Limit
RD002539,M11215,SEN-013,2026-03-02 03:09:00,,,65 psi,2.22,7.23,1.002,97.61904,Valid,,Invalid,1.003,,,Out of Calibration
RD002540,M8216,SEN-008,2026-03-02 03:09:30,50.0,35 C,4.5 bar,3.25,1.91,0.983,50.0,Valid,35.0,Valid,0.995,49.75,-0.25,Within Limit
RD002541,M10503,SEN-014,2026-03-02 03:10:00,50.0,104 F,5.2 bar,8.12,4.4,0.997,50.0,Valid,40.0,Valid,1.026,51.3,1.3,Within Limit
RD002542,M9319,SEN-020,2026-03-02 03:10:30,60.0,85C,5.2 bar,6.96,7.51,0.987,60.0,Valid,85.0,Valid,0.985,59.1,-0.9,Within Limit
RD002543,M8707,SEN-026,2026-03-02 03:11:00,,95 F,72 psi,1.84,1.83,1.028,,Invalid,35.0,Valid,1.014,,,Out of Calibration
RD002544,M8453,SEN-001,2026-03-02 03:11:30,,85C,65 psi,7.56,0.76,1.008,,Invalid,85.0,Valid,0.991,,,Out of Calibration
RD002545,M7906,SEN-001,2026-03-02 03:12:00,,40 C,5.2 bar,0.72,6.2,0.977,47.4537,Valid,40.0,Valid,0.991,,,Out of Calibration
RD002546,M11525,SEN-012,2026-03-02 03:12:30,60.0,95 F,65 psi,6.78,6.54,0.998,60.0,Valid,35.0,Valid,1.012,60.72,0.72,Within Limit
RD002547,M11807,SEN-007,2026-03-02 03:13:00,60.0,85C,4.5 bar,1.58,2.15,1.003,60.0,Valid,85.0,Valid,1.009,60.54,0.54,Within Limit
RD002548,M11586,SEN-010,2026-03-02 03:13:30,60.0,104 F,4.5 bar,2.78,5.96,0.986,60.0,Valid,40.0,Valid,1.006,60.36,0.36,Within Limit
RD002549,M9396,SEN-047,2026-03-02 03:14:00,45.0,85C,5.2 bar,4.36,1.64,1.026,45.0,Valid,85.0,Valid,0.998,44.91,-0.09,Within Limit
RD002550,M7081,SEN-014,2026-03-02 03:14:30,,40 C,5.2 bar,0.34,6.65,1.013,97.61904,Valid,40.0,Valid,1.026,,,Out of Calibration
RD002551,M8644,SEN-004,2026-03-02 03:15:00,,95 F,4.5 bar,7.75,0.54,0.994,47.4537,Valid,35.0,Valid,0.983,,,Out of Calibration
RD002552,M9383,SEN-048,2026-03-02 03:15:30,50.0,104 F,4.5 bar,4.34,2.9,1.019,50.0,Valid,40.0,Valid,1.003,50.15,0.15,Within Limit
RD002553,M7661,SEN-009,2026-03-02 03:16:00,,85C,65 psi,3.17,4.9,0.996,97.61904,Valid,85.0,Valid,1.016,,,Out of Calibration
