Inspection_ID,Event_ID,VIN,Defect_Code,Defect,Inspection_Source,Inspector_ID,Rework_Flag,Scrap_Reason,Result
INSP10910,M9609,MA1AB100000002941,D002,OK,Unknown,INS75,N,Dimension,FAIL
INSP10911,M11514,MA1AB100000003142,NONE,Repair,Unknown,INS91,Y,Material,FAIL
INSP10912,M8477,MA1AB100000000893,D004,Reject,Unknown,INS10,N,Paint,FAIL
INSP10913,M9273,MA1AB100000004410,D001,OK,Unknown,INS64,N,,FAIL
INSP10914,M11515,MA1AB100000000119,D001,,Unknown,INS34,N,Weld,PASS
INSP10915,M8696,MA1AB100000002307,D004,,Unknown,INS67,Y,,PASS
INSP10916,M10656,MA1AB100000001766,NONE, ok ,Unknown,INS62,Y,Material,PASS
INSP10917,M8360,MA1AB100000003381,D001,OK,Unknown,INS12,N,Paint,PASS
INSP10918,M9008,MA1AB100000001314,NONE,reject,Unknown,INS24,Y,Material,PASS
INSP10919,M7339,MA1AB100000001932,D002,Repair,Unknown,INS78,N,,FAIL
INSP10920,M8271,MA1AB100000003513,D002,Reject,Unknown,INS48,Y,Dimension,PASS
INSP10921,M8279,MA1AB100000000872,D004,Repair,Unknown,INS51,N,,FAIL
INSP10922,M9840,MA1AB100000000997,D003,Reject,Unknown,INS99,N,Paint,PASS
INSP10923,M7028,MA1AB100000002597,D004,Repair,Unknown,INS88,N,Material,FAIL
INSP10924,M8768,MA1AB100000004738,D003,reject,Unknown,INS60,Y,Dimension,PASS
INSP10925,M7267,MA1AB100000000002,D002,reject,Unknown,INS91,Y,Paint,PASS
INSP10926,M9563,MA1AB100000002101,D002,reject,Unknown,INS34,Y,Material,FAIL
INSP10927,M10587,MA1AB100000004572,D001,OK,Unknown,INS46,Y,,FAIL
INSP10928,M10068,MA1AB100000002075,D003,,Unknown,INS25,Y,,PASS
INSP10929,M7214,MA1AB100000003467,D002,reject,Unknown,INS30,N,Weld,PASS
INSP10930,M8383,MA1AB100000003791,D003,Reject,Unknown,INS48,Y,,FAIL
INSP10931,M11429,MA1AB100000002326,NONE, ok ,Unknown,INS34,Y,Material,FAIL
INSP10932,M8081,MA1AB100000003202,D003,,Unknown,INS15,N,Weld,PASS
INSP10933,M9748,MA1AB100000000125,D004,Reject,Unknown,INS61,Y,Weld,PASS
INSP10934,M8512,MA1AB100000000338,NONE,Reject,Unknown,INS96,N,Material,PASS
INSP10935,M11045,MA1AB100000002106,NONE,reject,Unknown,INS63,N,Dimension,FAIL
INSP10936,M7272,MA1AB100000000692,D002,Reject,Unknown,INS70,Y,,FAIL
INSP10937,M9120,MA1AB100000004584,D003,Reject,Unknown,INS24,N,Material,FAIL
INSP10938,M7640,MA1AB100000004082,NONE,OK,Unknown,INS60,Y,Dimension,FAIL
INSP10939,M9827,MA1AB100000001405,D003,Repair,Unknown,INS81,N,Paint,FAIL
INSP10940,M10042,MA1AB100000000218,D003,reject,Unknown,INS39,Y,Paint,PASS
INSP10941,M7706,MA1AB100000003423,NONE,,Unknown,INS77,N,Material,PASS
INSP10942,M10774,MA1AB100000002828,D002,OK,Unknown,INS92,N,Dimension,FAIL
INSP10943,M7344,MA1AB100000003737,D003,Repair,Unknown,INS51,Y,,FAIL
INSP10944,M7448,MA1AB100000000921,D001,reject,Unknown,INS56,Y,Weld,FAIL
INSP10945,M7938,MA1AB100000002713,D004,OK,Unknown,INS50,Y,Dimension,FAIL
INSP10946,M10017,MA1AB100000003622,D001,reject,Unknown,INS14,N,Paint,FAIL
INSP10947,M11417,MA1AB100000002944,D004,Repair,Unknown,INS61,Y,,PASS
INSP10948,M8073,MA1AB100000004483,D002,reject,Unknown,INS88,N,Dimension,PASS
INSP10949,M7804,MA1AB100000000084,D001, ok ,Unknown,INS92,N,Weld,PASS
INSP10950,M8247,MA1AB100000003632,NONE,Repair,Unknown,INS33,Y,Weld,PASS
INSP10951,M10019,MA1AB100000002187,D004,Repair,Unknown,INS88,N,,FAIL
INSP10952,M9233,MA1AB100000001466,D003,Reject,Unknown,INS33,N,Dimension,FAIL
INSP10953,M9124,MA1AB100000004272,D002,,Unknown,INS22,Y,Dimension,PASS
INSP10954,M8328,MA1AB100000004083,D002,,Unknown,INS30,Y,Weld,FAIL
INSP10955,M9987,MA1AB100000004296,D001, ok ,Unknown,INS79,Y,Dimension,FAIL
INSP10956,M10907,MA1AB100000003947,NONE,Reject,Unknown,INS34,Y,Dimension,FAIL
INSP10957,M10807,MA1AB100000000426,NONE,Reject,Unknown,INS40,Y,,FAIL
INSP10958,M7241,MA1AB100000000703,NONE,reject,Unknown,INS86,Y,Dimension,FAIL
INSP10959,M10815,MA1AB100000003555,D002,OK,Unknown,INS13,N,Dimension,FAIL
INSP10960,M10785,MA1AB100000001063,D002,Repair,Unknown,INS20,Y,Paint,PASS
INSP10961,M7615,MA1AB100000000575,D003,Repair,Unknown,INS24,N,Weld,PASS
INSP10962,M10731,MA1AB100000004856,D004,,Unknown,INS81,N,Weld,FAIL
INSP10963,M11248,MA1AB100000000258,D004, ok ,Unknown,INS12,Y,,FAIL
INSP10964,M9645,MA1AB100000004005,D003,Repair,Unknown,INS54,Y,Paint,PASS
INSP10965,M7616,MA1AB100000000465,D001,,Unknown,INS32,Y,Material,FAIL
INSP10966,M9027,MA1AB100000000199,D002,Reject,Unknown,INS37,N,Weld,FAIL
INSP10967,M9462,MA1AB100000003463,D002,Reject,Unknown,INS47,Y,Paint,FAIL
INSP10968,M9006,MA1AB100000004334,NONE, ok ,Unknown,INS41,N,Weld,PASS
INSP10969,M11864,MA1AB100000001387,D001,Reject,Unknown,INS38,Y,Dimension,PASS
INSP10970,M9695,MA1AB100000002148,D001,Reject,Unknown,INS93,Y,Dimension,PASS
INSP10971,M10142,MA1AB100000000402,NONE,Reject,Unknown,INS91,Y,Paint,FAIL
INSP10972,M9990,MA1AB100000004010,D003,reject,Unknown,INS97,Y,Dimension,PASS
INSP10973,M10551,MA1AB100000000648,NONE, ok ,Unknown,INS29,Y,,FAIL
INSP10974,M9141,MA1AB100000000161,D003,reject,Unknown,INS87,N,Material,FAIL
INSP10975,M8442,MA1AB100000002982,NONE,,Unknown,INS64,N,Material,FAIL
INSP10976,M9788,MA1AB100000004365,NONE,Reject,Unknown,INS85,N,Material,PASS
INSP10977,M11892,MA1AB100000000536,D003,Repair,Unknown,INS79,N,Paint,FAIL
INSP10978,M11290,MA1AB100000002555,NONE,Repair,Unknown,INS85,N,,FAIL
INSP10979,M9580,MA1AB100000004436,D001,Repair,Unknown,INS24,N,Paint,PASS
INSP10980,M9920,MA1AB100000004456,D002,Repair,Unknown,INS71,N,,FAIL
INSP10981,M9798,MA1AB100000000163,D003,OK,Unknown,INS60,Y,,FAIL
INSP10982,M8142,MA1AB100000000031,D003,Reject,Unknown,INS69,Y,Paint,FAIL
INSP10983,M8875,MA1AB100000002612,D002,Reject,Unknown,INS57,N,Dimension,FAIL
INSP10984,M10630,MA1AB100000001203,D003,reject,Unknown,INS30,N,Weld,FAIL
INSP10985,M9737,MA1AB100000001795,D002,,Unknown,INS78,N,,PASS
INSP10986,M10845,MA1AB100000001566,D001,OK,Unknown,INS72,N,,FAIL
INSP10987,M11143,MA1AB100000000097,NONE,,Unknown,INS50,N,Paint,FAIL
INSP10988,M10065,MA1AB100000004802,NONE,Repair,Unknown,INS93,N,Paint,FAIL
INSP10989,M11396,MA1AB100000003764,NONE,Repair,Unknown,INS63,N,Dimension,FAIL
INSP10990,M7240,MA1AB100000000939,D004,Repair,Unknown,INS39,Y,Dimension,PASS
INSP10991,M10089,MA1AB100000003467,D004,,Unknown,INS20,N,Dimension,PASS
INSP10992,M7900,MA1AB100000004618,NONE,,Unknown,INS53,Y,Paint,FAIL
INSP10993,M11780,MA1AB100000000087,D003, ok ,Unknown,INS34,Y,,PASS
INSP10994,M10934,MA1AB100000001502,D003,,Unknown,INS25,N,Dimension,PASS
INSP10995,M11146,MA1AB100000004033,D004,reject,Unknown,INS17,Y,Paint,FAIL
INSP10996,M11569,MA1AB100000001363,NONE,Reject,Unknown,INS74,N,Weld,PASS
INSP10997,M8750,MA1AB100000004085,D003, ok ,Unknown,INS50,N,Weld,PASS
INSP10998,M11205,MA1AB100000002502,D002,,Unknown,INS13,Y,Material,FAIL
INSP10999,M8156,MA1AB100000004140,D003,OK,Unknown,INS44,N,,PASS
INSP11000,M8036,XX1 2 3 4,D002,reject,Unknown,INS92,N,Dimension,FAIL
INSP11001,M9522,MA1AB100000001211,D002,OK,Unknown,INS13,Y,Paint,PASS
INSP11002,M9401,MA1AB100000002395,D004, ok ,Unknown,INS27,N,Dimension,PASS
INSP11003,M10158,MA1AB100000003374,D001,OK,Unknown,INS24,N,Dimension,FAIL
INSP11004,M10131,MA1AB100000004919,NONE, ok ,Unknown,INS66,Y,Paint,FAIL
INSP11005,M10602,MA1AB100000000531,D003,Reject,Unknown,INS21,Y,Material,PASS
INSP11006,M8664,MA1AB100000004887,D001,reject,Unknown,INS84,Y,Weld,FAIL
INSP11007,M11201,MA1AB100000002777,D004, ok ,Unknown,INS10,Y,Dimension,FAIL
INSP11008,M8015,MA1AB100000004232,D003,OK,Unknown,INS51,N,Weld,FAIL
INSP11009,M8588,MA1AB100000000819,D003,,Unknown,INS84,Y,Dimension,PASS
INSP11010,M7019,MA1AB100000001133,D002,OK,Unknown,INS38,N,Weld,FAIL
INSP11011,M11137,MA1AB100000001714,D004,Repair,Unknown,INS51,Y,Weld,FAIL
INSP11012,M10428,MA1AB100000003132,NONE,OK,Unknown,INS48,Y,Dimension,PASS
INSP11013,M8105,MA1AB100000001989,D004, ok ,Unknown,INS29,N,Paint,FAIL
INSP11014,M9196,MA1AB100000003744,NONE, ok ,Unknown,INS72,Y,Paint,PASS
INSP11015,M10757,MA1AB100000001460,D001,reject,Unknown,INS81,N,Dimension,FAIL
INSP11016,M7178,MA1AB100000001734,D003,,Unknown,INS21,Y,Material,FAIL
INSP11017,M11050,MA1AB100000000353,NONE,,Unknown,INS64,Y,Dimension,FAIL
INSP11018,M10546,MA1AB100000002132,D002,OK,Unknown,INS51,Y,Paint,FAIL
INSP11019,M9896,MA1AB100000001644,D003, ok ,Unknown,INS35,N,Weld,FAIL
INSP11020,M10320,MA1AB100000004387,D002,reject,Unknown,INS84,Y,Dimension,FAIL
INSP11021,M10447,MA1AB100000003239,D001,OK,Unknown,INS64,N,,PASS
INSP11022,M11670,MA1AB100000001292,D003,OK,Unknown,INS72,N,Paint,FAIL
INSP11023,M8224,MA1AB100000001396,NONE,Reject,Unknown,INS11,N,,FAIL
INSP11024,M7725,MA1AB100000001577,D002, ok ,Unknown,INS27,N,,FAIL
INSP11025,M9258,MA1AB100000001834,D003,reject,Unknown,INS60,Y,Weld,FAIL
INSP11026,M8435,MA1AB100000000087,D002,Reject,Unknown,INS76,N,Paint,FAIL
INSP11027,M9666,MA1AB100000004827,D004,Reject,Unknown,INS23,N,Weld,PASS
INSP11028,M11827,MA1AB100000004999,D002, ok ,Unknown,INS87,N,Weld,FAIL
INSP11029,M9237,MA1AB100000001438,NONE,,Unknown,INS15,N,,FAIL
INSP11030,M8777,MA1AB100000000566,D003,Reject,Unknown,INS76,N,Material,FAIL
INSP11031,M10330,MA1AB100000002257,D003,OK,Unknown,INS27,Y,,FAIL
INSP11032,M9221,MA1AB100000004186,NONE,Repair,Unknown,INS41,Y,,PASS
INSP11033,M11437,MA1AB100000000161,D001,,Unknown,INS37,N,Paint,PASS
INSP11034,M7590,MA1AB100000004649,D003,Reject,Unknown,INS99,N,,PASS
INSP11035,M8438,MA1AB100000004567,NONE,reject,Unknown,INS67,Y,Weld,FAIL
INSP11036,M9759,MA1AB100000000758,D003,Reject,Unknown,INS80,Y,Material,PASS
INSP11037,M10571,MA1AB100000002909,NONE,Reject,Unknown,INS68,N,Weld,PASS
INSP11038,M11496,MA1AB100000004935,D002,OK,Unknown,INS52,Y,Dimension,FAIL
INSP11039,M10736,MA1AB100000001312,D001,Repair,Unknown,INS66,Y,Dimension,PASS
INSP11040,M7834,MA1AB100000001753,D004,OK,Unknown,INS45,N,,PASS
INSP11041,M9280,MA1AB100000002775,NONE,reject,Unknown,INS51,N,Material,FAIL
INSP11042,M9652,MA1AB100000003303,D001,Reject,Unknown,INS74,Y,Material,FAIL
INSP11043,M8628,MA1AB100000001043,D003,,Unknown,INS98,N,,PASS
INSP11044,M9598,MA1AB100000003655,D004,OK,Unknown,INS74,N,,FAIL
INSP11045,M7755,MA1AB100000003870,D001, ok ,Unknown,INS88,Y,Material,FAIL
INSP11046,M7697,MA1AB100000004367,NONE,reject,Unknown,INS33,N,Paint,PASS
INSP11047,M8925,MA1AB100000000258,D004,OK,Unknown,INS65,Y,Weld,FAIL
INSP11048,M9493,MA1AB100000003421,NONE,,Unknown,INS15,N,Material,FAIL
INSP11049,M10454,MA1AB100000003239,D002,Repair,Unknown,INS49,N,Material,PASS
INSP11050,M10880,MA1AB100000003693,NONE,OK,Unknown,INS70,Y,Dimension,PASS
INSP11051,M10398,MA1AB100000004589,NONE,,Unknown,INS91,Y,,PASS
INSP11052,M11753,MA1AB100000002706,D002,,Unknown,INS21,N,Material,FAIL
INSP11053,M7741,MA1AB100000002871,D001,Reject,Unknown,INS58,N,Material,PASS
INSP11054,M7001,MA1AB100000000347,D002,Reject,Unknown,INS20,Y,,PASS
INSP11055,M7433,MA1AB100000003103,D004,Repair,Unknown,INS77,Y,Weld,PASS
INSP11056,M10799,MA1AB100000001860,D004, ok ,Unknown,INS18,N,Dimension,PASS
INSP11057,M9664,MA1AB100000001590,D002,Reject,Unknown,INS74,Y,Material,FAIL
INSP11058,M9763,MA1AB100000002240,D004,,Unknown,INS16,Y,Dimension,FAIL
INSP11059,M11738,MA1AB100000004030,D004,Reject,Unknown,INS80,N,Paint,FAIL
INSP11060,M10509,MA1AB100000004079,D001,reject,Unknown,INS91,N,Weld,FAIL
INSP11061,M8663,MA1AB100000001380,D003,,Unknown,INS78,Y,Material,FAIL
INSP11062,M9903,MA1AB100000001849,D002,reject,Unknown,INS74,N,Dimension,FAIL
INSP11063,M7093,MA1AB100000001599,D003,,Unknown,INS91,Y,Weld,PASS
INSP11064,M8478,MA1AB100000002389,D001,reject,Unknown,INS38,Y,Material,FAIL
INSP11065,M8507,MA1AB100000003627,D001,Reject,Unknown,INS75,Y,,FAIL
INSP11066,M11222,MA1AB100000000291,D001,,Unknown,INS28,N,Material,FAIL
INSP11067,M8688,MA1AB100000002632,D001,OK,Unknown,INS81,N,Material,FAIL
INSP11068,M11727,MA1AB100000003745,NONE,reject,Unknown,INS22,Y,,PASS
INSP11069,M9928,MA1AB100000003468,NONE, ok ,Unknown,INS95,Y,Weld,PASS
INSP11070,M9327,MA1AB100000003213,NONE,,Unknown,INS54,N,Material,FAIL
INSP11071,M8932,MA1AB100000000722,D002,reject,Unknown,INS35,Y,Dimension,FAIL
INSP11072,M10413,MA1AB100000004356,D002,OK,Unknown,INS44,Y,,FAIL
INSP11073,M9468,MA1AB100000001614,D004,Reject,Unknown,INS17,Y,Material,FAIL
INSP11074,M11453,MA1AB100000002411,D004,,Unknown,INS20,Y,Paint,PASS
INSP11075,M10816,MA1AB100000003394,D001,,Unknown,INS18,N,Weld,FAIL
INSP11076,M7506,MA1AB100000003068,D004,reject,Unknown,INS93,N,Weld,PASS
INSP11077,M10735,MA1AB100000001629,NONE, ok ,Unknown,INS14,Y,Weld,PASS
INSP11078,M7811,MA1AB100000003137,D001,reject,Unknown,INS39,N,Material,PASS
INSP11079,M8633,MA1AB100000001985,D002,Reject,Unknown,INS52,Y,,PASS
INSP11080,M11856,MA1AB100000002777,D002,Repair,Unknown,INS44,Y,Material,FAIL
INSP11081,M8086,MA1AB100000004406,D004,Reject,Unknown,INS75,N,Material,PASS
INSP11082,M9496,MA1AB100000003773,D002,,Unknown,INS91,Y,Material,FAIL
INSP11083,M10252,MA1AB100000003909,D004,Repair,Unknown,INS22,N,Paint,FAIL
INSP11084,M11995,MA1AB100000004581,D003,,Unknown,INS96,N,Dimension,FAIL
INSP11085,M8027,MA1AB100000004625,D004,reject,Unknown,INS58,N,Paint,PASS
INSP11086,M10849,MA1AB100000001868,D004,reject,Unknown,INS27,Y,,FAIL
INSP11087,M11761,MA1AB100000004657,D001,reject,Unknown,INS39,N,,FAIL
INSP11088,M8638,MA1AB100000004202,D002,Reject,Unknown,INS11,N,Weld,FAIL
INSP11089,M8293,MA1AB100000004876,NONE, ok ,Unknown,INS32,N,Paint,PASS
INSP11090,M9880,MA1AB100000000405,NONE,OK,Unknown,INS33,N,,PASS
INSP11091,M9220,MA1AB100000000426,D003,reject,Unknown,INS77,N,,FAIL
INSP11092,M11456,MA1AB100000000270,NONE,,Unknown,INS66,Y,,FAIL
INSP11093,M8701,MA1AB100000003136,D001,Reject,Unknown,INS95,N,,PASS
INSP11094,M8584,MA1AB100000003388,NONE,Reject,Unknown,INS46,N,Paint,FAIL
INSP11095,M8713,MA1AB100000003086,D002,Reject,Unknown,INS65,Y,Dimension,PASS
INSP11096,M7449,MA1AB100000002312,D002,Reject,Unknown,INS48,Y,Paint,FAIL
INSP11097,M7434,MA1AB100000001282,D002,OK,Unknown,INS26,Y,Paint,PASS
INSP11098,M7619,MA1AB100000000240,D001,,Unknown,INS40,N,Dimension,PASS
INSP11099,M9588,MA1AB100000001053,D003,Reject,Unknown,INS40,Y,Paint,FAIL
INSP11100,M7826,MA1AB100000002209,D002,Repair,Unknown,INS79,Y,,FAIL
INSP11101,M8568,MA1AB100000000989,D003,,Unknown,INS32,N,Material,FAIL
INSP11102,M8070,MA1AB100000003512,D004,reject,Unknown,INS87,N,Material,PASS
INSP11103,M7572,MA1AB100000003107,D002,Reject,Unknown,INS20,N,Paint,FAIL
INSP11104,M8421,MA1AB100000004187,D002,Reject,Unknown,INS33,Y,Weld,PASS
INSP11105,M11996,MA1AB100000003319,NONE,Reject,Unknown,INS22,Y,Dimension,FAIL
INSP11106,M10893,MA1AB100000001678,D003,reject,Unknown,INS58,Y,Material,FAIL
INSP11107,M9164,MA1AB100000002575,D001,Reject,Unknown,INS36,Y,Weld,FAIL
INSP11108,M10599,MA1AB100000000441,NONE,Reject,Unknown,INS12,N,Weld,FAIL
INSP11109,M8119,MA1AB100000000085,NONE,OK,Unknown,INS79,Y,Dimension,PASS
INSP11110,M7623,MA1AB100000000055,D004, ok ,Unknown,INS73,Y,Weld,PASS
INSP11111,M7711,MA1AB100000002908,D004,,Unknown,INS21,Y,Material,PASS
INSP11112,M8400,MA1AB100000004642,D003,reject,Unknown,INS76,Y,Weld,PASS
INSP11113,M7093,MA1AB100000004222,D001,,Unknown,INS26,N,,PASS
INSP11114,M10034,MA1AB100000004328,D003,Reject,Unknown,INS78,N,Material,FAIL
INSP11115,M10940,MA1AB100000000437,D003,,Unknown,INS83,N,Weld,FAIL
INSP11116,M9842,MA1AB100000001434,D001,Reject,Unknown,INS81,Y,Dimension,PASS
INSP11117,M10765,MA1AB100000004940,D002,reject,Unknown,INS54,N,,PASS
INSP11118,M11829,MA1AB100000001214,D004,,Unknown,INS12,N,Dimension,PASS
INSP11119,M7404,MA1AB100000004474,NONE,,Unknown,INS46,N,Material,PASS
INSP11120,M8460,MA1AB100000001025,D001,Reject,Unknown,INS29,N,Material,PASS
INSP11121,M10886,MA1AB100000001794,D001,Repair,Unknown,INS51,Y,Weld,FAIL
INSP11122,M11987,MA1AB100000003179,D001,,Unknown,INS36,N,Dimension,PASS
INSP11123,M7413,MA1AB100000000978,D003,,Unknown,INS26,Y,Paint,PASS
INSP11124,M10130,MA1AB100000002527,NONE, ok ,Unknown,INS66,N,Dimension,FAIL
INSP11125,M11391,MA1AB100000003236,D003,OK,Unknown,INS31,Y,Material,PASS
INSP11126,M7230,MA1AB100000002280,D003,,Unknown,INS92,N,Material,FAIL
INSP11127,M7198,MA1AB100000000824,D001,OK,Unknown,INS23,Y,Weld,PASS
INSP11128,M10930,MA1AB100000001550,D004,reject,Unknown,INS38,Y,Paint,PASS
INSP11129,M9285,MA1AB100000000672,D002,Reject,Unknown,INS48,Y,Material,FAIL
INSP11130,M9815,MA1AB100000003551,D001,,Unknown,INS35,N,Weld,PASS
INSP11131,M7965,MA1AB100000001894,NONE,,Unknown,INS38,Y,Dimension,PASS
INSP11132,M9999,MA1AB100000001362,NONE, ok ,Unknown,INS56,Y,,FAIL
INSP11133,M10620,MA1AB100000003955,D002,Reject,Unknown,INS18,Y,Material,FAIL
INSP11134,M10817,MA1AB100000004132,NONE,,Unknown,INS21,Y,,FAIL
INSP11135,M8291,MA1AB100000000569,NONE,Reject,Unknown,INS95,Y,Dimension,PASS
INSP11136,M8320,MA1AB100000004671,D002,OK,Unknown,INS81,N,,FAIL
INSP11137,M8241,MA1AB100000002367,D004,Repair,Unknown,INS98,N,Paint,FAIL
INSP11138,M11163,MA1AB100000004296,NONE,OK,Unknown,INS14,Y,Paint,PASS
INSP11139,M7019,MA1AB100000004278,D001, ok ,Unknown,INS27,Y,Paint,FAIL
INSP11140,M9583,MA1AB100000000434,D003,OK,Unknown,INS90,Y,Paint,PASS
INSP11141,M10651,MA1AB100000004665,D002,Repair,Unknown,INS38,N,,FAIL
INSP11142,M7223,MA1AB100000001858,D002,OK,Unknown,INS34,Y,Dimension,PASS
INSP11143,M8699,MA1AB100000004259,D004,,Unknown,INS61,N,Material,PASS
INSP11144,M8883,MA1AB100000004127,D002,OK,Unknown,INS89,Y,,PASS
INSP11145,M8855,MA1AB100000004865,D003,,Unknown,INS33,Y,Weld,PASS
INSP11146,M8661,MA1AB100000002337,D001,Repair,Unknown,INS93,N,Dimension,FAIL
INSP11147,M8492,MA1AB100000004395,D004,OK,Unknown,INS32,N,Dimension,FAIL
INSP11148,M7411,MA1AB100000002968,D003, ok ,Unknown,INS79,N,Dimension,PASS
INSP11149,M7226,MA1AB100000000908,NONE,reject,Unknown,INS10,N,,PASS
INSP11150,M9693,MA1AB100000000981,D002,Repair,Unknown,INS96,N,Paint,PASS
INSP11151,M8316,MA1AB100000001219,D002,Repair,Unknown,INS97,Y,Weld,PASS
INSP11152,M9921,MA1AB100000002158,NONE,Reject,Unknown,INS90,Y,Material,FAIL
INSP11153,M10349,MA1AB100000001893,D002,OK,Unknown,INS75,Y,Dimension,FAIL
INSP11154,M9587,MA1AB100000000390,D003,OK,Unknown,INS44,Y,Dimension,PASS
INSP11155,M7645,MA1AB100000001063,D002,,Unknown,INS92,N,,PASS
INSP11156,M11517,MA1AB100000003893,D004, ok ,Unknown,INS55,N,,PASS
INSP11157,M9434,MA1AB100000002891,D003,Repair,Unknown,INS54,N,Paint,PASS
INSP11158,M11240,MA1AB100000001560,NONE,,Unknown,INS56,Y,Dimension,FAIL
INSP11159,M11172,MA1AB100000003693,D004,OK,Unknown,INS68,N,Weld,FAIL
INSP11160,M9461,MA1AB100000004816,NONE,OK,Unknown,INS35,Y,Material,FAIL
INSP11161,M10920,MA1AB100000002619,D002,reject,Unknown,INS53,Y,,FAIL
INSP11162,M7549,MA1AB100000004941,D001,Reject,Unknown,INS43,N,Dimension,PASS
INSP11163,M8697,MA1AB100000004214,D001,OK,Unknown,INS14,N,Weld,PASS
INSP11164,M10382,MA1AB100000004168,D001,reject,Unknown,INS14,Y,,PASS
INSP11165,M11533,MA1AB100000003122,D003,OK,Unknown,INS39,Y,,FAIL
INSP11166,M9886,MA1AB100000003451,NONE,Reject,Unknown,INS86,N,Dimension,PASS
INSP11167,M8097,MA1AB100000003498,D003,reject,Unknown,INS15,N,Paint,FAIL
INSP11168,M10196,MA1AB100000003945,D002,reject,Unknown,INS71,N,Paint,FAIL
INSP11169,M10770,MA1AB100000000172,D001,,Unknown,INS39,N,Material,FAIL
INSP11170,M11280,MA1AB100000002551,D002,,Unknown,INS14,N,,PASS
INSP11171,M10109,MA1AB100000000484,D002,Reject,Unknown,INS29,N,Material,FAIL
INSP11172,M11751,MA1AB100000004300,D002,Reject,Unknown,INS39,N,Weld,FAIL
INSP11173,M8934,MA1AB100000000698,D002,reject,Unknown,INS95,Y,,FAIL
INSP11174,M8836,MA1AB100000000808,D001,reject,Unknown,INS15,N,Material,PASS
INSP11175,M11281,MA1AB100000001297,NONE,OK,Unknown,INS57,Y,Material,FAIL
INSP11176,M9368,MA1AB100000002515,D004,OK,Unknown,INS38,Y,Dimension,PASS
INSP11177,M10904,MA1AB100000003183,D001,reject,Unknown,INS83,Y,Material,FAIL
INSP11178,M7895,MA1AB100000004737,D003,Repair,Unknown,INS24,Y,Weld,PASS
INSP11179,M11602,MA1AB100000003080,D001, ok ,Unknown,INS83,Y,Dimension,FAIL
INSP11180,M9741,MA1AB100000002595,NONE,Repair,Unknown,INS11,Y,Weld,FAIL
INSP11181,M8805,MA1AB100000002825,D003,OK,Unknown,INS73,N,Paint,FAIL
INSP11182,M8178,MA1AB100000001894,D004,,Unknown,INS94,Y,Material,PASS
INSP11183,M9435,MA1AB100000000101,NONE,Repair,Unknown,INS20,N,Weld,FAIL
INSP11184,M11875,MA1AB100000000627,D004,reject,Unknown,INS19,Y,Material,FAIL
INSP11185,M7298,MA1AB100000003376,D004,,Unknown,INS96,Y,Weld,FAIL
INSP11186,M7513,MA1AB100000004943,D002,,Unknown,INS84,N,Paint,PASS
INSP11187,M8673,MA1AB100000002882,D002, ok ,Unknown,INS40,N,,PASS
INSP11188,M11492,MA1AB100000004352,D004,,Unknown,INS39,N,,PASS
INSP11189,M10744,MA1AB100000001957,D002, ok ,Unknown,INS21,N,,FAIL
INSP11190,M11561,MA1AB100000002999,D003,OK,Unknown,INS60,Y,Paint,PASS
INSP11191,M8510,MA1AB100000002623,D004,,Unknown,INS74,Y,Weld,FAIL
INSP11192,M7506,MA1AB100000003115,D003,Reject,Unknown,INS95,N,Weld,PASS
INSP11193,M10973,MA1AB100000002339,D003,Repair,Unknown,INS44,N,Dimension,PASS
INSP11194,M7488,MA1AB100000002271,D001, ok ,Unknown,INS68,Y,Dimension,PASS
INSP11195,M11461,MA1AB100000000140,D003,Repair,Unknown,INS53,Y,Material,FAIL
INSP11196,M10515,MA1AB100000004740,D004, ok ,Unknown,INS54,N,Paint,PASS
INSP11197,M7291,MA1AB100000003194,D001,reject,Unknown,INS31,N,Dimension,FAIL
INSP11198,M10024,MA1AB100000004665,D004, ok ,Unknown,INS12,Y,Material,PASS
INSP11199,M11772,MA1AB100000004942,NONE,reject,Unknown,INS38,N,Dimension,FAIL
INSP11200,M9378,MA1AB100000003840,D001,,Unknown,INS53,N,Material,PASS
INSP11201,M7465,MA1AB100000000694,NONE,,Unknown,INS54,Y,Dimension,FAIL
INSP11202,M10052,MA1AB100000004635,D003,reject,Unknown,INS26,N,Dimension,FAIL
INSP11203,M7343,MA1AB100000001632,D001,,Unknown,INS29,Y,Dimension,PASS
INSP11204,M7797,MA1AB100000001734,D004,Repair,Unknown,INS87,N,Material,FAIL
INSP11205,M10595,MA1AB100000003063,D001, ok ,Unknown,INS86,Y,Material,PASS
INSP11206,M9644,MA1AB100000000843,D003,Reject,Unknown,INS75,Y,,FAIL
INSP11207,M8055,MA1AB100000004454,D003,,Unknown,INS68,N,Material,FAIL
INSP11208,M7755,MA1AB100000000309,NONE,Reject,Unknown,INS80,Y,Dimension,FAIL
INSP11209,M10539,MA1AB100000004734,D001,reject,Unknown,INS56,Y,Weld,FAIL
INSP11210,M10221,MA1AB100000000188,D003,Repair,Unknown,INS88,N,Material,PASS
INSP11211,M7710,MA1AB100000001383,NONE,Repair,Unknown,INS90,N,Weld,FAIL
INSP11212,M9540,MA1AB100000000192,D002,Repair,Unknown,INS21,Y,Dimension,PASS
INSP11213,M9508,MA1AB100000003610,D004, ok ,Unknown,INS13,Y,Material,FAIL
