Part_Number,Part_Name,Category,BOM_Version,Effective_Date,Unit_Cost_USD,Supplier_Code,Status,Plant,Effective_From,Effective_To
ENG-1215,Exterior Part 216,Suspension,V3,2025-12-01,336.62,SUP-099,Active,Plant-A,2025-12-01,2026-05-30
ENG-1216,Engine Part 217,Interior,V3,2026-03-01,413.75,SUP-036,Active,Plant-C,2026-03-01,2026-08-28
ENG-1217,Interior Part 218,Electrical,V3,2026-03-01,289.41,SUP-018,Active,Plant-C,2026-03-01,2026-08-28
ENG-1218,Electrical Part 219,Electrical,V3,2026-01-01,393.85,SUP-179,Obsolete,Plant-B,2026-01-01,2026-06-30
 eng-1219 ,Interior Part 220,Engine,V1,2026-01-01,272.55,SUP-142,Active,Plant-C,2026-01-01,2026-06-30
ENG-1220,Brake Part 221,Engine,v1,2026-03-01,161.45,SUP-033,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1221,Electrical Part 222,Electrical,V2,2026-03-01,453.5,SUP-173,Active,Plant-A,2026-03-01,2026-08-28
ENG-1222,Chassis Part 223,Brake,V2,2025-12-01,354.38,SUP-147,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1223,Interior Part 224,Exterior,v1,2026-01-01,39.13,SUP-099,Active,Plant-B,2026-01-01,2026-06-30
ENG-1224,Electrical Part 225,Engine,V1,2026-01-01,368.56,SUP-019,Active,Plant-A,2026-01-01,2026-06-30
ENG-1225,Engine Part 226,Electrical,v1,2025-12-01,495.89,SUP-006,Active,Plant-B,2025-12-01,2026-05-30
ENG-1226,Brake Part 227,Suspension,V2,2026-01-01,69.98,SUP-083,Active,Plant-B,2026-01-01,2026-06-30
ENG-1227,Chassis Part 228,Suspension,V3,2026-01-01,423.49,SUP-138,Active,Plant-C,2026-01-01,2026-06-30
ENG-1228,Electrical Part 229,Electrical,v1,2025-12-01,233.39,SUP-003,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1229,Electrical Part 230,Engine,v1,2025-12-01,153.89,SUP-176,Active,Plant-C,2025-12-01,2026-05-30
ENG-1230,Suspension Part 231,Exterior,V3,2025-12-01,205.8,SUP-109,Active,Plant-B,2025-12-01,2026-05-30
ENG-1231,Interior Part 232,Suspension,v1,2026-03-01,215.4,SUP-188,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1232,Interior Part 233,Engine,V2,2026-01-01,363.07,SUP-158,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1233,Engine Part 234,Engine,V1,2026-03-01,427.13,SUP-005,Active,Plant-B,2026-03-01,2026-08-28
ENG-1234,Interior Part 235,Electrical,V2,2026-01-01,162.11,SUP-132,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1235,Exterior Part 236,Engine,v1,2026-03-01,183.74,SUP-134,Active,Plant-C,2026-03-01,2026-08-28
ENG-1236,Engine Part 237,Brake,V3,2025-12-01,478.87,SUP-035,Active,Plant-C,2025-12-01,2026-05-30
ENG-1237,Transmission Part 238,Transmission,V3,2026-03-01,336.8,SUP-166,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1238,Transmission Part 239,Interior,V2,2026-03-01,146.44,SUP-109,Active,Plant-B,2026-03-01,2026-08-28
ENG-1239,Chassis Part 240,Brake,V2,2025-12-01,66.58,SUP-108,Active,Plant-C,2025-12-01,2026-05-30
ENG-1240,Interior Part 241,Engine,V1,2026-03-01,85.79,SUP-007,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1241,Transmission Part 242,Electrical,V1,2026-03-01,111.43,SUP-054,Active,Plant-C,2026-03-01,2026-08-28
ENG-1242,Exterior Part 243,Transmission,V1,2025-12-01,107.19,SUP-086,Active,Plant-C,2025-12-01,2026-05-30
ENG-1243,Suspension Part 244,Brake,V3,2025-12-01,229.52,SUP-193,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1244,Brake Part 245,Suspension,V2,2026-01-01,168.66,SUP-142,Active,Plant-A,2026-01-01,2026-06-30
ENG-1245,Brake Part 246,Transmission,V3,2026-03-01,290.47,SUP-044,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1246,Brake Part 247,Suspension,V2,2026-01-01,125.51,SUP-089,Active,Plant-B,2026-01-01,2026-06-30
ENG-1247,Interior Part 248,Electrical,v1,2026-01-01,408.78,SUP-174,Active,Plant-C,2026-01-01,2026-06-30
ENG-1248,Suspension Part 249,Exterior,V2,2025-12-01,450.1,SUP-049,Active,Plant-B,2025-12-01,2026-05-30
ENG-1249,Brake Part 250,Chassis,V2,2026-03-01,87.3,SUP-153,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1250,Interior Part 251,Suspension,V2,2026-01-01,34.26,SUP-189,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1251,Exterior Part 252,Chassis,v1,2025-12-01,26.15,SUP-161,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1252,Chassis Part 253,Exterior,v1,2025-12-01,60.29,SUP-129,Active,Plant-B,2025-12-01,2026-05-30
ENG-1253,Transmission Part 254,Electrical,V1,2025-12-01,121.21,SUP-003,Active,Plant-B,2025-12-01,2026-05-30
ENG-1254,Suspension Part 255,Exterior,v1,2026-03-01,311.29,SUP-089,Active,Plant-A,2026-03-01,2026-08-28
ENG-1255,Interior Part 256,Chassis,V1,2026-01-01,326.8,SUP-184,Active,Plant-A,2026-01-01,2026-06-30
ENG-1256,Brake Part 257,Brake,V2,2026-01-01,428.29,SUP-198,Active,Plant-A,2026-01-01,2026-06-30
ENG-1257,Brake Part 258,Chassis,V3,2025-12-01,71.03,SUP-099,Active,Plant-A,2025-12-01,2026-05-30
ENG-1258,Exterior Part 259,Electrical,V1,2025-12-01,112.38,SUP-124,Active,Plant-B,2025-12-01,2026-05-30
ENG-1259,Chassis Part 260,Electrical,V2,2026-01-01,54.06,SUP-102,Active,Plant-C,2026-01-01,2026-06-30
ENG-1260,Electrical Part 261,Engine,V1,2026-01-01,115.12,SUP-026,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1261,Exterior Part 262,Exterior,V1,2025-12-01,86.03,SUP-187,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1262,Transmission Part 263,Electrical,V1,2026-03-01,416.53,SUP-147,Active,Plant-A,2026-03-01,2026-08-28
ENG-1263,Exterior Part 264,Chassis,V1,2026-01-01,431.77,SUP-104,Active,Plant-B,2026-01-01,2026-06-30
ENG-1264,Electrical Part 265,Suspension,V1,2026-01-01,294.39,SUP-147,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1265,Engine Part 266,Brake,V1,2026-03-01,349.52,SUP-158,Active,Plant-B,2026-03-01,2026-08-28
ENG-1266,Brake Part 267,Suspension,V3,2025-12-01,499.85,SUP-068,Active,Plant-A,2025-12-01,2026-05-30
ENG-1267,Chassis Part 268,Exterior,v1,2026-01-01,422.86,SUP-027,Active,Plant-C,2026-01-01,2026-06-30
ENG-1268,Interior Part 269,Engine,v1,2026-03-01,180.87,SUP-109,Active,Plant-C,2026-03-01,2026-08-28
ENG-1269,Transmission Part 270,Electrical,V2,2026-03-01,338.07,SUP-076,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1270,Engine Part 271,Chassis,V1,2026-03-01,51.54,SUP-145,Active,Plant-B,2026-03-01,2026-08-28
ENG-1271,Engine Part 272,Brake,V2,2026-01-01,441.91,SUP-037,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1272,Transmission Part 273,Exterior,V1,2026-01-01,443.0,SUP-193,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1273,Brake Part 274,Interior,v1,2026-03-01,314.14,SUP-004,Active,Plant-C,2026-03-01,2026-08-28
ENG-1274,Transmission Part 275,Electrical,V2,2026-01-01,371.19,SUP-019,Active,Plant-B,2026-01-01,2026-06-30
ENG-1275,Brake Part 276,Engine,v1,2025-12-01,92.61,SUP-185,Active,Plant-C,2025-12-01,2026-05-30
ENG-1276,Transmission Part 277,Suspension,v1,2026-01-01,165.93,SUP-091,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1277,Exterior Part 278,Exterior,V1,2026-01-01,242.82,SUP-147,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1278,Electrical Part 279,Brake,V2,2026-03-01,78.32,SUP-134,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1279,Exterior Part 280,Transmission,v1,2026-03-01,144.66,SUP-134,Active,Plant-A,2026-03-01,2026-08-28
ENG-1280,Brake Part 281,Transmission,V1,2026-01-01,5.5,SUP-028,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1281,Exterior Part 282,Transmission,v1,2026-01-01,387.21,SUP-126,Active,Plant-C,2026-01-01,2026-06-30
ENG-1282,Exterior Part 283,Engine,V3,2026-01-01,124.6,SUP-148,Active,Plant-A,2026-01-01,2026-06-30
ENG-1283,Brake Part 284,Brake,V2,2026-03-01,357.76,SUP-127,Active,Plant-B,2026-03-01,2026-08-28
ENG-1284,Interior Part 285,Brake,v1,2026-01-01,471.19,SUP-009,Obsolete,Plant-A,2026-01-01,2026-06-30
ENG-1285,Exterior Part 286,Suspension,V1,2025-12-01,132.38,SUP-132,Active,Plant-A,2025-12-01,2026-05-30
ENG-1286,Engine Part 287,Suspension,V2,2025-12-01,291.96,SUP-016,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1287,Interior Part 288,Electrical,V3,2026-01-01,158.93,SUP-007,Active,Plant-C,2026-01-01,2026-06-30
ENG-1288,Engine Part 289,Engine,V2,2025-12-01,316.84,SUP-049,Active,Plant-B,2025-12-01,2026-05-30
ENG-1289,Interior Part 290,Suspension,v1,2025-12-01,296.04,SUP-061,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1290,Brake Part 291,Transmission,V3,2026-03-01,486.67,SUP-187,Active,Plant-B,2026-03-01,2026-08-28
ENG-1291,Suspension Part 292,Brake,v1,2026-03-01,19.17,SUP-044,Active,Plant-C,2026-03-01,2026-08-28
 eng-1292 ,Exterior Part 293,Suspension,V1,2025-12-01,174.45,SUP-184,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1293,Chassis Part 294,Interior,v1,2026-03-01,126.02,SUP-141,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1294,Chassis Part 295,Interior,v1,2026-01-01,184.42,SUP-111,Active,Plant-B,2026-01-01,2026-06-30
ENG-1295,Exterior Part 296,Suspension,V3,2026-01-01,371.93,SUP-093,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1296,Electrical Part 297,Suspension,V1,2026-01-01,42.28,SUP-177,Active,Plant-A,2026-01-01,2026-06-30
ENG-1297,Exterior Part 298,Engine,V1,2025-12-01,229.92,SUP-180,Active,Plant-A,2025-12-01,2026-05-30
ENG-1298,Exterior Part 299,Electrical,v1,2026-01-01,156.04,SUP-157,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1299,Electrical Part 300,Transmission,v1,2025-12-01,74.7,SUP-154,Active,Plant-B,2025-12-01,2026-05-30
ENG-1300,Electrical Part 301,Electrical,V1,2026-01-01,273.69,SUP-046,Active,Plant-A,2026-01-01,2026-06-30
ENG-1301,Transmission Part 302,Interior,V3,2025-12-01,7.44,SUP-154,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1302,Brake Part 303,Transmission,V2,2025-12-01,199.6,SUP-147,Active,Plant-C,2025-12-01,2026-05-30
ENG-1303,Brake Part 304,Electrical,v1,2026-01-01,63.44,SUP-063,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1304,Brake Part 305,Electrical,V3,2025-12-01,457.97,SUP-040,Active,Plant-B,2025-12-01,2026-05-30
ENG-1305,Exterior Part 306,Transmission,v1,2025-12-01,395.25,SUP-198,Active,Plant-C,2025-12-01,2026-05-30
ENG-1306,Suspension Part 307,Interior,v1,2025-12-01,46.13,SUP-003,Active,Plant-C,2025-12-01,2026-05-30
ENG-1307,Brake Part 308,Brake,v1,2026-01-01,401.83,SUP-169,Active,Plant-C,2026-01-01,2026-06-30
ENG-1308,Interior Part 309,Brake,V3,2025-12-01,112.92,SUP-124,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1309,Transmission Part 310,Exterior,V3,2026-01-01,159.49,SUP-190,Active,Plant-C,2026-01-01,2026-06-30
ENG-1310,Electrical Part 311,Interior,V2,2026-01-01,145.37,SUP-033,Active,Plant-A,2026-01-01,2026-06-30
ENG-1311,Exterior Part 312,Exterior,V2,2026-01-01,370.86,SUP-019,Active,Plant-A,2026-01-01,2026-06-30
ENG-1312,Engine Part 313,Electrical,V2,2026-01-01,102.31,SUP-071,Active,Plant-B,2026-01-01,2026-06-30
ENG-1313,Electrical Part 314,Engine,V3,2026-03-01,54.72,SUP-024,Active,Plant-A,2026-03-01,2026-08-28
ENG-1314,Suspension Part 315,Exterior,V1,2026-03-01,440.91,SUP-054,Active,Plant-B,2026-03-01,2026-08-28
ENG-1315,Suspension Part 316,Brake,V1,2025-12-01,19.85,SUP-189,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1316,Exterior Part 317,Transmission,V1,2026-03-01,78.82,SUP-019,Active,Plant-C,2026-03-01,2026-08-28
ENG-1317,Engine Part 318,Engine,V3,2026-01-01,63.15,SUP-103,Active,Plant-A,2026-01-01,2026-06-30
ENG-1318,Suspension Part 319,Engine,V3,2025-12-01,347.54,SUP-024,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1319,Brake Part 320,Suspension,V1,2026-03-01,429.22,SUP-095,Active,Plant-B,2026-03-01,2026-08-28
ENG-1320,Engine Part 321,Engine,V2,2025-12-01,281.94,SUP-169,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1321,Electrical Part 322,Transmission,V2,2026-03-01,57.68,SUP-158,Active,Plant-C,2026-03-01,2026-08-28
ENG-1322,Brake Part 323,Brake,v1,2025-12-01,450.35,SUP-002,Active,Plant-A,2025-12-01,2026-05-30
ENG-1323,Engine Part 324,Suspension,V3,2026-01-01,210.67,SUP-157,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1324,Interior Part 325,Suspension,v1,2026-03-01,344.86,SUP-162,Active,Plant-B,2026-03-01,2026-08-28
ENG-1325,Brake Part 326,Exterior,V3,2026-03-01,426.51,SUP-149,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1326,Transmission Part 327,Engine,V1,2026-01-01,152.76,SUP-031,Active,Plant-B,2026-01-01,2026-06-30
ENG-1327,Transmission Part 328,Electrical,V1,2025-12-01,143.91,SUP-097,Active,Plant-B,2025-12-01,2026-05-30
ENG-1328,Suspension Part 329,Electrical,V2,2026-01-01,351.47,SUP-185,Active,Plant-C,2026-01-01,2026-06-30
ENG-1329,Suspension Part 330,Engine,v1,2026-03-01,340.47,SUP-087,Active,Plant-A,2026-03-01,2026-08-28
ENG-1330,Suspension Part 331,Transmission,V1,2026-03-01,435.6,SUP-058,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1331,Transmission Part 332,Chassis,V1,2026-01-01,278.16,SUP-194,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1332,Exterior Part 333,Chassis,V3,2025-12-01,312.38,SUP-153,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1333,Chassis Part 334,Exterior,v1,2026-01-01,468.08,SUP-179,Active,Plant-A,2026-01-01,2026-06-30
ENG-1334,Exterior Part 335,Brake,V1,2025-12-01,493.08,SUP-187,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1335,Engine Part 336,Brake,V2,2025-12-01,230.39,SUP-018,Active,Plant-A,2025-12-01,2026-05-30
ENG-1336,Engine Part 337,Chassis,v1,2025-12-01,270.25,SUP-118,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1337,Transmission Part 338,Exterior,V3,2025-12-01,298.41,SUP-130,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1338,Electrical Part 339,Chassis,V2,2026-01-01,490.7,SUP-129,Active,Plant-B,2026-01-01,2026-06-30
ENG-1339,Engine Part 340,Exterior,v1,2026-01-01,449.63,SUP-078,Active,Plant-C,2026-01-01,2026-06-30
ENG-1340,Suspension Part 341,Transmission,v1,2025-12-01,80.89,SUP-157,Active,Plant-C,2025-12-01,2026-05-30
ENG-1341,Interior Part 342,Brake,v1,2025-12-01,84.04,SUP-142,Active,Plant-B,2025-12-01,2026-05-30
ENG-1342,Chassis Part 343,Suspension,V3,2026-01-01,186.75,SUP-098,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1343,Suspension Part 344,Electrical,V1,2025-12-01,317.81,SUP-170,Active,Plant-C,2025-12-01,2026-05-30
ENG-1344,Suspension Part 345,Transmission,V1,2025-12-01,447.47,SUP-033,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1345,Transmission Part 346,Electrical,v1,2025-12-01,167.01,SUP-173,Active,Plant-C,2025-12-01,2026-05-30
ENG-1346,Exterior Part 347,Suspension,V2,2025-12-01,470.65,SUP-185,Active,Plant-C,2025-12-01,2026-05-30
ENG-1347,Transmission Part 348,Suspension,V2,2026-01-01,470.33,SUP-089,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1348,Chassis Part 349,Interior,V2,2026-01-01,74.87,SUP-160,Active,Plant-C,2026-01-01,2026-06-30
ENG-1349,Chassis Part 350,Brake,V2,2026-01-01,453.33,SUP-199,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1350,Engine Part 351,Engine,V1,2026-03-01,280.17,SUP-103,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1351,Engine Part 352,Electrical,v1,2025-12-01,276.59,SUP-187,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1352,Transmission Part 353,Exterior,V3,2026-01-01,337.46,SUP-173,Active,Plant-B,2026-01-01,2026-06-30
ENG-1353,Interior Part 354,Brake,v1,2026-03-01,33.68,SUP-188,Active,Plant-B,2026-03-01,2026-08-28
ENG-1354,Interior Part 355,Interior,V1,2026-03-01,178.42,SUP-124,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1355,Brake Part 356,Electrical,V3,2026-03-01,22.04,SUP-035,Active,Plant-A,2026-03-01,2026-08-28
ENG-1356,Brake Part 357,Transmission,V3,2026-01-01,41.43,SUP-197,Active,Plant-B,2026-01-01,2026-06-30
ENG-1357,Transmission Part 358,Exterior,V3,2026-03-01,279.21,SUP-155,Active,Plant-A,2026-03-01,2026-08-28
ENG-1358,Transmission Part 359,Brake,V2,2025-12-01,133.48,SUP-140,Active,Plant-A,2025-12-01,2026-05-30
ENG-1359,Interior Part 360,Chassis,V3,2025-12-01,245.42,SUP-091,Active,Plant-B,2025-12-01,2026-05-30
ENG-1360,Chassis Part 361,Interior,V3,2026-03-01,116.43,SUP-013,Active,Plant-C,2026-03-01,2026-08-28
ENG-1361,Suspension Part 362,Electrical,V3,2026-01-01,350.67,SUP-185,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1362,Brake Part 363,Exterior,v1,2025-12-01,470.28,SUP-031,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1363,Electrical Part 364,Suspension,V1,2026-01-01,329.79,SUP-146,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1364,Engine Part 365,Brake,V1,2026-01-01,81.31,SUP-086,Active,Plant-C,2026-01-01,2026-06-30
 eng-1365 ,Electrical Part 366,Interior,V3,2025-12-01,5.9,SUP-178,Active,Plant-B,2025-12-01,2026-05-30
ENG-1366,Engine Part 367,Transmission,V2,2025-12-01,286.66,SUP-063,Active,Plant-A,2025-12-01,2026-05-30
ENG-1367,Brake Part 368,Chassis,V3,2025-12-01,374.74,SUP-146,Active,Plant-C,2025-12-01,2026-05-30
ENG-1368,Exterior Part 369,Transmission,V3,2025-12-01,58.38,SUP-006,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1369,Chassis Part 370,Electrical,V1,2026-01-01,308.75,SUP-109,Active,Plant-B,2026-01-01,2026-06-30
ENG-1370,Brake Part 371,Brake,v1,2025-12-01,49.31,SUP-193,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1371,Interior Part 372,Chassis,v1,2026-01-01,381.3,SUP-064,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1372,Transmission Part 373,Electrical,V1,2025-12-01,291.54,SUP-140,Active,Plant-C,2025-12-01,2026-05-30
ENG-1373,Transmission Part 374,Brake,V1,2025-12-01,483.28,SUP-057,Active,Plant-A,2025-12-01,2026-05-30
ENG-1374,Electrical Part 375,Suspension,V2,2026-03-01,440.78,SUP-115,Active,Plant-C,2026-03-01,2026-08-28
ENG-1375,Suspension Part 376,Interior,V2,2026-03-01,94.52,SUP-056,Active,Plant-C,2026-03-01,2026-08-28
ENG-1376,Engine Part 377,Interior,V2,2025-12-01,410.84,SUP-132,Active,Plant-A,2025-12-01,2026-05-30
ENG-1377,Suspension Part 378,Chassis,v1,2026-01-01,190.63,SUP-001,Active,Plant-A,2026-01-01,2026-06-30
ENG-1378,Suspension Part 379,Transmission,v1,2026-03-01,379.73,SUP-159,Active,Plant-C,2026-03-01,2026-08-28
ENG-1379,Transmission Part 380,Chassis,V2,2026-03-01,407.34,SUP-130,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1380,Interior Part 381,Chassis,V3,2026-01-01,403.06,SUP-143,Active,Plant-B,2026-01-01,2026-06-30
ENG-1381,Transmission Part 382,Transmission,V3,2026-01-01,25.56,SUP-149,Active,Plant-A,2026-01-01,2026-06-30
ENG-1382,Electrical Part 383,Brake,V2,2026-01-01,97.88,SUP-113,Active,Plant-A,2026-01-01,2026-06-30
ENG-1383,Suspension Part 384,Brake,V1,2025-12-01,131.63,SUP-015,Active,Plant-A,2025-12-01,2026-05-30
ENG-1384,Interior Part 385,Brake,V2,2025-12-01,319.67,SUP-190,Active,Plant-B,2025-12-01,2026-05-30
ENG-1385,Transmission Part 386,Exterior,V1,2025-12-01,273.81,SUP-193,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1386,Suspension Part 387,Engine,v1,2026-01-01,40.12,SUP-092,Active,Plant-A,2026-01-01,2026-06-30
ENG-1387,Transmission Part 388,Brake,V3,2026-01-01,245.84,SUP-161,Active,Plant-C,2026-01-01,2026-06-30
ENG-1388,Exterior Part 389,Exterior,V2,2025-12-01,195.06,SUP-078,Active,Plant-B,2025-12-01,2026-05-30
ENG-1389,Chassis Part 390,Transmission,V3,2026-03-01,302.93,SUP-024,Active,Plant-A,2026-03-01,2026-08-28
ENG-1390,Chassis Part 391,Suspension,V3,2026-03-01,188.98,SUP-154,Obsolete,Plant-C,2026-03-01,2026-08-28
ENG-1391,Transmission Part 392,Engine,V3,2025-12-01,12.77,SUP-012,Active,Plant-B,2025-12-01,2026-05-30
ENG-1392,Brake Part 393,Exterior,V3,2026-01-01,331.03,SUP-151,Obsolete,Plant-B,2026-01-01,2026-06-30
ENG-1393,Chassis Part 394,Transmission,V3,2026-01-01,306.84,SUP-180,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1394,Engine Part 395,Chassis,V3,2026-03-01,12.59,SUP-035,Active,Plant-B,2026-03-01,2026-08-28
ENG-1395,Engine Part 396,Engine,V3,2026-01-01,368.15,SUP-043,Active,Plant-B,2026-01-01,2026-06-30
ENG-1396,Suspension Part 397,Engine,V2,2026-03-01,424.4,SUP-128,Obsolete,Plant-B,2026-03-01,2026-08-28
ENG-1397,Engine Part 398,Suspension,V3,2026-01-01,77.79,SUP-005,Active,Plant-A,2026-01-01,2026-06-30
ENG-1398,Engine Part 399,Transmission,V3,2026-03-01,334.18,SUP-130,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1399,Interior Part 400,Electrical,V3,2026-01-01,301.78,SUP-078,Active,Plant-C,2026-01-01,2026-06-30
ENG-1400,Brake Part 401,Exterior,v1,2026-01-01,266.57,SUP-146,Active,Plant-B,2026-01-01,2026-06-30
ENG-1401,Interior Part 402,Exterior,v1,2026-01-01,443.71,SUP-129,Active,Plant-C,2026-01-01,2026-06-30
ENG-1402,Transmission Part 403,Exterior,v1,2025-12-01,151.94,SUP-120,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1403,Brake Part 404,Exterior,V2,2026-03-01,110.71,SUP-031,Active,Plant-A,2026-03-01,2026-08-28
ENG-1404,Brake Part 405,Transmission,V1,2026-01-01,489.28,SUP-123,Active,Plant-A,2026-01-01,2026-06-30
ENG-1405,Interior Part 406,Engine,v1,2026-01-01,50.5,SUP-051,Active,Plant-B,2026-01-01,2026-06-30
ENG-1406,Brake Part 407,Brake,V2,2026-01-01,266.65,SUP-034,Active,Plant-C,2026-01-01,2026-06-30
ENG-1407,Transmission Part 408,Engine,V1,2025-12-01,208.91,SUP-106,Active,Plant-C,2025-12-01,2026-05-30
ENG-1408,Transmission Part 409,Brake,v1,2025-12-01,447.26,SUP-137,Active,Plant-B,2025-12-01,2026-05-30
ENG-1409,Engine Part 410,Engine,v1,2025-12-01,255.9,SUP-200,Active,Plant-A,2025-12-01,2026-05-30
ENG-1410,Exterior Part 411,Chassis,v1,2026-01-01,467.52,SUP-162,Active,Plant-B,2026-01-01,2026-06-30
ENG-1411,Exterior Part 412,Transmission,v1,2026-01-01,477.25,SUP-075,Obsolete,Plant-C,2026-01-01,2026-06-30
ENG-1412,Chassis Part 413,Exterior,V2,2025-12-01,167.8,SUP-144,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1413,Engine Part 414,Transmission,v1,2025-12-01,359.12,SUP-198,Obsolete,Plant-B,2025-12-01,2026-05-30
ENG-1414,Exterior Part 415,Brake,V1,2026-01-01,408.7,SUP-162,Active,Plant-B,2026-01-01,2026-06-30
ENG-1415,Suspension Part 416,Engine,V3,2025-12-01,162.31,SUP-045,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1416,Engine Part 417,Engine,V3,2025-12-01,377.53,SUP-108,Active,Plant-B,2025-12-01,2026-05-30
ENG-1417,Transmission Part 418,Interior,V3,2025-12-01,110.33,SUP-124,Active,Plant-B,2025-12-01,2026-05-30
ENG-1418,Chassis Part 419,Chassis,V1,2026-03-01,332.93,SUP-141,Obsolete,Plant-A,2026-03-01,2026-08-28
ENG-1419,Brake Part 420,Exterior,v1,2025-12-01,134.94,SUP-125,Obsolete,Plant-C,2025-12-01,2026-05-30
ENG-1420,Brake Part 421,Transmission,v1,2025-12-01,211.23,SUP-168,Active,Plant-A,2025-12-01,2026-05-30
ENG-1421,Suspension Part 422,Transmission,v1,2026-03-01,191.36,SUP-164,Active,Plant-A,2026-03-01,2026-08-28
ENG-1422,Electrical Part 423,Electrical,V1,2026-01-01,198.23,SUP-044,Active,Plant-C,2026-01-01,2026-06-30
ENG-1423,Brake Part 424,Engine,v1,2026-01-01,470.72,SUP-148,Active,Plant-B,2026-01-01,2026-06-30
ENG-1424,Engine Part 425,Electrical,v1,2026-01-01,98.04,SUP-028,Active,Plant-C,2026-01-01,2026-06-30
ENG-1425,Electrical Part 426,Brake,V2,2026-01-01,131.57,SUP-007,Active,Plant-B,2026-01-01,2026-06-30
ENG-1426,Chassis Part 427,Transmission,v1,2026-01-01,377.61,SUP-039,Active,Plant-B,2026-01-01,2026-06-30
ENG-1427,Engine Part 428,Transmission,v1,2026-01-01,28.56,SUP-152,Active,Plant-C,2026-01-01,2026-06-30
ENG-1428,Interior Part 429,Interior,v1,2025-12-01,315.96,SUP-176,Obsolete,Plant-A,2025-12-01,2026-05-30
ENG-1429,Engine Part 430,Engine,V1,2026-01-01,345.46,SUP-020,Active,Plant-B,2026-01-01,2026-06-30
ENG-1430,Transmission Part 431,Transmission,V3,2025-12-01,280.32,SUP-047,Active,Plant-A,2025-12-01,2026-05-30
