VIN,Work_Order,Station,Line,Timestamp,Part_Number,Supplier_Code,Torque,Temperature,Pressure,Defect,Inspection_Source,Tool_ID,Operator_ID,Shift,Scrap_Reason,BOM_Status,VIN_Status,Masked_VIN,Supplier_Status,Supplier_Name,Country,Sensor_Number,Calibration_Factor,Calibration_Status,Cycle_Time_Minutes,Cycle_Time_Status,VIN_Count,WO_VIN_Status,Station_Visit_Count,Rework_Status,Shift_Status,Scrap_Reason_Status
MA1AB100000001436,WO101436,ST04,L01,2026-07-02 11:55:00,ENG-1001,SUP1191,,40.0,3.33,OK,Human,TL999,EMP326,B,Paint Defect,Valid,Valid,MA1AB*********436,Valid,Supplier_192,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001437,WO101437,ST01,L03,2026-07-02 11:56:15,ENG-1001,NAN,50.0,40.0,5.58,Reject,Automated,TL002,EMP119,B,Dimension,Valid,Valid,MA1AB*********437,Invalid,,,002,0.984,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001438,WO101438,ST06,L01,2026-07-02 11:57:30,ENG-1172,SUP1180,45.0,40.0,5.88,Reject,Automated,TL067,EMP220,B,Dimension,Valid,Valid,MA1AB*********438,Valid,Supplier_181,India,067,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001439,WO101439,ST01,L03,2026-07-02 11:58:45,ENG-1001,SUP9999,45.0,40.0,3.28,OK,Human,TL999,EMP349,B,Weld Crack,Valid,Valid,MA1AB*********439,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001440,WO101440,ST04,L03,2026-07-02 12:00:00,ENG-1001,SUP9999,,35.0,4.75,Repair,Automated,TL030,EMP214,Nan,Material,Valid,Valid,MA1AB*********440,Invalid,,,030,0.998,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001441,WO101441,ST02,L01,2026-07-02 12:01:15,ENG-1001,SUP1140,50.0,42.0,4.55,Reject,Human,TL002,EMP266,C,Paint Defect,Valid,Valid,MA1AB*********441,Valid,Supplier_141,USA,002,0.984,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001442,WO101442,ST04,L01,2026-07-02 12:02:30,ENG-1001,SUP1047,45.0,40.0,4.9,Repair,Automated,TL999,EMP316,Nan,Paint Defect,Valid,Valid,MA1AB*********442,Valid,Supplier_48,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001443,WO101443,ST02,L03,2026-07-02 12:03:45,ENG-1241,SUP9999,50.0,35.0,4.47,OK,Human,TL999,EMP278,B,Not Available,Valid,Valid,MA1AB*********443,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001444,WO101444,ST06,L01,2026-07-02 12:05:00,ENG-1376,SUP9999,35.0,40.0,3.41,Repair,Human,TL028,EMP193,A,Material,Valid,Valid,MA1AB*********444,Invalid,,,028,0.984,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001445,WO101445,ST05,L01,2026-07-02 12:06:15,ENG-1144,NAN,45.0,35.0,4.88,Reject,Automated,TL065,EMP156,A,Not Available,Valid,Valid,MA1AB*********445,Invalid,,,065,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001446,WO101446,ST05,L01,2026-07-02 12:07:30,ENG-1001,SUP1153,45.0,42.0,5.69,OK,Human,TL999,EMP333,A,Dimension,Valid,Valid,MA1AB*********446,Valid,Supplier_154,USA,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001447,WO101447,ST03,L03,2026-07-02 12:08:45,ENG-1001,SUP9999,,35.0,3.87,Reject,Automated,TL999,EMP240,A,Not Available,Valid,Valid,MA1AB*********447,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001448,WO101448,ST01,L02,2026-07-02 12:10:00,ENG-1008,SUP9999,,40.0,3.95,,Automated,TL999,EMP319,A,Paint Defect,Valid,Valid,MA1AB*********448,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001449,WO101449,ST03,L01,2026-07-02 12:11:15,ENG-1001,NAN,45.0,35.0,4.78,OK,Automated,TL999,EMP306,A,Weld Crack,Valid,Valid,MA1AB*********449,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001450,WO101450,ST04,L03,2026-07-02 12:12:30,ENG-1001,SUP1129,50.0,42.0,3.95,Repair,Human,TL999,EMP141,B,Dimension,Valid,Valid,MA1AB*********450,Valid,Supplier_130,Germany,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001451,WO101451,ST01,L01,2026-07-02 12:13:45,ENG-1001,NAN,50.0,42.0,4.43,Repair,Automated,TL019,EMP191,A,Dimension,Valid,Valid,MA1AB*********451,Invalid,,,019,0.995,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001452,WO101452,ST02,L01,2026-07-02 12:15:00,ENG-1235,NAN,,35.0,4.25,Reject,Automated,TL069,EMP223,A,Weld Crack,Valid,Valid,MA1AB*********452,Invalid,,,069,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001453,WO101453,ST02,L02,2026-07-02 12:16:15,ENG-1001,NAN,45.0,35.0,5.78,Reject,Human,TL999,EMP280,Nan,Weld Crack,Valid,Valid,MA1AB*********453,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001454,WO101454,ST02,L01,2026-07-02 12:17:30,ENG-1082,SUP9999,,40.0,6.05,Repair,Human,TL999,EMP111,Nan,Dimension,Valid,Valid,MA1AB*********454,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001455,WO101455,ST02,L02,2026-07-02 12:18:45,ENG-1069,NAN,,35.0,3.62,OK,Human,TL044,EMP286,Nan,Dimension,Valid,Valid,MA1AB*********455,Invalid,,,044,1.03,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001456,WO101456,ST02,L03,2026-07-02 12:20:00,ENG-1001,SUP1154,35.0,40.0,5.29,Repair,Human,TL053,EMP304,C,Material,Valid,Valid,MA1AB*********456,Valid,Supplier_155,Germany,053,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001457,WO101457,ST02,L03,2026-07-02 12:21:15,ENG-1347,SUP1045,50.0,42.0,5.45,Reject,Human,TL045,EMP275,B,Dimension,Valid,Valid,MA1AB*********457,Valid,Supplier_46,Japan,045,1.021,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001458,WO101458,ST04,L03,2026-07-02 12:22:30,ENG-1214,NAN,,40.0,5.96,OK,Automated,TL999,EMP205,Nan,Not Available,Valid,Valid,MA1AB*********458,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001459,WO101459,ST03,L03,2026-07-02 12:23:45,ENG-1001,NAN,50.0,42.0,3.94,Repair,Human,TL076,EMP161,C,Weld Crack,Valid,Valid,MA1AB*********459,Invalid,,,076,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001460,WO101460,ST03,L02,2026-07-02 12:25:00,ENG-1001,SUP1191,,35.0,3.72,OK,Human,TL023,EMP223,A,Not Available,Valid,Valid,MA1AB*********460,Valid,Supplier_192,India,023,1.007,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001461,WO101461,ST02,L02,2026-07-02 12:26:15,ENG-1001,SUP9999,,35.0,6.01,OK,Automated,TL022,EMP299,C,Weld Crack,Valid,Valid,MA1AB*********461,Invalid,,,022,0.981,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001462,WO101462,ST06,L01,2026-07-02 12:27:30,ENG-1001,SUP9999,35.0,35.0,4.29,OK,Automated,TL075,EMP153,B,Weld Crack,Valid,Valid,MA1AB*********462,Invalid,,,075,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001463,WO101463,ST01,L01,2026-07-02 12:28:45,ENG-1001,NAN,45.0,35.0,6.09,Reject,Human,TL999,EMP168,Nan,Not Available,Valid,Valid,MA1AB*********463,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001464,WO101464,ST01,L02,2026-07-02 12:30:00,ENG-1279,SUP9999,,35.0,5.87,OK,Automated,TL999,EMP327,A,Paint Defect,Valid,Valid,MA1AB*********464,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001465,WO101465,ST01,L01,2026-07-02 12:31:15,ENG-1149,SUP1053,,40.0,3.73,Reject,Automated,TL074,EMP318,A,Dimension,Valid,Valid,MA1AB*********465,Valid,Supplier_54,Germany,074,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001466,WO101466,ST03,L03,2026-07-02 12:32:30,ENG-1001,SUP1110,45.0,35.0,5.98,OK,Automated,TL999,EMP166,A,Weld Crack,Valid,Valid,MA1AB*********466,Valid,Supplier_111,USA,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001467,WO101467,ST06,L03,2026-07-02 12:33:45,ENG-1001,NAN,35.0,35.0,3.57,OK,Human,TL999,EMP146,A,Weld Crack,Valid,Valid,MA1AB*********467,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001468,WO101468,ST02,L02,2026-07-02 12:35:00,ENG-1001,SUP1166,50.0,40.0,3.37,Repair,Automated,TL999,EMP265,C,Weld Crack,Valid,Valid,MA1AB*********468,Valid,Supplier_167,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001469,WO101469,ST03,L01,2026-07-02 12:36:15,ENG-1001,SUP1091,,42.0,5.01,OK,Automated,TL999,EMP285,A,Material,Valid,Valid,MA1AB*********469,Valid,Supplier_92,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001470,WO101470,ST02,L02,2026-07-02 12:37:30,ENG-1417,NAN,,42.0,5.39,OK,Human,TL006,EMP270,A,Material,Valid,Valid,MA1AB*********470,Invalid,,,006,0.975,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001471,WO101471,ST03,L03,2026-07-02 12:38:45,ENG-1023,SUP1047,50.0,42.0,5.76,,Human,TL999,EMP238,A,Material,Valid,Valid,MA1AB*********471,Valid,Supplier_48,Thailand,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001472,WO101472,ST04,L01,2026-07-02 12:40:00,ENG-1460,SUP1089,35.0,35.0,3.7,,Human,TL046,EMP110,B,Paint Defect,Valid,Valid,MA1AB*********472,Valid,Supplier_90,USA,046,0.976,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001473,WO101473,ST06,L02,2026-07-02 12:41:15,ENG-1436,NAN,35.0,42.0,4.02,OK,Human,TL999,EMP248,C,Weld Crack,Valid,Valid,MA1AB*********473,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001474,WO101474,ST04,L01,2026-07-02 12:42:30,ENG-1098,SUP1075,,35.0,4.92,,Human,TL069,EMP188,B,Not Available,Valid,Valid,MA1AB*********474,Valid,Supplier_76,China,069,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001475,WO101475,ST03,L02,2026-07-02 12:43:45,ENG-1001,SUP1023,45.0,40.0,5.46,Reject,Automated,TL041,EMP343,A,Not Available,Valid,Valid,MA1AB*********475,Valid,Supplier_24,India,041,1.011,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001476,WO101476,ST03,L01,2026-07-02 12:45:00,ENG-1001,SUP1102,45.0,40.0,4.53,Reject,Automated,TL036,EMP116,A,Dimension,Valid,Valid,MA1AB*********476,Valid,Supplier_103,India,036,0.974,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001477,WO101477,ST03,L03,2026-07-02 12:46:15,ENG-1001,SUP1164,35.0,40.0,4.19,OK,Human,TL999,EMP214,A,Weld Crack,Valid,Valid,MA1AB*********477,Valid,Supplier_165,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001478,WO101478,ST02,L02,2026-07-02 12:47:30,ENG-1190,SUP9999,35.0,40.0,5.68,Reject,Automated,TL041,EMP270,Nan,Paint Defect,Valid,Valid,MA1AB*********478,Invalid,,,041,1.011,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001479,WO101479,ST02,L01,2026-07-02 12:48:45,ENG-1459,SUP1179,,35.0,4.5,,Human,TL001,EMP268,C,Paint Defect,Valid,Valid,MA1AB*********479,Valid,Supplier_180,Thailand,001,1.007,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001480,WO101480,ST03,L02,2026-07-02 12:50:00,ENG-1031,NAN,45.0,35.0,4.23,,Automated,TL046,EMP181,A,Paint Defect,Valid,Valid,MA1AB*********480,Invalid,,,046,0.976,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001481,WO101481,ST04,L03,2026-07-02 12:51:15,ENG-1395,NAN,45.0,42.0,3.89,OK,Automated,TL999,EMP263,B,Paint Defect,Valid,Valid,MA1AB*********481,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001482,WO101482,ST03,L03,2026-07-02 12:52:30,ENG-1498,NAN,50.0,35.0,3.64,OK,Human,TL999,EMP260,C,Material,Valid,Valid,MA1AB*********482,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001483,WO101483,ST02,L03,2026-07-02 12:53:45,ENG-1092,NAN,,40.0,3.32,Repair,Automated,TL074,EMP346,B,Weld Crack,Valid,Valid,MA1AB*********483,Invalid,,,074,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001484,WO101484,ST03,L03,2026-07-02 12:55:00,ENG-1001,SUP1090,50.0,35.0,3.68,Repair,Automated,TL999,EMP114,C,Material,Valid,Valid,MA1AB*********484,Valid,Supplier_91,China,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001485,WO101485,ST06,L03,2026-07-02 12:56:15,ENG-1269,NAN,35.0,42.0,5.23,OK,Automated,TL999,EMP301,B,Not Available,Valid,Valid,MA1AB*********485,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001486,WO101486,ST05,L02,2026-07-02 12:57:30,ENG-1246,NAN,35.0,42.0,4.08,,Automated,TL999,EMP120,Nan,Weld Crack,Valid,Valid,MA1AB*********486,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001487,WO101487,ST03,L01,2026-07-02 12:58:45,ENG-1001,SUP1002,35.0,42.0,5.32,OK,Automated,TL999,EMP214,B,Material,Valid,Valid,MA1AB*********487,Valid,Supplier_3,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001488,WO101488,ST02,L01,2026-07-02 13:00:00,ENG-1001,NAN,45.0,35.0,5.67,,Human,TL999,EMP122,C,Material,Valid,Valid,MA1AB*********488,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001489,WO101489,ST03,L03,2026-07-02 13:01:15,ENG-1005,NAN,,40.0,3.69,OK,Automated,TL006,EMP204,Nan,Not Available,Valid,Valid,MA1AB*********489,Invalid,,,006,0.975,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001490,WO101490,ST05,L02,2026-07-02 13:02:30,ENG-1423,SUP9999,,35.0,3.74,Repair,Automated,TL083,EMP104,B,Material,Valid,Valid,MA1AB*********490,Invalid,,,083,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001491,WO101491,ST02,L01,2026-07-02 13:03:45,ENG-1377,SUP1147,35.0,42.0,5.41,Reject,Human,TL018,EMP176,Nan,Not Available,Valid,Valid,MA1AB*********491,Valid,Supplier_148,Korea,018,0.985,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001492,WO101492,ST02,L03,2026-07-02 13:05:00,ENG-1001,NAN,45.0,40.0,6.0,Reject,Human,TL999,EMP268,A,Paint Defect,Valid,Valid,MA1AB*********492,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001493,WO101493,ST02,L02,2026-07-02 13:06:15,ENG-1204,NAN,,35.0,4.57,Repair,Human,TL999,EMP155,C,Not Available,Valid,Valid,MA1AB*********493,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001494,WO101494,ST01,L03,2026-07-02 13:07:30,ENG-1166,SUP1118,35.0,42.0,4.43,Repair,Automated,TL085,EMP319,B,Not Available,Valid,Valid,MA1AB*********494,Valid,Supplier_119,Germany,085,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001495,WO101495,ST04,L01,2026-07-02 13:08:45,ENG-1001,SUP1029,50.0,42.0,5.27,Repair,Automated,TL018,EMP283,A,Dimension,Valid,Valid,MA1AB*********495,Valid,Supplier_30,Korea,018,0.985,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001496,WO101496,ST06,L02,2026-07-02 13:10:00,ENG-1001,NAN,35.0,40.0,3.72,Repair,Automated,TL999,EMP222,Nan,Not Available,Valid,Valid,MA1AB*********496,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001497,WO101497,ST02,L03,2026-07-02 13:11:15,ENG-1001,SUP9999,35.0,35.0,5.57,Repair,Human,TL999,EMP319,C,Not Available,Valid,Valid,MA1AB*********497,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001498,WO101498,ST03,L01,2026-07-02 13:12:30,ENG-1001,NAN,35.0,35.0,4.07,,Human,TL999,EMP243,B,Dimension,Valid,Valid,MA1AB*********498,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001499,WO101499,ST05,L02,2026-07-02 13:13:45,ENG-1001,SUP9999,35.0,35.0,3.98,Repair,Automated,TL999,EMP246,C,Dimension,Valid,Valid,MA1AB*********499,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001500,WO101500,ST01,L01,2026-07-02 13:15:00,ENG-1001,NAN,50.0,35.0,4.3,,Automated,TL072,EMP171,Nan,Weld Crack,Valid,Valid,MA1AB*********500,Invalid,,,072,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001501,WO101501,ST04,L03,2026-07-02 13:16:15,ENG-1001,NAN,45.0,35.0,4.93,,Automated,TL999,EMP223,C,Weld Crack,Valid,Valid,MA1AB*********501,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001502,WO101502,ST02,L02,2026-07-02 13:17:30,ENG-1001,SUP9999,45.0,35.0,4.89,,Automated,TL069,EMP167,Nan,Not Available,Valid,Valid,MA1AB*********502,Invalid,,,069,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001503,WO101503,ST05,L02,2026-07-02 13:18:45,ENG-1001,SUP1188,50.0,35.0,4.52,Reject,Automated,TL036,EMP217,A,Dimension,Valid,Valid,MA1AB*********503,Valid,Supplier_189,Thailand,036,0.974,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001504,WO101504,ST02,L01,2026-07-02 13:20:00,ENG-1001,SUP9999,,42.0,5.8,Repair,Human,TL999,EMP293,B,Dimension,Valid,Valid,MA1AB*********504,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001505,WO101505,ST02,L02,2026-07-02 13:21:15,ENG-1001,SUP1177,50.0,35.0,5.92,,Automated,TL061,EMP247,A,Not Available,Valid,Valid,MA1AB*********505,Valid,Supplier_178,Germany,061,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001506,WO101506,ST05,L02,2026-07-02 13:22:30,ENG-1001,NAN,,35.0,4.04,,Automated,TL999,EMP108,C,Not Available,Valid,Valid,MA1AB*********506,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001507,WO101507,ST04,L03,2026-07-02 13:23:45,ENG-1001,SUP9999,35.0,35.0,3.28,Repair,Automated,TL086,EMP105,Nan,Dimension,Valid,Valid,MA1AB*********507,Invalid,,,086,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001508,WO101508,ST02,L03,2026-07-02 13:25:00,ENG-1477,NAN,35.0,40.0,4.39,Repair,Automated,TL100,EMP257,A,Material,Valid,Valid,MA1AB*********508,Invalid,,,100,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001509,WO101509,ST03,L03,2026-07-02 13:26:15,ENG-1001,SUP1084,50.0,35.0,4.32,,Automated,TL999,EMP274,B,Material,Valid,Valid,MA1AB*********509,Valid,Supplier_85,Japan,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001510,WO101510,ST03,L02,2026-07-02 13:27:30,ENG-1001,SUP9999,45.0,42.0,4.86,,Human,TL999,EMP115,C,Material,Valid,Valid,MA1AB*********510,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001511,WO101511,ST02,L03,2026-07-02 13:28:45,ENG-1391,SUP9999,,35.0,4.38,,Human,TL008,EMP202,B,Material,Valid,Valid,MA1AB*********511,Invalid,,,008,1.016,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001512,WO101512,ST01,L02,2026-07-02 13:30:00,ENG-1098,NAN,45.0,35.0,4.62,Reject,Human,TL999,EMP347,B,Weld Crack,Valid,Valid,MA1AB*********512,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001513,WO101513,ST03,L01,2026-07-02 13:31:15,ENG-1234,SUP9999,50.0,42.0,3.7,Reject,Automated,TL021,EMP152,B,Not Available,Valid,Valid,MA1AB*********513,Invalid,,,021,0.981,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001514,WO101514,ST04,L02,2026-07-02 13:32:30,ENG-1154,SUP9999,50.0,40.0,4.5,Repair,Human,TL999,EMP309,Nan,Weld Crack,Valid,Valid,MA1AB*********514,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001515,WO101515,ST01,L02,2026-07-02 13:33:45,ENG-1132,SUP1069,50.0,35.0,5.55,OK,Human,TL089,EMP219,A,Dimension,Valid,Valid,MA1AB*********515,Valid,Supplier_70,China,089,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001516,WO101516,ST03,L03,2026-07-02 13:35:00,ENG-1440,NAN,,42.0,5.12,OK,Human,TL044,EMP126,Nan,Paint Defect,Valid,Valid,MA1AB*********516,Invalid,,,044,1.03,Normal,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001517,WO101517,ST03,L03,2026-07-02 13:36:15,ENG-1261,SUP1084,35.0,40.0,5.45,OK,Automated,TL007,EMP205,C,Not Available,Valid,Valid,MA1AB*********517,Valid,Supplier_85,Japan,007,1.029,Normal,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
MA1AB100000001518,WO101518,ST03,L01,2026-07-02 13:37:30,ENG-1104,NAN,45.0,35.0,4.52,Repair,Human,TL068,EMP253,Nan,Material,Valid,Valid,MA1AB*********518,Invalid,,,068,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001519,WO101519,ST03,L03,2026-07-02 13:38:45,ENG-1001,NAN,50.0,35.0,5.12,OK,Automated,TL999,EMP343,B,Dimension,Valid,Valid,MA1AB*********519,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001520,WO101520,ST05,L01,2026-07-02 13:40:00,ENG-1001,SUP1138,,35.0,5.29,Repair,Human,TL999,EMP203,Nan,Weld Crack,Valid,Valid,MA1AB*********520,Valid,Supplier_139,USA,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001521,WO101521,ST01,L03,2026-07-02 13:41:15,ENG-1016,SUP1004,45.0,40.0,3.36,,Automated,TL999,EMP171,C,Weld Crack,Valid,Valid,MA1AB*********521,Valid,Supplier_5,Germany,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001522,WO101522,ST06,L03,2026-07-02 13:42:30,ENG-1195,SUP9999,50.0,40.0,5.81,OK,Human,TL999,EMP307,B,Paint Defect,Valid,Valid,MA1AB*********522,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001523,WO101523,ST03,L03,2026-07-02 13:43:45,ENG-1001,SUP9999,45.0,35.0,5.92,,Human,TL999,EMP163,A,Weld Crack,Valid,Valid,MA1AB*********523,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001524,WO101524,ST05,L03,2026-07-02 13:45:00,ENG-1001,SUP1180,35.0,40.0,5.08,Repair,Human,TL999,EMP162,Nan,Paint Defect,Valid,Valid,MA1AB*********524,Valid,Supplier_181,India,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001525,WO101525,ST03,L03,2026-07-02 13:46:15,ENG-1157,SUP9999,35.0,40.0,3.94,OK,Automated,TL999,EMP273,A,Weld Crack,Valid,Valid,MA1AB*********525,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001526,WO101526,ST02,L03,2026-07-02 13:47:30,ENG-1139,SUP9999,,40.0,3.92,Reject,Automated,TL999,EMP205,B,Weld Crack,Valid,Valid,MA1AB*********526,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001527,WO101527,ST03,L01,2026-07-02 13:48:45,ENG-1219,SUP9999,,40.0,4.02,OK,Human,TL999,EMP245,Nan,Weld Crack,Valid,Valid,MA1AB*********527,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Mapped
MA1AB100000001528,WO101528,ST03,L03,2026-07-02 13:50:00,ENG-1001,NAN,,35.0,3.68,Repair,Human,TL999,EMP206,Nan,Not Available,Valid,Valid,MA1AB*********528,Invalid,,,999,,Missing Calibration,,First Event,1,Valid,1,Normal,Invalid,Not Mapped
