Reading_ID,Event_ID,Sensor_ID,Timestamp,Torque,Temperature,Pressure,Vibration_mm_s,Energy_kWh,Calibration_Factor,Torque_Nm,Torque_Status,Temperature_C,Temperature_Status
RD002034,M11219,SEN-031,2026-03-01 22:56:30,50 Nm,95 F,5.2 bar,0.89,7.67,0.999,50.0,Valid,35.0,Valid
RD002035,M10283,SEN-009,2026-03-01 22:57:00,,,4.5 bar,3.31,1.2,1.004,,Invalid,,Invalid
RD002036,M11117,SEN-049,2026-03-01 22:57:30,72 lb-ft,95 F,5.2 bar,1.85,0.73,1.001,97.61904,Valid,35.0,Valid
RD002037,M9596,SEN-035,2026-03-01 22:58:00,,95 F,65 psi,1.46,6.94,0.977,,Invalid,35.0,Valid
RD002038,M11295,SEN-002,2026-03-01 22:58:30,72 lb-ft,40 C,72 psi,5.08,6.02,0.991,97.61904,Valid,40.0,Valid
RD002039,M7540,SEN-034,2026-03-01 22:59:00,50 Nm,35 C,5.2 bar,8.42,6.45,1.027,50.0,Valid,35.0,Valid
RD002040,M8467,SEN-020,2026-03-01 22:59:30,60Nm,104 F,72 psi,5.12,1.06,1.024,60.0,Valid,40.0,Valid
RD002041,M7147,SEN-039,2026-03-01 23:00:00,35 lb-ft,95 F,65 psi,0.84,4.73,1.012,47.4537,Valid,35.0,Valid
RD002042,M9786,SEN-034,2026-03-01 23:00:30,60Nm,35 C,72 psi,5.83,1.91,1.004,60.0,Valid,35.0,Valid
RD002043,M9091,SEN-049,2026-03-01 23:01:00,,40 C,4.5 bar,0.63,6.4,0.97,,Invalid,40.0,Valid
RD002044,M10874,SEN-037,2026-03-01 23:01:30,,40 C,72 psi,5.84,2.65,0.983,,Invalid,40.0,Valid
RD002045,M9556,SEN-023,2026-03-01 23:02:00,50 Nm,,72 psi,5.26,5.84,1.027,50.0,Valid,,Invalid
RD002046,M9458,SEN-017,2026-03-01 23:02:30,60Nm,40 C,65 psi,6.47,4.12,0.998,60.0,Valid,40.0,Valid
RD002047,M7306,SEN-018,2026-03-01 23:03:00,72 lb-ft,85C,72 psi,5.58,1.32,0.983,97.61904,Valid,85.0,Valid
RD002048,M8981,SEN-014,2026-03-01 23:03:30,72 lb-ft,40 C,5.2 bar,8.0,2.19,1.004,97.61904,Valid,40.0,Valid
RD002049,M11537,SEN-022,2026-03-01 23:04:00,35 lb-ft,95 F,4.5 bar,7.5,3.63,0.981,47.4537,Valid,35.0,Valid
RD002050,M11335,SEN-021,2026-03-01 23:04:30,60Nm,95 F,65 psi,5.88,2.24,1.002,60.0,Valid,35.0,Valid
RD002051,M11917,SEN-039,2026-03-01 23:05:00,45 Nm,85C,65 psi,4.67,6.98,0.99,45.0,Valid,85.0,Valid
RD002052,M11723,SEN-029,2026-03-01 23:05:30,50 Nm,,72 psi,4.15,7.42,1.004,50.0,Valid,,Invalid
RD002053,M11538,SEN-026,2026-03-01 23:06:00,50 Nm,40 C,5.2 bar,5.3,1.09,1.026,50.0,Valid,40.0,Valid
RD002054,M7202,SEN-021,2026-03-01 23:06:30,50 Nm,,5.2 bar,4.16,3.56,0.986,50.0,Valid,,Invalid
RD002055,M10475,SEN-032,2026-03-01 23:07:00,60Nm,104 F,65 psi,3.19,3.91,0.98,60.0,Valid,40.0,Valid
RD002056,M9516,SEN-023,2026-03-01 23:07:30,35 lb-ft,85C,5.2 bar,5.46,0.78,1.021,47.4537,Valid,85.0,Valid
RD002057,M7472,SEN-044,2026-03-01 23:08:00,50 Nm,,5.2 bar,3.72,7.35,1.002,50.0,Valid,,Invalid
RD002058,M8815,SEN-029,2026-03-01 23:08:30,50 Nm,95 F,72 psi,6.65,5.62,1.009,50.0,Valid,35.0,Valid
RD002059,M8119,SEN-041,2026-03-01 23:09:00,35 lb-ft,104 F,65 psi,6.67,3.42,1.008,47.4537,Valid,40.0,Valid
RD002060,M11749,SEN-006,2026-03-01 23:09:30,50 Nm,85C,65 psi,2.65,6.16,0.999,50.0,Valid,85.0,Valid
RD002061,M8731,SEN-011,2026-03-01 23:10:00,60Nm,,5.2 bar,7.36,4.31,1.022,60.0,Valid,,Invalid
RD002062,M11469,SEN-040,2026-03-01 23:10:30,60Nm,95 F,5.2 bar,6.85,4.13,1.024,60.0,Valid,35.0,Valid
RD002063,M8248,SEN-030,2026-03-01 23:11:00,60Nm,95 F,4.5 bar,1.78,3.47,1.001,60.0,Valid,35.0,Valid
RD002064,M7638,SEN-018,2026-03-01 23:11:30,45 Nm,104 F,72 psi,5.57,2.07,0.97,45.0,Valid,40.0,Valid
RD002065,M10626,SEN-002,2026-03-01 23:12:00,35 lb-ft,85C,5.2 bar,2.03,3.65,1.024,47.4537,Valid,85.0,Valid
RD002066,M8720,SEN-024,2026-03-01 23:12:30,72 lb-ft,104 F,65 psi,2.2,4.67,0.976,97.61904,Valid,40.0,Valid
RD002067,M7595,SEN-041,2026-03-01 23:13:00,,85C,65 psi,8.27,7.59,1.014,,Invalid,85.0,Valid
RD002068,M11064,SEN-002,2026-03-01 23:13:30,50 Nm,95 F,5.2 bar,3.21,7.42,0.984,50.0,Valid,35.0,Valid
RD002069,M10022,SEN-016,2026-03-01 23:14:00,50 Nm,,5.2 bar,1.86,0.53,1.016,50.0,Valid,,Invalid
RD002070,M10863,SEN-034,2026-03-01 23:14:30,72 lb-ft,35 C,5.2 bar,8.01,2.22,0.991,97.61904,Valid,35.0,Valid
RD002071,M7094,SEN-041,2026-03-01 23:15:00,60Nm,104 F,5.2 bar,6.22,1.39,1.014,60.0,Valid,40.0,Valid
RD002072,M8383,SEN-018,2026-03-01 23:15:30,,40 C,72 psi,2.67,1.8,0.997,,Invalid,40.0,Valid
RD002073,M8363,SEN-012,2026-03-01 23:16:00,45 Nm,104 F,5.2 bar,3.02,1.3,1.027,45.0,Valid,40.0,Valid
RD002074,M10911,SEN-017,2026-03-01 23:16:30,60Nm,104 F,72 psi,5.32,2.64,1.016,60.0,Valid,40.0,Valid
RD002075,M9136,SEN-001,2026-03-01 23:17:00,72 lb-ft,,65 psi,7.14,7.77,1.02,97.61904,Valid,,Invalid
RD002076,M9283,SEN-040,2026-03-01 23:17:30,72 lb-ft,85C,5.2 bar,1.32,1.31,1.009,97.61904,Valid,85.0,Valid
RD002077,M9528,SEN-002,2026-03-01 23:18:00,,95 F,5.2 bar,5.55,6.78,0.987,,Invalid,35.0,Valid
RD002078,M8852,SEN-045,2026-03-01 23:18:30,35 lb-ft,85C,65 psi,3.86,5.06,1.004,47.4537,Valid,85.0,Valid
RD002079,M7287,SEN-033,2026-03-01 23:19:00,50 Nm,95 F,65 psi,4.3,7.22,1.009,50.0,Valid,35.0,Valid
RD002080,M8962,SEN-027,2026-03-01 23:19:30,,40 C,4.5 bar,5.64,5.03,0.974,,Invalid,40.0,Valid
RD002081,M9560,SEN-021,2026-03-01 23:20:00,,104 F,65 psi,3.28,4.5,1.018,,Invalid,40.0,Valid
RD002082,M9316,SEN-020,2026-03-01 23:20:30,50 Nm,35 C,5.2 bar,4.71,2.95,0.989,50.0,Valid,35.0,Valid
RD002083,M7407,SEN-030,2026-03-01 23:21:00,72 lb-ft,35 C,72 psi,7.11,7.32,1.0,97.61904,Valid,35.0,Valid
RD002084,M11527,SEN-037,2026-03-01 23:21:30,50 Nm,104 F,5.2 bar,5.57,7.06,0.985,50.0,Valid,40.0,Valid
RD002085,M11104,SEN-026,2026-03-01 23:22:00,,104 F,65 psi,6.27,4.33,0.986,,Invalid,40.0,Valid
RD002086,M8137,SEN-025,2026-03-01 23:22:30,35 lb-ft,,5.2 bar,0.26,4.79,1.008,47.4537,Valid,,Invalid
RD002087,M8744,SEN-008,2026-03-01 23:23:00,35 lb-ft,40 C,5.2 bar,0.28,7.74,0.98,47.4537,Valid,40.0,Valid
RD002088,M7153,SEN-015,2026-03-01 23:23:30,45 Nm,95 F,72 psi,6.57,3.1,0.998,45.0,Valid,35.0,Valid
RD002089,M9880,SEN-036,2026-03-01 23:24:00,45 Nm,104 F,72 psi,7.16,4.32,0.997,45.0,Valid,40.0,Valid
RD002090,M11106,SEN-043,2026-03-01 23:24:30,45 Nm,85C,65 psi,0.82,3.42,1.029,45.0,Valid,85.0,Valid
RD002091,M10441,SEN-022,2026-03-01 23:25:00,45 Nm,95 F,5.2 bar,8.2,7.54,0.972,45.0,Valid,35.0,Valid
RD002092,M7299,SEN-030,2026-03-01 23:25:30,72 lb-ft,,5.2 bar,7.71,1.54,0.988,97.61904,Valid,,Invalid
RD002093,M10063,SEN-041,2026-03-01 23:26:00,72 lb-ft,95 F,4.5 bar,5.37,2.52,0.998,97.61904,Valid,35.0,Valid
RD002094,M11095,SEN-019,2026-03-01 23:26:30,72 lb-ft,104 F,5.2 bar,1.86,6.44,0.995,97.61904,Valid,40.0,Valid
RD002095,M9309,SEN-033,2026-03-01 23:27:00,,,72 psi,2.34,7.27,0.977,,Invalid,,Invalid
RD002096,M10930,SEN-017,2026-03-01 23:27:30,45 Nm,35 C,72 psi,3.41,3.34,1.024,45.0,Valid,35.0,Valid
RD002097,M7900,SEN-032,2026-03-01 23:28:00,45 Nm,35 C,72 psi,6.8,2.54,1.014,45.0,Valid,35.0,Valid
RD002098,M9422,SEN-035,2026-03-01 23:28:30,50 Nm,95 F,72 psi,2.22,7.88,0.997,50.0,Valid,35.0,Valid
RD002099,M9887,SEN-023,2026-03-01 23:29:00,50 Nm,40 C,4.5 bar,7.27,1.24,1.02,50.0,Valid,40.0,Valid
RD002100,M9589,SEN-027,2026-03-01 23:29:30,50 Nm,104 F,65 psi,1.46,7.74,0.977,50.0,Valid,40.0,Valid
RD002101,M11038,SEN-005,2026-03-01 23:30:00,45 Nm,104 F,65 psi,5.85,1.02,1.028,45.0,Valid,40.0,Valid
RD002102,M11667,SEN-041,2026-03-01 23:30:30,60Nm,104 F,4.5 bar,5.09,7.26,1.014,60.0,Valid,40.0,Valid
RD002103,M9005,SEN-038,2026-03-01 23:31:00,72 lb-ft,85C,4.5 bar,5.56,4.83,0.984,97.61904,Valid,85.0,Valid
RD002104,M8726,SEN-038,2026-03-01 23:31:30,,95 F,72 psi,2.0,1.51,0.994,,Invalid,35.0,Valid
RD002105,M10943,SEN-044,2026-03-01 23:32:00,60Nm,95 F,72 psi,3.58,4.45,1.014,60.0,Valid,35.0,Valid
RD002106,M10787,SEN-044,2026-03-01 23:32:30,45 Nm,95 F,5.2 bar,1.81,5.09,0.993,45.0,Valid,35.0,Valid
RD002107,M7775,SEN-015,2026-03-01 23:33:00,72 lb-ft,,65 psi,2.26,4.52,0.988,97.61904,Valid,,Invalid
RD002108,M7809,SEN-038,2026-03-01 23:33:30,,40 C,72 psi,1.1,2.29,0.978,,Invalid,40.0,Valid
RD002109,M9902,SEN-010,2026-03-01 23:34:00,35 lb-ft,85C,4.5 bar,0.66,0.92,1.005,47.4537,Valid,85.0,Valid
RD002110,M10586,SEN-030,2026-03-01 23:34:30,72 lb-ft,85C,5.2 bar,5.28,1.1,1.005,97.61904,Valid,85.0,Valid
RD002111,M10254,SEN-032,2026-03-01 23:35:00,72 lb-ft,35 C,4.5 bar,2.91,7.11,1.01,97.61904,Valid,35.0,Valid
RD002112,M8297,SEN-003,2026-03-01 23:35:30,50 Nm,40 C,65 psi,5.5,6.01,0.991,50.0,Valid,40.0,Valid
RD002113,M8535,SEN-047,2026-03-01 23:36:00,60Nm,85C,65 psi,5.94,6.91,1.015,60.0,Valid,85.0,Valid
RD002114,M8416,SEN-017,2026-03-01 23:36:30,35 lb-ft,,5.2 bar,2.91,3.85,0.997,47.4537,Valid,,Invalid
RD002115,M8951,SEN-035,2026-03-01 23:37:00,35 lb-ft,35 C,5.2 bar,3.89,2.11,1.017,47.4537,Valid,35.0,Valid
RD002116,M11460,SEN-029,2026-03-01 23:37:30,45 Nm,85C,4.5 bar,1.12,5.83,1.008,45.0,Valid,85.0,Valid
RD002117,M11492,SEN-029,2026-03-01 23:38:00,50 Nm,85C,65 psi,4.77,5.44,0.975,50.0,Valid,85.0,Valid
RD002118,M7014,SEN-045,2026-03-01 23:38:30,60Nm,104 F,65 psi,1.38,1.98,1.006,60.0,Valid,40.0,Valid
RD002119,M10105,SEN-047,2026-03-01 23:39:00,72 lb-ft,40 C,65 psi,7.94,3.0,0.983,97.61904,Valid,40.0,Valid
RD002120,M11816,SEN-001,2026-03-01 23:39:30,,35 C,5.2 bar,5.84,5.25,1.015,,Invalid,35.0,Valid
RD002121,M8465,SEN-015,2026-03-01 23:40:00,45 Nm,95 F,5.2 bar,0.65,6.53,1.008,45.0,Valid,35.0,Valid
RD002122,M8029,SEN-050,2026-03-01 23:40:30,,95 F,72 psi,5.66,7.25,1.023,,Invalid,35.0,Valid
RD002123,M7247,SEN-048,2026-03-01 23:41:00,72 lb-ft,95 F,65 psi,3.35,6.26,1.014,97.61904,Valid,35.0,Valid
RD002124,M7296,SEN-035,2026-03-01 23:41:30,,104 F,4.5 bar,6.63,7.49,1.009,,Invalid,40.0,Valid
RD002125,M11207,SEN-033,2026-03-01 23:42:00,60Nm,40 C,4.5 bar,4.72,5.59,0.983,60.0,Valid,40.0,Valid
RD002126,M8555,SEN-013,2026-03-01 23:42:30,,40 C,5.2 bar,3.56,6.36,0.987,,Invalid,40.0,Valid
RD002127,M11642,SEN-049,2026-03-01 23:43:00,60Nm,85C,72 psi,7.33,0.91,1.004,60.0,Valid,85.0,Valid
RD002128,M9052,SEN-014,2026-03-01 23:43:30,35 lb-ft,95 F,72 psi,1.75,4.4,0.98,47.4537,Valid,35.0,Valid
RD002129,M9976,SEN-004,2026-03-01 23:44:00,72 lb-ft,104 F,72 psi,2.69,7.42,1.008,97.61904,Valid,40.0,Valid
RD002130,M7444,SEN-032,2026-03-01 23:44:30,50 Nm,85C,65 psi,7.91,3.14,0.998,50.0,Valid,85.0,Valid
RD002131,M11078,SEN-038,2026-03-01 23:45:00,45 Nm,40 C,72 psi,2.42,5.29,1.001,45.0,Valid,40.0,Valid
RD002132,M9221,SEN-021,2026-03-01 23:45:30,60Nm,95 F,65 psi,3.87,2.66,0.994,60.0,Valid,35.0,Valid
RD002133,M9339,SEN-010,2026-03-01 23:46:00,,,4.5 bar,0.92,1.34,0.978,,Invalid,,Invalid
RD002134,M9381,SEN-015,2026-03-01 23:46:30,35 lb-ft,,72 psi,4.41,6.04,0.988,47.4537,Valid,,Invalid
RD002135,M7484,SEN-010,2026-03-01 23:47:00,50 Nm,85C,4.5 bar,7.89,7.48,1.012,50.0,Valid,85.0,Valid
RD002136,M8593,SEN-022,2026-03-01 23:47:30,,95 F,5.2 bar,2.44,5.58,1.006,,Invalid,35.0,Valid
RD002137,M7612,SEN-032,2026-03-01 23:48:00,72 lb-ft,85C,4.5 bar,1.12,6.1,1.022,97.61904,Valid,85.0,Valid
RD002138,M7153,SEN-014,2026-03-01 23:48:30,,40 C,65 psi,1.59,4.06,1.024,,Invalid,40.0,Valid
RD002139,M10031,SEN-003,2026-03-01 23:49:00,72 lb-ft,85C,72 psi,3.74,3.82,1.006,97.61904,Valid,85.0,Valid
RD002140,M10077,SEN-033,2026-03-01 23:49:30,72 lb-ft,35 C,5.2 bar,7.41,2.53,0.975,97.61904,Valid,35.0,Valid
RD002141,M10335,SEN-017,2026-03-01 23:50:00,60Nm,35 C,65 psi,1.13,3.9,0.98,60.0,Valid,35.0,Valid
RD002142,M7943,SEN-010,2026-03-01 23:50:30,45 Nm,104 F,65 psi,6.02,3.47,1.022,45.0,Valid,40.0,Valid
RD002143,M10954,SEN-038,2026-03-01 23:51:00,,40 C,65 psi,5.42,4.35,1.023,,Invalid,40.0,Valid
RD002144,M9982,SEN-035,2026-03-01 23:51:30,,95 F,5.2 bar,3.82,4.31,0.992,,Invalid,35.0,Valid
RD002145,M9402,SEN-011,2026-03-01 23:52:00,,85C,5.2 bar,4.3,5.03,0.997,,Invalid,85.0,Valid
RD002146,M10823,SEN-009,2026-03-01 23:52:30,60Nm,85C,4.5 bar,7.36,6.46,0.973,60.0,Valid,85.0,Valid
RD002147,M8759,SEN-019,2026-03-01 23:53:00,50 Nm,40 C,5.2 bar,3.62,5.25,1.02,50.0,Valid,40.0,Valid
RD002148,M7774,SEN-017,2026-03-01 23:53:30,50 Nm,40 C,5.2 bar,0.7,6.85,0.985,50.0,Valid,40.0,Valid
RD002149,M10188,SEN-034,2026-03-01 23:54:00,60Nm,,5.2 bar,2.16,3.99,1.007,60.0,Valid,,Invalid
RD002150,M8286,SEN-012,2026-03-01 23:54:30,35 lb-ft,,72 psi,5.76,6.53,1.015,47.4537,Valid,,Invalid
RD002151,M7494,SEN-024,2026-03-01 23:55:00,60Nm,95 F,5.2 bar,2.34,2.43,1.01,60.0,Valid,35.0,Valid
RD002152,M9332,SEN-031,2026-03-01 23:55:30,35 lb-ft,95 F,72 psi,8.29,4.96,1.012,47.4537,Valid,35.0,Valid
RD002153,M11648,SEN-009,2026-03-01 23:56:00,72 lb-ft,85C,72 psi,4.78,2.61,0.988,97.61904,Valid,85.0,Valid
RD002154,M7322,SEN-022,2026-03-01 23:56:30,50 Nm,,5.2 bar,5.29,0.86,1.03,50.0,Valid,,Invalid
RD002155,M11856,SEN-022,2026-03-01 23:57:00,45 Nm,35 C,4.5 bar,8.3,6.11,1.025,45.0,Valid,35.0,Valid
RD002156,M7293,SEN-041,2026-03-01 23:57:30,,40 C,5.2 bar,2.62,5.24,1.006,,Invalid,40.0,Valid
RD002157,M11668,SEN-047,2026-03-01 23:58:00,35 lb-ft,,5.2 bar,7.51,1.91,1.02,47.4537,Valid,,Invalid
RD002158,M11085,SEN-023,2026-03-01 23:58:30,45 Nm,40 C,4.5 bar,6.28,6.54,0.998,45.0,Valid,40.0,Valid
RD002159,M10879,SEN-047,2026-03-01 23:59:00,,,72 psi,8.46,7.18,1.01,,Invalid,,Invalid
RD002160,M9987,SEN-048,2026-03-01 23:59:30,50 Nm,,4.5 bar,4.99,1.97,1.014,50.0,Valid,,Invalid
RD002161,M7549,SEN-008,2026-03-02 00:00:00,,,72 psi,2.25,6.2,0.988,,Invalid,,Invalid
RD002162,M10084,SEN-019,2026-03-02 00:00:30,72 lb-ft,104 F,4.5 bar,8.07,4.28,0.991,97.61904,Valid,40.0,Valid
RD002163,M10382,SEN-012,2026-03-02 00:01:00,35 lb-ft,95 F,5.2 bar,6.51,2.31,0.988,47.4537,Valid,35.0,Valid
RD002164,M8651,SEN-040,2026-03-02 00:01:30,,,72 psi,7.67,5.21,0.982,,Invalid,,Invalid
RD002165,M10857,SEN-036,2026-03-02 00:02:00,60Nm,85C,72 psi,5.56,7.51,0.987,60.0,Valid,85.0,Valid
RD002166,M10117,SEN-035,2026-03-02 00:02:30,72 lb-ft,104 F,65 psi,1.08,7.67,1.005,97.61904,Valid,40.0,Valid
RD002167,M10762,SEN-001,2026-03-02 00:03:00,50 Nm,85C,65 psi,2.46,0.69,0.983,50.0,Valid,85.0,Valid
RD002168,M9629,SEN-026,2026-03-02 00:03:30,50 Nm,85C,72 psi,5.66,4.9,1.017,50.0,Valid,85.0,Valid
RD002169,M8421,SEN-011,2026-03-02 00:04:00,60Nm,104 F,65 psi,1.84,4.1,1.014,60.0,Valid,40.0,Valid
RD002170,M8363,SEN-031,2026-03-02 00:04:30,45 Nm,40 C,72 psi,8.03,6.19,0.992,45.0,Valid,40.0,Valid
RD002171,M11648,SEN-032,2026-03-02 00:05:00,72 lb-ft,95 F,65 psi,6.17,7.59,1.019,97.61904,Valid,35.0,Valid
RD002172,M9399,SEN-007,2026-03-02 00:05:30,72 lb-ft,85C,4.5 bar,2.57,1.17,1.018,97.61904,Valid,85.0,Valid
RD002173,M9257,SEN-042,2026-03-02 00:06:00,60Nm,,5.2 bar,7.63,1.47,1.004,60.0,Valid,,Invalid
RD002174,M8959,SEN-002,2026-03-02 00:06:30,72 lb-ft,,4.5 bar,8.04,2.59,1.011,97.61904,Valid,,Invalid
RD002175,M11458,SEN-034,2026-03-02 00:07:00,50 Nm,104 F,5.2 bar,8.02,3.87,1.024,50.0,Valid,40.0,Valid
RD002176,M8189,SEN-012,2026-03-02 00:07:30,35 lb-ft,40 C,72 psi,6.65,4.27,1.01,47.4537,Valid,40.0,Valid
RD002177,M7686,SEN-008,2026-03-02 00:08:00,50 Nm,85C,5.2 bar,4.25,6.7,0.982,50.0,Valid,85.0,Valid
RD002178,M10645,SEN-002,2026-03-02 00:08:30,60Nm,95 F,4.5 bar,6.17,1.51,0.985,60.0,Valid,35.0,Valid
RD002179,M7904,SEN-036,2026-03-02 00:09:00,72 lb-ft,40 C,5.2 bar,4.33,4.85,0.989,97.61904,Valid,40.0,Valid
RD002180,M7158,SEN-006,2026-03-02 00:09:30,,40 C,4.5 bar,8.48,4.11,1.026,,Invalid,40.0,Valid
RD002181,M11135,SEN-019,2026-03-02 00:10:00,45 Nm,85C,72 psi,6.24,7.46,0.996,45.0,Valid,85.0,Valid
RD002182,M7149,SEN-036,2026-03-02 00:10:30,35 lb-ft,,65 psi,7.73,3.93,1.008,47.4537,Valid,,Invalid
RD002183,M11457,SEN-031,2026-03-02 00:11:00,45 Nm,40 C,5.2 bar,5.11,7.89,0.989,45.0,Valid,40.0,Valid
RD002184,M7622,SEN-023,2026-03-02 00:11:30,45 Nm,40 C,4.5 bar,6.11,4.34,0.995,45.0,Valid,40.0,Valid
RD002185,M11672,SEN-024,2026-03-02 00:12:00,72 lb-ft,95 F,72 psi,1.53,1.33,0.999,97.61904,Valid,35.0,Valid
RD002186,M10794,SEN-019,2026-03-02 00:12:30,45 Nm,104 F,72 psi,3.87,1.12,1.029,45.0,Valid,40.0,Valid
RD002187,M9864,SEN-027,2026-03-02 00:13:00,60Nm,35 C,65 psi,4.15,2.1,1.014,60.0,Valid,35.0,Valid
RD002188,M10832,SEN-027,2026-03-02 00:13:30,50 Nm,104 F,72 psi,4.61,4.89,0.999,50.0,Valid,40.0,Valid
RD002189,M9516,SEN-003,2026-03-02 00:14:00,72 lb-ft,40 C,4.5 bar,8.44,6.07,1.02,97.61904,Valid,40.0,Valid
RD002190,M11962,SEN-004,2026-03-02 00:14:30,60Nm,40 C,5.2 bar,3.76,6.22,1.003,60.0,Valid,40.0,Valid
RD002191,M7485,SEN-011,2026-03-02 00:15:00,45 Nm,35 C,4.5 bar,5.79,1.74,0.985,45.0,Valid,35.0,Valid
RD002192,M7497,SEN-016,2026-03-02 00:15:30,50 Nm,95 F,4.5 bar,2.99,1.9,1.02,50.0,Valid,35.0,Valid
RD002193,M9957,SEN-001,2026-03-02 00:16:00,72 lb-ft,35 C,5.2 bar,0.85,6.57,0.988,97.61904,Valid,35.0,Valid
RD002194,M8879,SEN-009,2026-03-02 00:16:30,,35 C,65 psi,1.1,5.18,0.996,,Invalid,35.0,Valid
RD002195,M7648,SEN-048,2026-03-02 00:17:00,,,4.5 bar,7.31,1.66,0.987,,Invalid,,Invalid
RD002196,M8238,SEN-040,2026-03-02 00:17:30,60Nm,40 C,65 psi,3.84,0.6,1.005,60.0,Valid,40.0,Valid
RD002197,M7941,SEN-029,2026-03-02 00:18:00,60Nm,104 F,65 psi,6.46,4.96,1.021,60.0,Valid,40.0,Valid
RD002198,M8763,SEN-030,2026-03-02 00:18:30,50 Nm,,4.5 bar,1.24,4.9,1.0,50.0,Valid,,Invalid
RD002199,M7024,SEN-028,2026-03-02 00:19:00,45 Nm,35 C,5.2 bar,7.41,3.86,0.973,45.0,Valid,35.0,Valid
RD002200,M11662,SEN-001,2026-03-02 00:19:30,60Nm,35 C,65 psi,2.3,6.89,0.995,60.0,Valid,35.0,Valid
RD002201,M7332,SEN-039,2026-03-02 00:20:00,50 Nm,40 C,65 psi,3.6,1.61,1.01,50.0,Valid,40.0,Valid
RD002202,M7008,SEN-049,2026-03-02 00:20:30,72 lb-ft,35 C,72 psi,7.24,3.8,0.998,97.61904,Valid,35.0,Valid
RD002203,M9627,SEN-050,2026-03-02 00:21:00,72 lb-ft,95 F,5.2 bar,0.82,1.89,1.025,97.61904,Valid,35.0,Valid
RD002204,M10102,SEN-037,2026-03-02 00:21:30,60Nm,,4.5 bar,8.47,7.55,0.975,60.0,Valid,,Invalid
RD002205,M11699,SEN-008,2026-03-02 00:22:00,,95 F,72 psi,8.19,3.58,1.027,,Invalid,35.0,Valid
RD002206,M8495,SEN-009,2026-03-02 00:22:30,72 lb-ft,40 C,5.2 bar,0.44,1.66,0.999,97.61904,Valid,40.0,Valid
RD002207,M11838,SEN-034,2026-03-02 00:23:00,50 Nm,85C,5.2 bar,1.84,1.06,1.024,50.0,Valid,85.0,Valid
RD002208,M11572,SEN-027,2026-03-02 00:23:30,60Nm,95 F,65 psi,5.47,0.9,0.993,60.0,Valid,35.0,Valid
RD002209,M7498,SEN-024,2026-03-02 00:24:00,45 Nm,,5.2 bar,3.06,5.32,1.026,45.0,Valid,,Invalid
RD002210,M8943,SEN-030,2026-03-02 00:24:30,72 lb-ft,95 F,72 psi,6.21,1.41,1.018,97.61904,Valid,35.0,Valid
RD002211,M8776,SEN-020,2026-03-02 00:25:00,50 Nm,95 F,4.5 bar,6.42,4.49,0.99,50.0,Valid,35.0,Valid
RD002212,M10621,SEN-044,2026-03-02 00:25:30,50 Nm,85C,4.5 bar,1.54,4.93,0.986,50.0,Valid,85.0,Valid
RD002213,M10670,SEN-050,2026-03-02 00:26:00,,35 C,65 psi,8.13,5.26,0.976,,Invalid,35.0,Valid
RD002214,M10305,SEN-002,2026-03-02 00:26:30,45 Nm,95 F,5.2 bar,6.34,5.89,0.994,45.0,Valid,35.0,Valid
RD002215,M11636,SEN-017,2026-03-02 00:27:00,45 Nm,85C,4.5 bar,4.83,2.51,1.005,45.0,Valid,85.0,Valid
RD002216,M7474,SEN-040,2026-03-02 00:27:30,72 lb-ft,95 F,5.2 bar,6.85,6.59,1.001,97.61904,Valid,35.0,Valid
RD002217,M9509,SEN-046,2026-03-02 00:28:00,45 Nm,40 C,65 psi,4.62,0.54,1.004,45.0,Valid,40.0,Valid
RD002218,M10218,SEN-037,2026-03-02 00:28:30,,85C,4.5 bar,0.6,5.52,0.978,,Invalid,85.0,Valid
RD002219,M10591,SEN-016,2026-03-02 00:29:00,35 lb-ft,40 C,65 psi,1.52,3.18,1.017,47.4537,Valid,40.0,Valid
RD002220,M8236,SEN-001,2026-03-02 00:29:30,50 Nm,85C,65 psi,7.79,6.46,0.986,50.0,Valid,85.0,Valid
RD002221,M7970,SEN-047,2026-03-02 00:30:00,50 Nm,,4.5 bar,6.45,7.69,1.02,50.0,Valid,,Invalid
RD002222,M7418,SEN-050,2026-03-02 00:30:30,,,4.5 bar,4.65,3.53,0.99,,Invalid,,Invalid
RD002223,M9385,SEN-044,2026-03-02 00:31:00,60Nm,35 C,72 psi,0.24,3.53,0.979,60.0,Valid,35.0,Valid
RD002224,M7697,SEN-049,2026-03-02 00:31:30,72 lb-ft,,5.2 bar,6.67,6.52,1.026,97.61904,Valid,,Invalid
RD002225,M9735,SEN-010,2026-03-02 00:32:00,50 Nm,95 F,72 psi,7.73,2.28,0.974,50.0,Valid,35.0,Valid
RD002226,M8516,SEN-014,2026-03-02 00:32:30,,40 C,5.2 bar,2.76,5.04,1.02,,Invalid,40.0,Valid
RD002227,M9763,SEN-046,2026-03-02 00:33:00,60Nm,,65 psi,8.3,7.68,1.0,60.0,Valid,,Invalid
RD002228,M10218,SEN-041,2026-03-02 00:33:30,45 Nm,85C,72 psi,3.3,7.97,1.008,45.0,Valid,85.0,Valid
RD002229,M11435,SEN-032,2026-03-02 00:34:00,35 lb-ft,95 F,5.2 bar,0.87,5.08,0.998,47.4537,Valid,35.0,Valid
RD002230,M11592,SEN-038,2026-03-02 00:34:30,,35 C,72 psi,5.01,1.76,1.016,,Invalid,35.0,Valid
