Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,Tool_Name,Tool_Type,Plant,Calibration_Date,Next_Due_Date,Status,Accuracy_%,Manufacturer,Serial_Number
M7500,MA1AB100000000500,WO10500,Hatch Z,PAINT-1,STN-01,2026-03-01 16:25,ENG-1191,SUP-181,EMP302,TL-076,A,Tool_76,Welding Gun,Plant-C,2026-02-22,2026-05-23,Maintenance,98.13,Ingersoll Rand,SN100075
M7501,MA1AB100000000501,WO10501,SUV Pro,PAINT-1,STN-03,2026-03-01 16:26,ENG-1069,SUP-041,EMP323,TL-082,,Tool_82,Nut Runner,Plant-B,2026-03-18,2026-06-16,Active,95.75,Atlas Copco,SN100081
M7502,MA1AB100000000502,WO10502,Hatch Z,PAINT-1,STN-02,2026-03-01 16:27,ENG-1362,SUP-144,EMP282,TL-029,B,Tool_29,Press Tool,Plant-C,2026-04-30,2026-07-29,Maintenance,98.95,Stanley,SN100028
M7503,MA1AB100000000503,WO10503,SUV Pro,PAINT-1, stn-05 ,2026-03-01 16:28,ENG-1352,SUP-076,EMP165,TL-023,A,Tool_23,Welding Gun,Plant-A,2026-04-29,2026-07-28,Active,95.35,Bosch,SN100022
M7504,MA1AB100000000504,WO10504,Hatch Z,TRIM-1,Stn-03,2026-03-01 16:30,ENG-1394,SUP-146,EMP116,TL-024,C,Tool_24,Robot Arm,Plant-A,2026-02-23,2026-05-24,Active,96.19,Ingersoll Rand,SN100023
M7505,MA1AB100000000505,WO10505,Hatch Z,GA-2, stn-05 ,2026-03-01 16:31,ENG-1289,SUP-027,EMP354,TL-019,C,Tool_19,Torque Wrench,Plant-B,2026-05-30,2026-08-28,Active,96.08,Atlas Copco,SN100018
M7506,MA1AB100000000506,WO10506,Hatch Z,GA-1,STN-02,2026-03-01 16:32,ENG-1177,SUP-082,EMP185,TL-082,A,Tool_82,Nut Runner,Plant-B,2026-03-18,2026-06-16,Active,95.75,Atlas Copco,SN100081
M7507,MA1AB100000000507,WO10507,Hatch Z,PAINT-1,STN-04,2026-03-01 16:33,ENG-1005,SUP-068,EMP207,TL-032,A,Tool_32,Press Tool,Plant-A,2026-03-27,2026-06-25,Maintenance,97.67,Bosch,SN100031
M7508,MA1AB100000000508,WO10508,SUV Pro,PAINT-1,Stn-03,2026-03-01 16:35,ENG-1055,SUP-185,EMP100,TL-007,,Tool_7,Nut Runner,Plant-B,2026-06-11,2026-09-09,Out of Service,95.88,Stanley,SN100006
M7509,MA1AB100000000509,WO10509,SUV Pro,TRIM-1,STN-02,2026-03-01 16:36,ENG-1452,SUP-106,EMP352,TL-049,C,Tool_49,Press Tool,Plant-A,2026-01-18,2026-04-18,Active,97.7,Atlas Copco,SN100048
M7510,MA1AB100000000510,WO10510,Hatch Z,TRIM-1,STN-01,2026-03-01 16:37,ENG-1424,SUP-123,EMP395,TL-084,B,Tool_84,Torque Wrench,Plant-C,2026-02-03,2026-05-04,Out of Service,97.78,Ingersoll Rand,SN100083
M7511,MA1AB100000000511,WO10511,Sedan X,TRIM-1,STN-01,2026-03-01 16:38,ENG-1409,SUP-009,EMP250,TL-003,C,Tool_3,Robot Arm,Plant-C,2026-02-25,2026-05-26,Active,97.36,Atlas Copco,SN100002
M7512,MA1AB100000000512,WO10512,SUV Pro,GA-1,STN-01,2026-03-01 16:40,ENG-1175,SUP-044,EMP292,TL-021,A,Tool_21,Press Tool,Plant-C,2026-01-09,2026-04-09,Out of Service,95.18,Atlas Copco,SN100020
M7513,MA1AB100000000513,WO10513,Hatch Z,GA-1,STN-03,2026-03-01 16:41,ENG-1304,SUP-158,EMP347,TL-091,A,Tool_91,Nut Runner,Plant-B,2026-03-20,2026-06-18,Active,95.45,Atlas Copco,SN100090
M7514,MA1AB100000000514,WO10514,SUV Pro,GA-2,STN-05,2026-03-01 16:42,ENG-1455,SUP-112,EMP180,TL-007,A,Tool_7,Nut Runner,Plant-B,2026-06-11,2026-09-09,Out of Service,95.88,Stanley,SN100006
M7515,MA1AB100000000515,WO10515,SUV Pro,GA-2,STN-02,2026-03-01 16:43,ENG-1209,SUP-179,EMP383,TL-093,C,Tool_93,Nut Runner,Plant-A,2026-03-03,2026-06-01,Out of Service,98.43,Ingersoll Rand,SN100092
M7516,MA1AB100000000516,WO10516,Hatch Z,PAINT-1,STN-03,2026-03-01 16:45,ENG-1121,SUP-025,EMP125,TL-051,,Tool_51,Nut Runner,Plant-C,2026-04-06,2026-07-05,Active,97.28,Bosch,SN100050
M7517,MA1AB100000000517,WO10517,Sedan X,GA-1,STN-03,2026-03-01 16:46,ENG-1001,SUP-110,EMP144,TL-038,,Tool_38,Welding Gun,Plant-B,2026-04-18,2026-07-17,Active,97.87,Ingersoll Rand,SN100037
M7518,MA1AB100000000518,WO10518,Sedan X,GA-1,STN-01,2026-03-01 16:47,ENG-1105,SUP-044,EMP249,TL-011,,Tool_11,Welding Gun,Plant-B,2026-01-03,2026-04-03,Out of Service,99.43,Atlas Copco,SN100010
M7519,MA1AB100000000519,WO10519,Sedan X,PAINT-1,Stn-03,2026/03/01 16:48,ENG-1203,SUP-121,EMP350,TL-085,C,Tool_85,Nut Runner,Plant-A,2026-01-29,2026-04-29,Out of Service,98.68,Stanley,SN100084
M7520,MA1AB100000000520,WO10520,Sedan X,TRIM-1,STN-02,2026-03-01 16:50,ENG-1189,SUP-098,EMP289,TL-024,,Tool_24,Robot Arm,Plant-A,2026-02-23,2026-05-24,Active,96.19,Ingersoll Rand,SN100023
M7521,MA1AB100000000521,WO10521,Sedan X,PAINT-1,STN-04,2026-03-01 16:51,ENG-1238,SUP-068,EMP215,TL-035,A,Tool_35,Torque Wrench,Plant-A,2026-04-06,2026-07-05,Active,95.1,Atlas Copco,SN100034
M7522,MA1AB100000000522,WO10522,Sedan X,GA-1,STN-01,2026-03-01 16:52,ENG-1342,SUP-089,EMP377,TL-053,B,Tool_53,Nut Runner,Plant-A,2026-02-27,2026-05-28,Out of Service,96.41,Stanley,SN100052
M7523,MA1AB100000000523,WO10523,Hatch Z,GA-1,Stn-03,2026-03-01 16:53,ENG-1198,SUP-134,EMP314,TL-069,,Tool_69,Torque Wrench,Plant-B,2026-01-29,2026-04-29,Active,98.16,Bosch,SN100068
M7524,MA1AB100000000524,WO10524,Hatch Z,GA-2,STN-04,2026-03-01 16:55,ENG-1153,SUP-021,EMP302,TL-092,A,Tool_92,Nut Runner,Plant-C,2026-06-25,2026-09-23,Active,97.7,Bosch,SN100091
M7525,MA1AB100000000525,WO10525,Hatch Z,GA-2,STN-01,2026-03-01 16:56,ENG-1486,SUP-194,EMP329,TL-023,B,Tool_23,Welding Gun,Plant-A,2026-04-29,2026-07-28,Active,95.35,Bosch,SN100022
M7526,MA1AB100000000526,WO10526,Sedan X,GA-2,STN-02,2026-03-01 16:57,ENG-1021,SUP-109,EMP140,TL-088,,Tool_88,Welding Gun,Plant-B,2026-04-25,2026-07-24,Active,95.24,Stanley,SN100087
M7527,MA1AB100000000527,WO10527,Sedan X,GA-2,Stn-03,2026-03-01 16:58,ENG-1304,SUP-067,EMP263,TL-094,A,Tool_94,Press Tool,Plant-C,2026-05-10,2026-08-08,Maintenance,98.64,Stanley,SN100093
M7528,MA1AB100000000528,WO10528,Sedan X,TRIM-1,STN-05,2026-03-01 17:00,ENG-1203,SUP-142,EMP266,TL-036,,Tool_36,Nut Runner,Plant-B,2026-02-08,2026-05-09,Active,95.2,Stanley,SN100035
M7529,MA1AB100000000529,WO10529,Sedan X,TRIM-1,STN-01,2026-03-01 17:01,ENG-1212,SUP-039,EMP175,TL-073,A,Tool_73,Welding Gun,Plant-C,2026-03-17,2026-06-15,Active,96.96,Ingersoll Rand,SN100072
M7530,MA1AB100000000530,WO10530,Sedan X,GA-1,Stn-03,2026-03-01 17:02,ENG-1146,SUP-138,EMP276,TL-053,C,Tool_53,Nut Runner,Plant-A,2026-02-27,2026-05-28,Out of Service,96.41,Stanley,SN100052
M7531,MA1AB100000000531,WO10531,SUV Pro,TRIM-1,STN-05,2026-03-01 17:03,ENG-1311,SUP-122,EMP119,TL-023,C,Tool_23,Welding Gun,Plant-A,2026-04-29,2026-07-28,Active,95.35,Bosch,SN100022
M7532,MA1AB100000000532,WO10532,SUV Pro,GA-2,STN-05,2026-03-01 17:05,ENG-1311,SUP-175,EMP305,TL-005,,Tool_5,Torque Wrench,Plant-C,2026-02-02,2026-05-03,Maintenance,99.68,Ingersoll Rand,SN100004
M7533,MA1AB100000000533,WO10533,SUV Pro,GA-2,STN-01,2026-03-01 17:06,ENG-1381,SUP-122,EMP237,TL-048,A,Tool_48,Nut Runner,Plant-B,2026-04-17,2026-07-16,Active,96.56,Stanley,SN100047
M7534,MA1AB100000000534,WO10534,SUV Pro,PAINT-1,STN-03,2026-03-01 17:07,ENG-1143,SUP-126,EMP150,TL-030,B,Tool_30,Nut Runner,Plant-A,2026-02-18,2026-05-19,Out of Service,97.07,Ingersoll Rand,SN100029
M7535,MA1AB100000000535,WO10535,SUV Pro,TRIM-1,Stn-03,2026-03-01 17:08,ENG-1422,SUP-083,EMP237,TL-094,,Tool_94,Press Tool,Plant-C,2026-05-10,2026-08-08,Maintenance,98.64,Stanley,SN100093
M7536,MA1AB100000000536,WO10536,Hatch Z,GA-1,STN-02,2026-03-01 17:10,ENG-1226,SUP-055,EMP308,TL-095,,Tool_95,Nut Runner,Plant-A,2026-06-25,2026-09-23,Active,99.37,Bosch,SN100094
M7537,MA1AB100000000537,WO10537,Hatch Z,PAINT-1,Stn-03,2026-03-01 17:11,ENG-1028,SUP-132,EMP181,TL-009,C,Tool_9,Press Tool,Plant-C,2026-05-31,2026-08-29,Active,98.89,Bosch,SN100008
M7538,MA1AB100000000538,WO10538,Hatch Z,TRIM-1,STN-02,2026-03-01 17:12,ENG-1399,SUP-135,EMP391,TL-004,B,Tool_4,Press Tool,Plant-A,2026-01-19,2026-04-19,Active,97.49,Bosch,SN100003
M7539,MA1AB100000000539,WO10539,Sedan X,GA-2,Stn-03,2026-03-01 17:13,ENG-1029,SUP-064,EMP116,TL-059,A,Tool_59,Robot Arm,Plant-B,2026-04-15,2026-07-14,Active,95.72,Stanley,SN100058
M7540,MA1AB100000000540,WO10540,SUV Pro,GA-2,STN-03,2026-03-01 17:15,ENG-1188,SUP-119,EMP358,TL-051,A,Tool_51,Nut Runner,Plant-C,2026-04-06,2026-07-05,Active,97.28,Bosch,SN100050
M7541,MA1AB100000000541,WO10541,Hatch Z,GA-1,STN-02,2026-03-01 17:16,ENG-1190,SUP-126,EMP328,TL-023,,Tool_23,Welding Gun,Plant-A,2026-04-29,2026-07-28,Active,95.35,Bosch,SN100022
M7542,MA1AB100000000542,WO10542,Hatch Z,PAINT-1,STN-03,2026-03-01 17:17,ENG-1083,SUP-067,EMP146,TL-037,A,Tool_37,Torque Wrench,Plant-A,2026-02-12,2026-05-13,Maintenance,95.39,Bosch,SN100036
M7543,MA1AB100000000543,WO10543,SUV Pro,GA-1,STN-02,2026-03-01 17:18,ENG-1437,SUP-147,EMP209,TL-029,B,Tool_29,Press Tool,Plant-C,2026-04-30,2026-07-29,Maintenance,98.95,Stanley,SN100028
M7544,MA1AB100000000544,WO10544,Hatch Z,GA-2,STN-03,2026-03-01 17:20,ENG-1333,SUP-105,EMP362,TL-003,A,Tool_3,Robot Arm,Plant-C,2026-02-25,2026-05-26,Active,97.36,Atlas Copco,SN100002
M7545,MA1AB100000000545,WO10545,SUV Pro,GA-2, stn-05 ,2026-03-01 17:21,ENG-1088,SUP-154,EMP104,TL-029,C,Tool_29,Press Tool,Plant-C,2026-04-30,2026-07-29,Maintenance,98.95,Stanley,SN100028
M7546,MA1AB100000000546,WO10546,Hatch Z,PAINT-1, stn-05 ,2026-03-01 17:22,ENG-1495,SUP-182,EMP240,TL-055,,Tool_55,Nut Runner,Plant-A,2026-01-22,2026-04-22,Out of Service,95.5,Atlas Copco,SN100054
M7547,MA1AB100000000547,WO10547,SUV Pro,TRIM-1,STN-03,2026-03-01 17:23,ENG-1111,SUP-120,EMP254,TL-087,,Tool_87,Robot Arm,Plant-B,2026-02-09,2026-05-10,Maintenance,99.98,Stanley,SN100086
M7548,MA1AB100000000548,WO10548,Hatch Z,GA-1,STN-01,2026-03-01 17:25,ENG-1261,SUP-170,EMP291,TL-072,C,Tool_72,Robot Arm,Plant-C,2026-05-05,2026-08-03,Maintenance,99.87,Atlas Copco,SN100071
M7549,MA1AB100000000549,WO10549,SUV Pro,GA-1,STN-04,2026-03-01 17:26,ENG-1032,SUP-087,EMP241,TL-082,C,Tool_82,Nut Runner,Plant-B,2026-03-18,2026-06-16,Active,95.75,Atlas Copco,SN100081
M7550,MA1AB100000000550,WO10550,SUV Pro,PAINT-1, stn-05 ,2026-03-01 17:27,ENG-1364,SUP-167,EMP252,TL-025,B,Tool_25,Nut Runner,Plant-C,2026-02-19,2026-05-20,Out of Service,98.88,Atlas Copco,SN100024
M7551,MA1AB100000000551,WO10551,Hatch Z,GA-2,STN-01,2026-03-01 17:28,ENG-1412,SUP-154,EMP306,TL-085,C,Tool_85,Nut Runner,Plant-A,2026-01-29,2026-04-29,Out of Service,98.68,Stanley,SN100084
M7552,MA1AB100000000552,WO10552,Hatch Z,GA-2, stn-05 ,2026-03-01 17:30,ENG-1013,SUP-168,EMP354,TL-038,C,Tool_38,Welding Gun,Plant-B,2026-04-18,2026-07-17,Active,97.87,Ingersoll Rand,SN100037
M7553,MA1AB100000000553,WO10553,SUV Pro,TRIM-1,STN-04,2026-03-01 17:31,ENG-1377,SUP-010,EMP398,TL-091,B,Tool_91,Nut Runner,Plant-B,2026-03-20,2026-06-18,Active,95.45,Atlas Copco,SN100090
M7554,MA1AB100000000554,WO10554,SUV Pro,GA-2, stn-05 ,2026-03-01 17:32,ENG-1273,SUP-164,EMP343,TL-086,C,Tool_86,Press Tool,Plant-B,2026-03-20,2026-06-18,Active,96.21,Bosch,SN100085
M7555,MA1AB100000000555,WO10555,Hatch Z,PAINT-1,Stn-03,2026-03-01 17:33,ENG-1087,SUP-169,EMP385,TL-024,C,Tool_24,Robot Arm,Plant-A,2026-02-23,2026-05-24,Active,96.19,Ingersoll Rand,SN100023
M7556,MA1AB100000000556,WO10556,Sedan X,TRIM-1,STN-02,2026-03-01 17:35,ENG-1379,SUP-067,EMP386,TL-098,B,Tool_98,Press Tool,Plant-A,2026-06-01,2026-08-30,Active,98.11,Stanley,SN100097
M7557,MA1AB100000000557,WO10557,Hatch Z,PAINT-1, stn-05 ,2026-03-01 17:36,ENG-1045,SUP-057,EMP281,TL-029,C,Tool_29,Press Tool,Plant-C,2026-04-30,2026-07-29,Maintenance,98.95,Stanley,SN100028
M7558,MA1AB100000000558,WO10558,SUV Pro,PAINT-1,STN-03,2026-03-01 17:37,ENG-1133,SUP-150,EMP250,TL-060,A,Tool_60,Welding Gun,Plant-B,2026-02-09,2026-05-10,Active,95.55,Atlas Copco,SN100059
M7559,MA1AB100000000559,WO10559,SUV Pro,GA-1,Stn-03,2026-03-01 17:38,ENG-1324,SUP-150,EMP397,TL-080,A,Tool_80,Robot Arm,Plant-B,2026-03-23,2026-06-21,Maintenance,97.79,Atlas Copco,SN100079
M7560,MA1AB100000000560,WO10560,SUV Pro,GA-2,STN-05,2026-03-01 17:40,ENG-1061,SUP-175,EMP295,TL-068,C,Tool_68,Press Tool,Plant-A,2026-04-15,2026-07-14,Active,97.42,Bosch,SN100067
M7561,MA1AB100000000561,WO10561,SUV Pro,GA-1,Stn-03,2026-03-01 17:41,ENG-1437,SUP-039,EMP170,TL-026,C,Tool_26,Robot Arm,Plant-A,2026-05-25,2026-08-23,Out of Service,99.11,Atlas Copco,SN100025
M7562,MA1AB100000000562,WO10562,SUV Pro,TRIM-1,STN-02,2026-03-01 17:42,ENG-1161,SUP-184,EMP192,TL-100,A,Tool_100,Welding Gun,Plant-A,2026-04-25,2026-07-24,Maintenance,97.13,Ingersoll Rand,SN100099
M7563,MA1AB100000000563,WO10563,SUV Pro,PAINT-1, stn-05 ,2026-03-01 17:43,ENG-1090,SUP-081,EMP129,TL-001,,Tool_1,Welding Gun,Plant-A,2026-05-21,2026-08-19,Maintenance,98.97,Bosch,SN100000
M7564,MA1AB100000000564,WO10564,SUV Pro,GA-2,Stn-03,2026-03-01 17:45,ENG-1396,SUP-044,EMP395,TL-098,B,Tool_98,Press Tool,Plant-A,2026-06-01,2026-08-30,Active,98.11,Stanley,SN100097
M7565,MA1AB100000000565,WO10565,SUV Pro,GA-1,STN-02,2026-03-01 17:46,ENG-1314,SUP-112,EMP319,TL-052,,Tool_52,Torque Wrench,Plant-A,2026-04-12,2026-07-11,Out of Service,99.68,Ingersoll Rand,SN100051
M7566,MA1AB100000000566,WO10566,SUV Pro,TRIM-1,STN-01,2026-03-01 17:47,ENG-1019,SUP-137,EMP202,TL-094,C,Tool_94,Press Tool,Plant-C,2026-05-10,2026-08-08,Maintenance,98.64,Stanley,SN100093
M7567,MA1AB100000000567,WO10567,Sedan X,PAINT-1,Stn-03,2026-03-01 17:48,ENG-1426,SUP-136,EMP197,TL-003,A,Tool_3,Robot Arm,Plant-C,2026-02-25,2026-05-26,Active,97.36,Atlas Copco,SN100002
M7568,MA1AB100000000568,WO10568,Hatch Z,GA-2,STN-02,2026-03-01 17:50,ENG-1355,SUP-089,EMP259,TL-017,A,Tool_17,Torque Wrench,Plant-C,2026-01-08,2026-04-08,Maintenance,96.84,Atlas Copco,SN100016
M7569,MA1AB100000000569,WO10569,SUV Pro,PAINT-1,STN-02,2026-03-01 17:51,ENG-1033,SUP-012,EMP252,TL-038,,Tool_38,Welding Gun,Plant-B,2026-04-18,2026-07-17,Active,97.87,Ingersoll Rand,SN100037
M7570,MA1AB100000000570,WO10570,Hatch Z,PAINT-1,STN-04,2026-03-01 17:52,ENG-1454,SUP-176,EMP168,TL-044,,Tool_44,Press Tool,Plant-C,2026-01-16,2026-04-16,Maintenance,99.03,Bosch,SN100043
M7571,MA1AB100000000571,WO10571,SUV Pro,GA-2,STN-02,2026-03-01 17:53,ENG-1485,SUP-104,EMP109,TL-030,B,Tool_30,Nut Runner,Plant-A,2026-02-18,2026-05-19,Out of Service,97.07,Ingersoll Rand,SN100029
M7572,MA1AB100000000572,WO10572,Hatch Z,GA-2,STN-02,2026-03-01 17:55,ENG-1375,SUP-006,EMP358,TL-022,A,Tool_22,Press Tool,Plant-C,2026-03-22,2026-06-20,Out of Service,95.43,Bosch,SN100021
M7573,MA1AB100000000573,WO10573,SUV Pro,GA-1,STN-04,2026-03-01 17:56,ENG-1448,SUP-164,EMP230,TL-099,A,Tool_99,Welding Gun,Plant-B,2026-05-20,2026-08-18,Active,97.05,Atlas Copco,SN100098
M7574,MA1AB100000000574,WO10574,Hatch Z,GA-1, stn-05 ,2026-03-01 17:57,ENG-1055,SUP-168,EMP110,TL-007,A,Tool_7,Nut Runner,Plant-B,2026-06-11,2026-09-09,Out of Service,95.88,Stanley,SN100006
M7575,MA1AB100000000575,WO10575,SUV Pro,TRIM-1,STN-04,2026-03-01 17:58,ENG-1063,SUP-141,EMP229,TL-061,B,Tool_61,Nut Runner,Plant-C,2026-06-29,2026-09-27,Active,99.71,Ingersoll Rand,SN100060
M7576,MA1AB100000000576,WO10576,Sedan X,GA-1,STN-03,2026-03-01 18:00,ENG-1215,SUP-170,EMP151,TL-085,C,Tool_85,Nut Runner,Plant-A,2026-01-29,2026-04-29,Out of Service,98.68,Stanley,SN100084
M7577,MA1AB100000000577,WO10577,Hatch Z,GA-2,STN-04,2026-03-01 18:01,ENG-1425,SUP-027,EMP361,TL-093,A,Tool_93,Nut Runner,Plant-A,2026-03-03,2026-06-01,Out of Service,98.43,Ingersoll Rand,SN100092
M7578,MA1AB100000000578,WO10578,SUV Pro,GA-1,Stn-03,2026-03-01 18:02,ENG-1054,SUP-128,EMP201,TL-078,B,Tool_78,Press Tool,Plant-A,2026-03-26,2026-06-24,Maintenance,99.88,Bosch,SN100077
M7579,MA1AB100000000579,WO10579,SUV Pro,GA-2,STN-03,2026-03-01 18:03,ENG-1360,SUP-105,EMP251,TL-021,A,Tool_21,Press Tool,Plant-C,2026-01-09,2026-04-09,Out of Service,95.18,Atlas Copco,SN100020
M7580,MA1AB100000000580,WO10580,Hatch Z,TRIM-1,STN-02,2026-03-01 18:05, eng-1001 ,SUP-177,EMP346,TL-043,B,Tool_43,Torque Wrench,Plant-B,2026-04-28,2026-07-27,Active,96.51,Ingersoll Rand,SN100042
M7581,MA1AB100000000581,WO10581,Sedan X,GA-1, stn-05 ,2026-03-01 18:06,ENG-1045,SUP-029,EMP393,TL-086,,Tool_86,Press Tool,Plant-B,2026-03-20,2026-06-18,Active,96.21,Bosch,SN100085
M7582,MA1AB100000000582,WO10582,Sedan X,GA-1,Stn-03,2026-03-01 18:07,ENG-1261,SUP-020,EMP151,TL-033,B,Tool_33,Welding Gun,Plant-C,2026-02-25,2026-05-26,Active,97.63,Bosch,SN100032
M7583,MA1AB100000000583,WO10583,SUV Pro,PAINT-1,STN-03,2026-03-01 18:08,ENG-1237,SUP-013,EMP151,TL-023,A,Tool_23,Welding Gun,Plant-A,2026-04-29,2026-07-28,Active,95.35,Bosch,SN100022
M7584,MA1AB100000000584,WO10584,SUV Pro,PAINT-1,Stn-03,2026-03-01 18:10,ENG-1346,SUP-081,EMP318,TL-095,A,Tool_95,Nut Runner,Plant-A,2026-06-25,2026-09-23,Active,99.37,Bosch,SN100094
M7585,MA1AB100000000585,WO10585,Sedan X,GA-1,STN-01,2026-03-01 18:11,ENG-1436,SUP-036,EMP187,TL-043,C,Tool_43,Torque Wrench,Plant-B,2026-04-28,2026-07-27,Active,96.51,Ingersoll Rand,SN100042
M7586,MA1AB100000000586,WO10586,SUV Pro,PAINT-1, stn-05 ,2026-03-01 18:12,ENG-1047,SUP-096,EMP275,TL-024,A,Tool_24,Robot Arm,Plant-A,2026-02-23,2026-05-24,Active,96.19,Ingersoll Rand,SN100023
M7587,MA1AB100000000587,WO10587,SUV Pro,TRIM-1,STN-04,2026-03-01 18:13,ENG-1139,SUP-099,EMP344,TL-054,B,Tool_54,Press Tool,Plant-C,2026-01-18,2026-04-18,Active,99.35,Ingersoll Rand,SN100053
M7588,MA1AB100000000588,WO10588,Sedan X,GA-2, stn-05 ,2026-03-01 18:15,ENG-1371,SUP-016,EMP181,TL-014,,Tool_14,Nut Runner,Plant-A,2026-02-27,2026-05-28,Maintenance,99.68,Stanley,SN100013
M7589,MA1AB100000000589,WO10589,Hatch Z,TRIM-1,Stn-03,2026-03-01 18:16,ENG-1291,SUP-174,EMP324,TL-024,,Tool_24,Robot Arm,Plant-A,2026-02-23,2026-05-24,Active,96.19,Ingersoll Rand,SN100023
M7590,MA1AB100000000590,WO10590,SUV Pro,GA-1,Stn-03,2026-03-01 18:17,ENG-1350,SUP-187,EMP166,TL-062,,Tool_62,Robot Arm,Plant-A,2026-04-28,2026-07-27,Out of Service,95.44,Bosch,SN100061
M7591,MA1AB100000000591,WO10591,Sedan X,TRIM-1,STN-04,2026-03-01 18:18,ENG-1023,SUP-017,EMP233,TL-084,C,Tool_84,Torque Wrench,Plant-C,2026-02-03,2026-05-04,Out of Service,97.78,Ingersoll Rand,SN100083
M7592,MA1AB100000000592,WO10592,Sedan X,GA-2, stn-05 ,2026-03-01 18:20,ENG-1447,SUP-087,EMP365,TL-067,A,Tool_67,Torque Wrench,Plant-A,2026-02-10,2026-05-11,Active,95.24,Bosch,SN100066
M7593,MA1AB100000000593,WO10593,SUV Pro,GA-2,STN-04,2026-03-01 18:21,ENG-1177,SUP-170,EMP297,TL-020,A,Tool_20,Robot Arm,Plant-C,2026-06-24,2026-09-22,Active,99.27,Ingersoll Rand,SN100019
M7594,MA1AB100000000594,WO10594,Sedan X,GA-2,STN-05,2026-03-01 18:22,ENG-1434,SUP-121,EMP353,TL-022,A,Tool_22,Press Tool,Plant-C,2026-03-22,2026-06-20,Out of Service,95.43,Bosch,SN100021
M7595,MA1AB100000000595,WO10595,SUV Pro,PAINT-1,STN-02,2026-03-01 18:23,ENG-1169,SUP-072,EMP125,TL-065,B,Tool_65,Torque Wrench,Plant-C,2026-01-31,2026-05-01,Maintenance,97.24,Bosch,SN100064
M7596,MA1AB100000000596,WO10596,Hatch Z,TRIM-1,STN-04,2026-03-01 18:25,ENG-1418,SUP-061,EMP140,TL-059,,Tool_59,Robot Arm,Plant-B,2026-04-15,2026-07-14,Active,95.72,Stanley,SN100058
M7597,MA1AB100000000597,WO10597,Hatch Z,TRIM-1,STN-01,2026-03-01 18:26,ENG-1438,SUP-128,EMP328,TL-041,A,Tool_41,Robot Arm,Plant-A,2026-02-27,2026-05-28,Maintenance,97.13,Atlas Copco,SN100040
M7598,MA1AB100000000598,WO10598,SUV Pro,GA-1,STN-01,2026-03-01 18:27,ENG-1206,SUP-106,EMP118,TL-072,A,Tool_72,Robot Arm,Plant-C,2026-05-05,2026-08-03,Maintenance,99.87,Atlas Copco,SN100071
M7599,MA1AB100000000599,WO10599,Sedan X,PAINT-1,STN-05,2026-03-01 18:28,ENG-1287,SUP-053,EMP333,TL-044,C,Tool_44,Press Tool,Plant-C,2026-01-16,2026-04-16,Maintenance,99.03,Bosch,SN100043
M7600,MA1AB100000000600,WO10600,Sedan X,GA-2,Stn-03,2026-03-01 18:30,ENG-1232,SUP-085,EMP386,TL-099,,Tool_99,Welding Gun,Plant-B,2026-05-20,2026-08-18,Active,97.05,Atlas Copco,SN100098
M7601,MA1AB100000000601,WO10601,Hatch Z,PAINT-1, stn-05 ,2026-03-01 18:31,ENG-1231,SUP-030,EMP149,TL-098,B,Tool_98,Press Tool,Plant-A,2026-06-01,2026-08-30,Active,98.11,Stanley,SN100097
M7602,MA1AB100000000602,WO10602,Sedan X,PAINT-1,STN-03,2026-03-01 18:32,ENG-1424,SUP-163,EMP249,TL-071,C,Tool_71,Welding Gun,Plant-B,2026-04-11,2026-07-10,Active,98.12,Atlas Copco,SN100070
M7603,MA1AB100000000603,WO10603,Hatch Z,GA-1,STN-01,2026-03-01 18:33,ENG-1459,SUP-043,EMP352,TL-018,,Tool_18,Robot Arm,Plant-B,2026-06-15,2026-09-13,Out of Service,95.48,Stanley,SN100017
M7604,MA1AB100000000604,WO10604,Sedan X,PAINT-1,STN-05,2026-03-01 18:35,ENG-1100,SUP-049,EMP161,TL-051,B,Tool_51,Nut Runner,Plant-C,2026-04-06,2026-07-05,Active,97.28,Bosch,SN100050
M7605,MA1AB100000000605,WO10605,SUV Pro,GA-2, stn-05 ,2026-03-01 18:36,ENG-1173,SUP-028,EMP312,TL-006,A,Tool_6,Nut Runner,Plant-B,2026-01-25,2026-04-25,Maintenance,98.24,Ingersoll Rand,SN100005
M7606,MA1AB100000000606,WO10606,SUV Pro,TRIM-1, stn-05 ,2026-03-01 18:37,ENG-1301,SUP-130,EMP168,TL-064,A,Tool_64,Press Tool,Plant-A,2026-02-03,2026-05-04,Active,98.09,Atlas Copco,SN100063
M7607,MA1AB100000000607,WO10607,Hatch Z,GA-1,STN-05,2026-03-01 18:38,ENG-1478,SUP-111,EMP399,TL-062,B,Tool_62,Robot Arm,Plant-A,2026-04-28,2026-07-27,Out of Service,95.44,Bosch,SN100061
M7608,MA1AB100000000608,WO10608,Hatch Z,GA-2, stn-05 ,2026-03-01 18:40,ENG-1417,SUP-033,EMP153,TL-050,C,Tool_50,Welding Gun,Plant-C,2026-04-30,2026-07-29,Maintenance,98.51,Ingersoll Rand,SN100049
