Event_ID,Line,Station,TS,Part_No,Torque,Temp,Pressure,Defect,VIN,Supplier,Work_Order,Sensor_ID,Calibration_Factor,Inspection_Source,Tool_ID,Shift,Scrap_Reason,BOM_Version,Effective_Date
M7727,GA-2,STN-03,2026-03-10 08:07,130-ABC,35 lb-ft,85 C,4.5 bar, ok ,XX100727,SUP-09,WO10727,SEN-006,0.99,Automated,TL-001,B,NA,V2,2025-12-31
M7728,TRIM-1,STN-01,2026-03-10 08:08,112-ABC,60 nm,104F,4.5 bar, ok ,XX100728,SUP-02,WO10728,SEN-008,0.995,Human,TL-004,,Paint,V2,2025-12-31
M7729,GA-2,STN-01,2026-03-10 08:09,118-ABC,45.0 ,85C,5 bar, ok ,XX100729,SUP-16,WO10729,SEN-001,1.028,Automated,TL-007,C,Paint,V2,2025-12-31
M7730,PAINT-1,STN-05,2026-03-10 08:10,133-ABC,45.0 ,104F,4.5 bar,Reject,XX100730,SUP-01,WO10730,SEN-001,1.023,Human,TL-005,B,Dimension,V1,2026-01-01
M7731,TRIM-1,STN-02,2026-03-10 08:11,137-ABC,,40 C,65 psi,Reject,XX100731,SUP-04,WO10731,SEN-005,1.025,Human,TL-018,A,Material,v1,2026-01-01
M7732,GA-1,STN-05,2026-03-10 08:12,122-ABC,45.0 ,85 C,4.5 bar,na,XX100732,SUP-10,WO10732,SEN-008,0.998,Human,TL-018,A,Weld,V2,2026-03-01
M7733,TRIM-1,STN-03,2026-03-10 08:13,139-ABC,60 nm,,5 bar,Repair,XX100733,SUP-09,WO10733,SEN-008,1.013,Human,TL-012,C,NA,V2,2026-03-01
M7734,GA-2,STN-02,2026-03-10 08:14,100-ABC,45.0 ,,65 psi, ok ,XX100734,SUP-05,WO10734,SEN-006,0.998,Human,TL-024,C,Paint,V2,2026-01-01
M7735,PAINT-1,STN-03,2026-03-10 08:15,141-ABC,50Nm,,5 bar,OK,XX100735,SUP-17,WO10735,SEN-009,0.988,Human,TL-025,A,Dimension,V2,2026-01-01
M7736,GA-2,STN-02,2026-03-10 08:16,101-ABC,45.0 ,104F,65 psi,na,XX100736,SUP-06,WO10736,SEN-004,1.028,Automated,TL-001,,NA,V2,2025-12-31
M7737,GA-1,STN-04,2026-03-10 08:17,141-ABC,,104F,65 psi,na,XX100737,SUP-08,WO10737,SEN-003,1.011,Automated,TL-004,B,NA,V2,2026-03-01
M7738,PAINT-1,Stn-03,2026-03-10 08:18,144-ABC,60 nm,40 C,4.5 bar,na,XX100738,SUP-08,WO10738,SEN-001,0.989,Human,TL-023,C,Material,v1,2025-12-31
M7739,TRIM-1,STN-04,2026-03-10 08:19,119-ABC,60 nm,,4.5 bar,Reject,XX100739,SUP-06,WO10739,SEN-009,1.008,Automated,TL-027,C,Weld,V2,2026-03-01
M7740,PAINT-1,STN-02,2026-03-10 08:20,121-ABC,45.0 ,104F,4.5 bar,reject,XX100740,SUP-05,WO10740,SEN-007,1.026,Automated,TL-013,A,Weld,V1,2025-12-31
M7741,PAINT-1,STN-03,2026-03-10 08:21,101-ABC,45,85 C,5 bar,Reject,XX100741,SUP-05,WO10741,SEN-003,0.984,Human,TL-009,C,Weld,v1,2026-01-01
M7742,TRIM-1,STN-05,2026-03-10 08:22,142-ABC,45,40 C,5 bar,reject,XX100742,SUP-16,WO10742,SEN-009,1.016,Automated,TL-012,A,Paint,V2,2025-12-31
M7743,GA-1,STN-04,2026-03-10 08:23,110-ABC,50Nm,104F,65 psi,reject,XX100743,SUP-16,WO10743,SEN-006,0.977,Automated,TL-023,B,Weld,V1,2026-03-01
M7744,TRIM-1,STN-04,2026-03-10 08:24,139-ABC,35 lb-ft,40 C,65 psi,None,XX100744,SUP-19,WO10744,SEN-001,0.992,Human,TL-013,B,Weld,V1,2026-03-01
M7745,GA-2,STN-05,2026-03-10 08:25,128-ABC,35 lb-ft,104F,5 bar,na,XX100745,SUP-03,WO10745,SEN-001,0.971,Automated,TL-010,,Paint,V1,2026-03-01
M7746,GA-2,STN-03,2026-03-10 08:26,129-ABC,60 nm,,5 bar,None,XX100746,SUP-14,WO10746,SEN-003,0.998,Human,TL-029,A,Weld,V1,2026-01-01
M7747,GA-2, stn-05 ,2026-03-10 08:27,102-ABC,45,,5 bar,Reject,XX100747,SUP-01,WO10747,SEN-002,1.014,Automated,TL-011,A,Weld,v1,2026-01-01
M7748,TRIM-1,STN-03,2026-03-10 08:28,137-ABC,35 lb-ft,85 C,65 psi,Reject,XX100748,SUP-08,WO10748,SEN-004,1.03,Automated,TL-019,,Dimension,V2,2025-12-31
M7749,GA-2,Stn-03,2026-03-10 08:29,130-ABC,45.0 ,85C,65 psi,Reject,XX100749,SUP-14,WO10749,SEN-006,1.015,Human,TL-030,,Paint,V1,2026-03-01
M7750,TRIM-1,STN-03,2026-03-10 08:30,149-ABC,45,85 C,4.5 bar,Reject,XX100750,SUP-15,WO10750,SEN-005,0.971,Automated,TL-026,A,Weld,V2,2026-01-01
M7751,GA-2,Stn-03,2026-03-10 08:31,136-ABC,60 nm,40 C,5 bar,OK,XX100751,SUP-14,WO10751,SEN-008,0.989,Automated,TL-022,,Weld,v1,2026-01-01
M7752,PAINT-1, stn-05 ,2026-03-10 08:32,143-ABC,50Nm,85C,5 bar,reject,XX100752,sup-09 ,WO10752,SEN-002,0.993,Automated,TL-028,,Material,v1,2026-01-01
M7753,TRIM-1,STN-05,2026-03-10 08:33,104-ABC,,85 C,65 psi,reject,XX100753,SUP-13,WO10753,SEN-001,1.015,Automated,TL-020,A,Paint,v1,2026-01-01
M7754,GA-2,STN-05,2026-03-10 08:34,131-ABC,50Nm,104F,65 psi, ok ,XX100754,SUP-16,WO10754,SEN-008,0.996,Automated,TL-021,B,Paint,V1,2026-01-01
M7755,PAINT-1,STN-05,2026-03-10 08:35,138-ABC,,,5 bar,Reject,XX100755,SUP-10,WO10755,SEN-010,1.011,Automated,TL-027,,Material,v1,2025-12-31
M7756,GA-1,STN-03,2026-03-10 08:36,114-ABC,45,95 F,4.5 bar,na,XX100756,SUP-03,WO10756,SEN-004,1.02,Automated,TL-016,,Dimension,V2,2025-12-31
M7757,GA-2,STN-03,2026-03-10 08:37,126-ABC,35 lb-ft,95 F,65 psi,OK,XX100757,SUP-14,WO10757,SEN-004,1.021,Human,TL-006,A,Material,v1,2025-12-31
M7758,TRIM-1,Stn-03,2026-03-10 08:38,108-ABC,50Nm,40 C,4.5 bar, ok ,XX100758,SUP-09,WO10758,SEN-002,1.021,Automated,TL-024,B,NA,V2,2025-12-31
M7759,TRIM-1,STN-02,2026-03-10 08:39,103-ABC,,85C,65 psi,reject,XX100759,SUP-09,WO10759,SEN-010,1.014,Automated,TL-999,B,Dimension,V1,2026-01-01
M7760,GA-1,STN-05,2026-03-10 08:40,144-ABC,,40 C,5 bar, ok ,XX100760,SUP-18,WO10760,SEN-007,0.971,Automated,TL-020,,Weld,V1,2026-03-01
M7761,GA-2,STN-01,2026-03-10 08:41,139-ABC,45.0 ,40 C,5 bar, ok ,XX100761,SUP-05,WO10761,SEN-008,1.021,Automated,TL-007,C,NA,V1,2026-01-01
M7762,TRIM-1,STN-03,2026-03-10 08:42,120-ABC,,,4.5 bar,Repair,XX100762,SUP-10,WO10762,SEN-002,0.992,Automated,TL-012,B,Weld,V1,2026-03-01
M7763,PAINT-1, stn-05 ,2026-03-10 08:43,106-ABC,45.0 ,85C,65 psi,reject,XX100763,SUP-11,WO10763,SEN-002,0.986,Human,TL-023,A,Paint,V2,2026-03-01
M7764,GA-1,STN-01,2026-03-10 08:44,122-ABC,45,,65 psi,na,XX100764,SUP-11,WO10764,SEN-009,1.0,Automated,TL-013,C,Dimension,v1,2025-12-31
M7765,TRIM-1,STN-03,2026-03-10 08:45,121-ABC,50Nm,40 C,4.5 bar,None,XX100765,SUP-12,WO10765,SEN-004,1.009,Human,TL-010,A,Material,v1,2026-01-01
M7766,GA-1,STN-05,2026-03-10 08:46,131-ABC,60 nm,85 C,4.5 bar,reject,XX100766,SUP-08,WO10766,SEN-008,0.984,Automated,TL-030,C,Weld,V2,2026-03-01
M7767,GA-2, stn-05 ,2026-03-10 08:47,129-ABC,60 nm,40 C,4.5 bar, ok ,XX100767,SUP-13,WO10767,SEN-009,0.982,Automated,TL-017,,Material,V1,2026-01-01
M7768,PAINT-1,Stn-03,2026-03-10 08:48,146-ABC,50Nm,,65 psi,Repair,XX100768,SUP-09,WO10768,SEN-005,1.006,Human,TL-030,B,Dimension,V2,2026-01-01
M7769,GA-1,STN-01,2026-03-10 08:49,138-ABC,45,,65 psi, ok ,XX100769,SUP-15,WO10769,SEN-007,1.029,Human,TL-028,C,Paint,v1,2025-12-31
M7770,GA-1,STN-04,2026-03-10 08:50,145-ABC,45,,65 psi,Repair,XX100770,SUP-17,WO10770,SEN-001,1.003,Human,TL-008,B,Dimension,V1,2026-01-01
M7771,GA-1,STN-05,2026-03-10 08:51,138-ABC,60 nm,85C,5 bar,OK,XX100771,SUP-20,WO10771,SEN-010,0.973,Automated,TL-030,B,Dimension,V1,2026-01-01
M7772,GA-1,STN-02,2026-03-10 08:52,111-ABC,,95 F,65 psi,Reject,XX100772,SUP-15,WO10772,SEN-009,0.971,Automated,TL-012,A,NA,V1,2026-01-01
M7773,PAINT-1,STN-02,2026-03-10 08:53,129-ABC,45.0 ,85C,5 bar,na,XX100773,SUP-11,WO10773,SEN-010,0.974,Human,TL-005,,Paint,v1,2025-12-31
M7774,GA-1,STN-03,2026-03-10 08:54,127-ABC,45,104F,65 psi, ok ,XX100774,SUP-05,WO10774,SEN-007,0.973,Human,TL-002,C,Paint,v1,2026-01-01
M7775,GA-2,STN-03,2026-03-10 08:55,113-ABC,35 lb-ft,,4.5 bar,reject,XX100775,SUP-03,WO10775,SEN-007,1.001,Automated,TL-010,C,Paint,V2,2025-12-31
M7776,TRIM-1,STN-05,2026-03-10 08:56,103-ABC,60 nm,95 F,4.5 bar,reject,XX100776,SUP-05,WO10776,SEN-010,0.973,Automated,TL-027,,NA,V2,2025-12-31
M7777,TRIM-1,STN-01,2026-03-10 08:57,124-ABC,,,4.5 bar,reject,XX100777,SUP-15,WO10777,SEN-001,1.021,Automated,TL-025,B,Paint,V1,2026-03-01
M7778,GA-1,STN-03,2026-03-10 08:58,134-ABC,45,95 F,65 psi,Repair,XX100778,SUP-07,WO10778,SEN-007,0.971,Automated,TL-030,C,Material,V2,2026-01-01
M7779,GA-1, stn-05 ,2026-03-10 08:59,119-ABC,60 nm,85C,5 bar,reject,XX100779,SUP-05,WO10779,SEN-005,0.978,Human,TL-011,B,NA,V2,2025-12-31
M7780,TRIM-1,STN-04,2026-03-10 09:00,131-ABC,,104F,65 psi,None,XX100780,SUP-10,WO10780,SEN-008,1.004,Automated,TL-029,B,Material,v1,2026-01-01
M7781,GA-2,STN-01,2026-03-10 09:01,141-ABC,50Nm,85C,4.5 bar,reject,XX100781,SUP-12,WO10781,SEN-003,0.993,Automated,TL-027,A,Dimension,v1,2025-12-31
M7782,GA-1, stn-05 ,2026-03-10 09:02,138-ABC,45,104F,4.5 bar,reject,XX100782,SUP-04,WO10782,SEN-006,0.982,Automated,TL-022,A,Paint,V1,2025-12-31
M7783,TRIM-1,STN-04,2026-03-10 09:03,143-ABC,,40 C,5 bar,reject,XX100783,SUP-03,WO10783,SEN-009,0.992,Human,TL-012,A,Paint,v1,2026-03-01
M7784,GA-2,STN-05,2026-03-10 09:04,130-ABC,,85C,65 psi,reject,XX100784,SUP-02,WO10784,SEN-004,0.996,Human,TL-005,B,Paint,v1,2025-12-31
M7785,PAINT-1,STN-05,2026/03/10 09:05,148-ABC,45.0 ,104F,65 psi,Repair,XX100785,SUP-20,WO10785,SEN-004,1.019,Automated,TL-029,A,Material,V2,2025-12-31
M7786,PAINT-1,STN-01,2026-03-10 09:06,106-ABC,,40 C,5 bar,Reject,XX100786,SUP-13,WO10786,SEN-008,1.0,Automated,TL-003,,Weld,V1,2026-03-01
M7787,GA-2,STN-01,2026-03-10 09:07,116-ABC,35 lb-ft,95 F,5 bar, ok ,XX100787,SUP-17,WO10787,SEN-009,0.982,Automated,TL-024,A,Material,V1,2025-12-31
M7788,PAINT-1,STN-02,2026-03-10 09:08,125-ABC,45,104F,4.5 bar, ok ,XX100788,SUP-09,WO10788,SEN-007,0.981,Automated,TL-004,A,Weld,V1,2026-03-01
M7789,PAINT-1, stn-05 ,2026-03-10 09:09,121-ABC,35 lb-ft,,4.5 bar,OK,XX100789,SUP-15,WO10789,SEN-005,0.98,Automated,TL-020,A,Weld,v1,2025-12-31
M7790,PAINT-1,STN-01,2026-03-10 09:10,133-ABC,45,104F,65 psi,Reject,XX100790,SUP-14,WO10790,SEN-010,1.013,Automated,TL-028,B,Material,V1,2025-12-31
M7791,GA-1,STN-02,2026-03-10 09:11,146-ABC,60 nm,85 C,65 psi,reject,XX100791,SUP-11,WO10791,SEN-010,0.975,Automated,TL-009,,Weld,v1,2026-03-01
M7792,PAINT-1,STN-02,2026-03-10 09:12,111-ABC,45.0 ,40 C,5 bar, ok ,XX100792,SUP-05,WO10792,SEN-003,0.981,Human,TL-002,,Dimension,v1,2025-12-31
M7793,GA-1,STN-04,2026-03-10 09:13,121-ABC,45,85 C,5 bar, ok ,XX100793,SUP-12,WO10793,SEN-003,0.976,Human,TL-013,C,Dimension,V1,2025-12-31
M7794,GA-2,STN-04,2026-03-10 09:14,122-ABC,50Nm,40 C,65 psi, ok ,XX100794,SUP-11,WO10794,SEN-009,1.002,Automated,TL-004,C,Material,v1,2026-01-01
M7795,GA-1,STN-04,2026-03-10 09:15,143-ABC,50Nm,104F,65 psi,reject,XX100795,SUP-15,WO10795,SEN-008,0.976,Human,TL-999,A,Weld,V2,2026-01-01
M7796,GA-2,Stn-03,2026-03-10 09:16,104-ABC,50Nm,85C,4.5 bar, ok ,XX100796,SUP-01,WO10796,SEN-004,0.996,Human,TL-005,A,Material,V2,2026-01-01
M7797,TRIM-1,STN-04,2026-03-10 09:17,125-ABC,45.0 ,40 C,5 bar,reject,XX100797,SUP-06,WO10797,SEN-005,1.009,Automated,TL-017,B,Dimension,V2,2025-12-31
M7798,GA-2,STN-01,2026-03-10 09:18,111-ABC,35 lb-ft,104F,4.5 bar,OK,XX100798,SUP-13,WO10798,SEN-008,1.004,Automated,TL-004,B,Paint,V1,2026-03-01
M7799,GA-2,STN-01,2026-03-10 09:19,135-ABC,,85 C,65 psi, ok ,XX100799,SUP-07,WO10799,SEN-006,1.018,Automated,TL-007,A,Material,v1,2026-03-01
M7800,PAINT-1,STN-04,2026-03-10 09:20,120-ABC,,,5 bar,na,XX100800,SUP-08,WO10800,SEN-005,0.98,Automated,TL-022,,Material,V2,2026-01-01
M7801,TRIM-1,STN-04,2026-03-10 09:21,144-ABC,45,95 F,65 psi,OK,XX100801,SUP-14,WO10801,SEN-005,1.002,Automated,TL-023,,Dimension,V2,2025-12-31
M7802,GA-1,STN-03,2026-03-10 09:22,111-ABC,35 lb-ft,,5 bar,Repair,XX100802,SUP-16,WO10802,SEN-008,0.997,Human,TL-999,B,NA,v1,2026-03-01
M7803,PAINT-1,STN-03,2026-03-10 09:23,134-ABC,,104F,4.5 bar,Reject,XX100803,SUP-13,WO10803,SEN-010,1.002,Human,TL-002,B,Paint,V1,2025-12-31
M7804,TRIM-1,STN-05,2026-03-10 09:24,124-ABC,60 nm,40 C,65 psi,Repair,XX100804,SUP-06,WO10804,SEN-008,1.01,Human,TL-001,,NA,V1,2026-01-01
M7805,TRIM-1,STN-01,2026-03-10 09:25,123-ABC,60 nm,40 C,65 psi,None,XX100805,SUP-04,WO10805,SEN-010,0.976,Automated,TL-018,C,NA,V2,2026-03-01
M7806,GA-1,STN-04,2026-03-10 09:26,117-ABC,45,85 C,65 psi,OK,XX100806,SUP-10,WO10806,SEN-007,1.015,Human,TL-002,B,NA,V1,2026-03-01
M7807,TRIM-1,STN-03,2026-03-10 09:27,102-ABC,,95 F,65 psi,reject,XX100807,SUP-18,WO10807,SEN-007,0.993,Automated,TL-008,,Weld,V1,2026-03-01
M7808,TRIM-1,STN-05,2026-03-10 09:28,146-ABC,35 lb-ft,,5 bar,reject,XX100808,SUP-06,WO10808,SEN-007,1.003,Automated,TL-030,C,Material,V1,2025-12-31
M7809,PAINT-1,STN-03,2026-03-10 09:29,112-ABC,,85C,5 bar,OK,XX100809,SUP-08,WO10809,SEN-010,0.994,Human,TL-005,A,NA,V2,2026-03-01
M7810,GA-2,STN-05,2026-03-10 09:30,145-ABC,35 lb-ft,95 F,5 bar, ok ,XX100810,SUP-04,WO10810,SEN-001,0.993,Human,TL-029,,Dimension,v1,2025-12-31
M7811,TRIM-1,STN-01,2026-03-10 09:31,123-ABC,45.0 ,95 F,5 bar,reject,XX100811,SUP-15,WO10811,SEN-007,1.018,Human,TL-016,,Weld,V2,2025-12-31
M7812,TRIM-1,STN-03,2026-03-10 09:32,138-ABC,60 nm,40 C,65 psi,None,XX100812,SUP-04,WO10812,SEN-003,0.971,Automated,TL-015,,Weld,V1,2026-01-01
M7813,GA-1,STN-04,2026-03-10 09:33,148-ABC,45,40 C,65 psi,reject,XX100813,SUP-16,WO10813,SEN-001,1.004,Human,TL-024,C,Paint,V2,2026-01-01
M7814,TRIM-1, stn-05 ,2026-03-10 09:34,106-ABC,50Nm,95 F,4.5 bar,OK,XX100814,SUP-01,WO10814,SEN-005,0.987,Automated,TL-027,B,NA,v1,2025-12-31
M7815,GA-1,Stn-03,2026-03-10 09:35,129-ABC,60 nm,104F,5 bar,Repair,XX100815,SUP-04,WO10815,SEN-002,1.002,Automated,TL-011,,Dimension,v1,2026-01-01
M7816,GA-1,Stn-03,2026-03-10 09:36,129-ABC,60 nm,85C,4.5 bar,OK,XX100816,SUP-13,WO10816,SEN-007,1.016,Human,TL-027,,Material,V2,2026-03-01
M7817,GA-2,STN-01,2026-03-10 09:37,145-ABC,45.0 ,85 C,5 bar,None,XX100817,SUP-17,WO10817,SEN-005,1.013,Human,TL-017,A,Weld,V1,2025-12-31
M7818,PAINT-1,STN-02,2026-03-10 09:38,144-ABC,45,,4.5 bar,Repair,XX100818,SUP-15,WO10818,SEN-002,0.998,Human,TL-024,C,Weld,v1,2026-01-01
M7819,GA-2,STN-03,2026-03-10 09:39,107-ABC,,40 C,4.5 bar,OK,XX100819,SUP-15,WO10819,SEN-002,0.982,Human,TL-005,B,NA,V1,2025-12-31
M7820,GA-1,STN-02,2026-03-10 09:40,145-ABC,35 lb-ft,104F,65 psi,None,XX100820,SUP-13,WO10820,SEN-009,0.985,Human,TL-015,A,Dimension,V2,2026-03-01
M7821,GA-1,STN-02,2026-03-10 09:41,148-ABC,60 nm,95 F,5 bar,Repair,XX100821,SUP-17,WO10821,SEN-003,1.009,Human,TL-016,,Weld,V2,2026-03-01
M7822,GA-2,STN-02,2026-03-10 09:42,118-ABC,50Nm,,4.5 bar,Reject,XX100822,SUP-09,WO10822,SEN-009,0.995,Automated,TL-008,C,Weld,V2,2026-01-01
M7823,PAINT-1,STN-01,2026-03-10 09:43,142-ABC,50Nm,104F,5 bar,na,XX100823,SUP-17,WO10823,SEN-004,1.011,Automated,TL-018,,Paint,V1,2026-03-01
M7824,PAINT-1,Stn-03,2026-03-10 09:44,122-ABC,35 lb-ft,85 C,5 bar,Repair,XX100824,SUP-04,WO10824,SEN-010,0.996,Human,TL-005,,Material,V2,2026-01-01
M7825,TRIM-1,STN-04,2026-03-10 09:45,106-ABC,35 lb-ft,104F,5 bar,None,XX100825,SUP-11,WO10825,SEN-003,1.008,Automated,TL-011,,Material,v1,2025-12-31
M7826,PAINT-1,STN-02,2026-03-10 09:46,109-ABC,35 lb-ft,95 F,65 psi,Reject,XX100826,SUP-01,WO10826,SEN-008,1.016,Automated,TL-007,A,NA,v1,2026-01-01
M7827,GA-1, stn-05 ,2026-03-10 09:47,128-ABC,,40 C,65 psi, ok ,XX100827,SUP-07,WO10827,SEN-007,0.995,Automated,TL-012,B,Dimension,v1,2025-12-31
M7828,GA-1, stn-05 ,2026-03-10 09:48,123-ABC,,95 F,5 bar,na,XX100828,SUP-16,WO10828,SEN-010,0.984,Automated,TL-030,A,Material,v1,2026-01-01
M7829,GA-2,STN-03,2026-03-10 09:49,142-ABC,60 nm,95 F,65 psi,na,XX100829,SUP-17,WO10829,SEN-001,0.971,Human,TL-017,B,Weld,V2,2025-12-31
M7830,GA-2, stn-05 ,2026-03-10 09:50,132-ABC,45.0 ,40 C,4.5 bar,OK,XX100830,SUP-08,WO10830,SEN-006,0.994,Automated,TL-024,C,Material,V1,2026-01-01
M7831,PAINT-1,STN-05,2026-03-10 09:51,114-ABC,60 nm,95 F,4.5 bar, ok ,XX100831,SUP-08,WO10831,SEN-003,0.971,Human,TL-030,,Paint,V1,2025-12-31
M7832,GA-2,STN-05,2026-03-10 09:52,124-ABC,45,,5 bar,reject,XX100832,SUP-07,WO10832,SEN-006,0.996,Human,TL-017,C,Dimension,V1,2025-12-31
M7833,GA-2,STN-02,2026-03-10 09:53,131-ABC,50Nm,85 C,65 psi,OK,XX100833,SUP-01,WO10833,SEN-001,0.996,Human,TL-014,,Weld,V2,2026-03-01
M7834,PAINT-1,STN-02,2026-03-10 09:54,109-ABC,45,85C,65 psi,Reject,XX100834,SUP-10,WO10834,SEN-007,0.992,Human,TL-005,A,Dimension,v1,2026-03-01
M7835,PAINT-1,STN-02,2026-03-10 09:55,112-ABC,45,85 C,4.5 bar,Repair,XX100835,SUP-18,WO10835,SEN-009,0.992,Human,TL-008,,Dimension,V1,2026-01-01
M7836,GA-2,STN-02,2026-03-10 09:56,142-ABC,45.0 ,104F,65 psi,Repair,XX100836,SUP-02,WO10836,SEN-004,1.006,Automated,TL-023,,Weld,V1,2025-12-31
M7837,GA-1,STN-03,2026-03-10 09:57,117-ABC,50Nm,85 C,4.5 bar, ok ,XX100837,SUP-14,WO10837,SEN-007,1.009,Human,TL-028,B,Weld,V1,2026-01-01
M7838,GA-2,Stn-03,2026-03-10 09:58,135-ABC,50Nm,85 C,4.5 bar,OK,XX100838,SUP-18,WO10838,SEN-007,0.995,Automated,TL-011,A,Paint,V2,2025-12-31
M7839,GA-2,STN-03,2026-03-10 09:59,117-ABC,45,,5 bar,OK,XX100839,SUP-14,WO10839,SEN-003,1.02,Automated,TL-009,B,Material,V1,2025-12-31
M7840,GA-1,STN-02,2026-03-10 10:00,126-ABC,35 lb-ft,,65 psi,OK,XX100840,SUP-02,WO10840,SEN-008,1.022,Automated,TL-026,B,Dimension,v1,2025-12-31
M7841,TRIM-1, stn-05 ,2026-03-10 10:01,106-ABC,45,,5 bar,na,XX100841,SUP-13,WO10841,SEN-005,0.998,Automated,TL-030,A,Weld,v1,2025-12-31
M7842,GA-2,STN-04,2026-03-10 10:02,137-ABC,45,95 F,5 bar,na,XX100842,SUP-04,WO10842,SEN-009,1.013,Human,TL-013,,Paint,v1,2025-12-31
M7843,PAINT-1,STN-05,2026-03-10 10:03,140-ABC,35 lb-ft,95 F,5 bar, ok ,XX100843,SUP-14,WO10843,SEN-002,0.977,Automated,TL-027,C,Material,V2,2026-03-01
M7844,GA-2,STN-05,2026-03-10 10:70,130-ABC,45,,65 psi,na,XX100844,SUP-17,WO10844,SEN-006,0.992,Human,TL-019,,Material,v1,2026-03-01
M7845,GA-2,STN-05,2026-03-10 10:05,101-ABC,50Nm,,5 bar,OK,XX100845,SUP-06,WO10845,SEN-010,0.99,Automated,TL-017,B,Dimension,V1,2026-03-01
M7846,GA-2,STN-02,2026-03-10 10:06,138-ABC,60 nm,40 C,5 bar,OK,XX100846,SUP-07,WO10846,SEN-001,0.991,Automated,TL-021,,Material,V2,2026-03-01
M7847,TRIM-1,STN-05,2026-03-10 10:07,144-ABC,,104F,65 psi,Reject,XX100847,SUP-16,WO10847,SEN-005,0.998,Human,TL-007,,NA,V2,2025-12-31
M7848,GA-1,STN-01,2026-03-10 10:08,138-ABC,,95 F,5 bar,na,XX100848,SUP-02,WO10848,SEN-001,0.977,Automated,TL-027,C,Material,V1,2025-12-31
M7849,GA-2, stn-05 ,2026-03-10 10:09,127-ABC,50Nm,85C,65 psi, ok ,XX100849,SUP-15,WO10849,SEN-002,1.024,Human,TL-002,,Material,V2,2026-03-01
M7850,GA-2,STN-05,2026-03-10 10:10,107-ABC,35 lb-ft,85 C,5 bar,OK,XX100850,SUP-13,WO10850,SEN-008,1.016,Automated,TL-030,,Weld,V2,2026-03-01
M7851,GA-2,STN-03,2026-03-10 10:11,117-ABC,,95 F,65 psi,OK,XX100851,SUP-03,WO10851,SEN-010,0.996,Automated,TL-001,A,Material,V2,2026-03-01
M7852,GA-1,STN-03,2026-03-10 10:12,137-ABC,50Nm,104F,65 psi,reject,XX100852,SUP-10,WO10852,SEN-005,0.987,Human,TL-011,B,NA,V2,2025-12-31
M7853,GA-2,STN-05,2026-03-10 10:13,125-ABC,35 lb-ft,85 C,65 psi,na,XX100853,SUP-01,WO10853,SEN-001,1.007,Human,TL-006,,NA,V1,2026-03-01
M7854,TRIM-1,STN-05,2026-03-10 10:14,100-ABC,,40 C,4.5 bar,Repair,XX100854,SUP-15,WO10854,SEN-003,1.019,Automated,TL-012,A,Material,V1,2026-03-01
M7855,GA-1,STN-02,2026-03-10 10:15,143-ABC,45.0 ,95 F,65 psi,na,XX100855,SUP-07,WO10855,SEN-006,0.99,Automated,TL-026,A,Material,V1,2025-12-31
M7856,TRIM-1,STN-03,2026-03-10 10:16,134-ABC,,40 C,4.5 bar,na,XX100856,SUP-14,WO10856,SEN-006,1.018,Automated,TL-024,C,Dimension,v1,2026-01-01
M7857,PAINT-1,STN-01,2026-03-10 10:17,145-ABC,50Nm,95 F,65 psi,OK,XX100857,SUP-17,WO10857,SEN-002,0.974,Human,TL-006,C,Weld,V2,2026-03-01
M7858,GA-1,STN-03,2026-03-10 10:18,134-ABC,50Nm,40 C,5 bar,na,XX100858,SUP-19,WO10858,SEN-007,0.971,Automated,TL-027,C,NA,V1,2025-12-31
M7859,GA-2,STN-02,2026-03-10 10:19,105-ABC,45,95 F,4.5 bar,None,XX100859,SUP-18,WO10859,SEN-007,0.975,Human,TL-008,,Weld,v1,2026-01-01
M7860,PAINT-1,Stn-03,2026-03-10 10:20,119-ABC,60 nm,104F,4.5 bar,na,XX100860,SUP-09,WO10860,SEN-003,1.015,Automated,TL-029,B,Weld,V1,2025-12-31
M7861,PAINT-1,STN-01,2026-03-10 10:21,148-ABC,35 lb-ft,,65 psi,None,XX100861,SUP-14,WO10861,SEN-005,0.996,Human,TL-016,C,NA,V1,2026-01-01
M7862,TRIM-1,STN-01,2026-03-10 10:22,133-ABC,35 lb-ft,104F,5 bar,OK,XX100862,SUP-06,WO10862,SEN-002,0.985,Automated,TL-029,,Dimension,v1,2026-01-01
M7863,GA-2,STN-01,2026-03-10 10:23,146-ABC,45.0 ,104F,5 bar,None,XX100863,SUP-17,WO10863,SEN-010,1.019,Human,TL-010,C,NA,V2,2025-12-31
M7864,TRIM-1, stn-05 ,2026-03-10 10:24,149-ABC,60 nm,40 C,65 psi,OK,XX100864,SUP-11,WO10864,SEN-002,1.008,Automated,TL-021,A,Material,V2,2025-12-31
M7865,TRIM-1,STN-04,2026-03-10 10:25,131-ABC,60 nm,104F,4.5 bar,Reject,XX100865,SUP-12,WO10865,SEN-008,1.009,Human,TL-018,C,Weld,V1,2025-12-31
M7866,PAINT-1,STN-04,2026-03-10 10:26,111-ABC,50Nm,85 C,65 psi, ok ,XX100866,SUP-16,WO10866,SEN-009,1.004,Human,TL-022,B,Paint,V1,2026-01-01
M7867,GA-2,STN-04,2026-03-10 10:27,102-ABC,60 nm,104F,65 psi,None,XX100867,SUP-19,WO10867,SEN-002,1.006,Human,TL-005,A,Material,v1,2026-03-01
