Event_ID,VIN,Work_Order,Model,Line,Station,Timestamp,Part_Number,Supplier_Code,Operator_ID,Tool_ID,Shift,BOM_Status,Machine_ID,Planned_Time_Minutes,Run_Time_Minutes,Downtime_Minutes,Ideal_Cycle_Time,Total_Units,Reject_Units,Good_Units
M7937,MA1AB100000000937,WO10937,Sedan X,GA-1, stn-05 ,2026-03-02 01:31,ENG-1303,SUP-062,EMP350,TL-050,A,Valid,MC-103,480,438,42,1.06,490,10,480
M7938,MA1AB100000000938,WO10938,Hatch Z,PAINT-1,STN-04,2026-03-02 01:32,ENG-1273,SUP-116,EMP108,TL-005,C,Valid,MC-104,480,447,33,0.81,484,8,476
M7939,MA1AB100000000939,WO10939,Sedan X,PAINT-1,Stn-03,2026-03-02 01:33,ENG-1369,SUP-011,EMP307,TL-016,B,Valid,MC-105,480,456,24,1.01,516,8,508
M7940,MA1AB100000000940,WO10940,Hatch Z,TRIM-1, stn-05 ,2026-03-02 01:35,ENG-1445,SUP-138,EMP176,TL-095,B,Valid,MC-101,480,466,14,1.1,573,15,558
M7941,MA1AB100000000941,WO10941,Sedan X,GA-1, stn-05 ,2026-03-02 01:36,ENG-1072,SUP-126,EMP109,TL-061,A,Valid,MC-102,480,454,26,0.99,486,13,473
M7942,MA1AB100000000942,WO10942,Sedan X,GA-2,STN-01,2026-03-02 01:37,ENG-1088,SUP-162,EMP125,TL-040,A,Valid,MC-103,480,431,49,0.87,494,5,489
M7943,MA1AB100000000943,WO10943,SUV Pro,GA-2,Stn-03,2026-03-02 01:38,ENG-1302,SUP-017,EMP154,TL-015,,Valid,MC-104,480,459,21,0.86,574,6,568
M7944,MA1AB100000000944,WO10944,Hatch Z,GA-2,STN-01,2026-03-02 01:40,ENG-1411,SUP-052,EMP318,TL-044,,Valid,MC-105,480,460,20,1.17,456,1,455
M7945,MA1AB100000000945,WO10945,SUV Pro,GA-1, stn-05 ,2026-03-02 01:41,ENG-1294,SUP-140,EMP170,TL-042,B,Valid,MC-101,480,468,12,0.97,558,13,545
M7946,MA1AB100000000946,WO10946,Sedan X,GA-2,STN-03,2026-03-02 01:42,ENG-1032,SUP-031,EMP240,TL-019,,Valid,MC-102,480,469,11,0.81,481,3,478
M7947,MA1AB100000000947,WO10947,Sedan X,PAINT-1,STN-05,2026-03-02 01:43,ENG-1084,SUP-113,EMP224,TL-075,A,Valid,MC-103,480,466,14,0.91,516,0,516
M7948,MA1AB100000000948,WO10948,Sedan X,GA-1,Stn-03,2026-03-02 01:45,ENG-1433,SUP-162,EMP292,TL-100,B,Valid,MC-104,480,434,46,1.08,472,6,466
M7949,MA1AB100000000949,WO10949,Sedan X,TRIM-1,STN-01,2026-03-02 01:46,ENG-1003,SUP-002,EMP191,TL-012,C,Valid,MC-105,480,466,14,0.95,513,12,501
M7950,MA1AB100000000950,WO10950,SUV Pro,TRIM-1, stn-05 ,2026-03-02 01:47,ENG-1064,SUP-053,EMP173,TL-082,C,Valid,MC-101,480,469,11,0.86,498,6,492
M7951,MA1AB100000000951,WO10951,Hatch Z,TRIM-1,STN-04,2026-03-02 01:48,ENG-1122,SUP-045,EMP119,TL-077,B,Valid,MC-102,480,451,29,1.0,463,11,452
M7952,MA1AB100000000952,WO10952,Hatch Z,TRIM-1,STN-05,2026-03-02 01:50,ENG-1486,SUP-023,EMP254,TL-045,,Valid,MC-103,480,478,2,1.01,493,7,486
M7953,MA1AB100000000953,WO10953,Sedan X,GA-2,STN-02,2026-03-02 01:51,ENG-1060,SUP-136,EMP148,TL-080,C,Valid,MC-104,480,443,37,0.81,510,15,495
M7954,MA1AB100000000954,WO10954,Hatch Z,GA-2,STN-04,2026-03-02 01:52,ENG-1394,SUP-161,EMP206,TL-036,A,Valid,MC-105,480,476,4,0.91,514,4,510
M7955,MA1AB100000000955,WO10955,Sedan X,GA-1,Stn-03,2026-03-02 01:53,ENG-1076,SUP-176,EMP342,TL-064,B,Valid,MC-101,480,471,9,0.85,453,3,450
M7956,MA1AB100000000956,WO10956,Sedan X,GA-1,STN-01,2026-03-02 01:55,ENG-1330,SUP-094,EMP245,TL-027,,Valid,MC-102,480,431,49,1.02,457,10,447
M7957,MA1AB100000000957,WO10957,SUV Pro,PAINT-1,STN-05,2026-03-02 01:56,ENG-1412,SUP-195,EMP332,TL-006,A,Valid,MC-103,480,471,9,0.85,489,15,474
M7958,MA1AB100000000958,WO10958,Hatch Z,GA-1,STN-05,2026-03-02 01:57,ENG-1090,SUP-041,EMP114,TL-063,A,Valid,MC-104,480,464,16,0.86,469,7,462
M7959,MA1AB100000000959,WO10959,Sedan X,GA-2, stn-05 ,2026-03-02 01:58,ENG-1227,SUP-152,EMP396,TL-042,,Valid,MC-105,480,459,21,0.99,564,4,560
M7960,MA1AB100000000960,WO10960,Sedan X,PAINT-1,STN-02,2026-03-02 02:00,ENG-1398,SUP-029,EMP266,TL-030,A,Valid,MC-101,480,475,5,1.12,599,7,592
M7961,MA1AB100000000961,WO10961,Sedan X,TRIM-1,Stn-03,2026-03-02 02:01,ENG-1102,SUP-097,EMP212,TL-010,,Valid,MC-102,480,477,3,1.03,479,6,473
M7962,MA1AB100000000962,WO10962,Hatch Z,TRIM-1,STN-01,2026-03-02 02:02,ENG-1455,SUP-112,EMP174,TL-028,,Valid,MC-103,480,452,28,1.15,503,2,501
M7963,MA1AB100000000963,WO10963,Sedan X,TRIM-1,STN-03,2026-03-02 02:03,ENG-1069,SUP-118,EMP199,TL-081,C,Valid,MC-104,480,474,6,1.2,587,7,580
M7964,MA1AB100000000964,WO10964,SUV Pro,GA-2,STN-03,2026-03-02 02:05,ENG-1065,SUP-009,EMP391,TL-008,C,Valid,MC-105,480,435,45,1.14,459,0,459
M7965,MA1AB100000000965,WO10965,Sedan X,GA-1,Stn-03,2026-03-02 02:06,ENG-1238,SUP-118,EMP314,TL-022,C,Valid,MC-101,480,447,33,1.04,502,0,502
M7966,MA1AB100000000966,WO10966,Sedan X,PAINT-1,STN-05,2026-03-02 02:07,ENG-1080,SUP-164,EMP187,TL-074,B,Valid,MC-102,480,476,4,0.94,459,10,449
M7967,MA1AB100000000967,WO10967,Sedan X,TRIM-1,Stn-03,2026-03-02 02:08,ENG-1267,SUP-126,EMP210,TL-076,,Valid,MC-103,480,471,9,0.84,578,0,578
M7968,MA1AB100000000968,WO10968,SUV Pro,PAINT-1,STN-01,2026-03-02 02:10,ENG-1373,SUP-110,EMP226,TL-032,C,Valid,MC-104,480,464,16,0.99,592,6,586
M7969,MA1AB100000000969,WO10969,SUV Pro,GA-2,STN-05,2026-03-02 02:11,ENG-1484,SUP-039,EMP393,TL-001,,Valid,MC-105,480,474,6,1.03,547,6,541
M7970,MA1AB100000000970,WO10970,Sedan X,GA-1,STN-04,2026-03-02 02:12,ENG-1375,SUP-197,EMP358,TL-005,,Valid,MC-101,480,473,7,0.83,581,14,567
M7971,MA1AB100000000971,WO10971,Hatch Z,TRIM-1,STN-04,2026-03-02 02:13,ENG-1414,SUP-179,EMP150,TL-058,,Valid,MC-102,480,451,29,0.92,539,12,527
M7972,MA1AB100000000972,WO10972,Sedan X,GA-1,STN-05,2026-03-02 02:15,ENG-1385,SUP-004,EMP308,TL-028,B,Valid,MC-103,480,456,24,1.14,455,15,440
M7973,MA1AB100000000973,WO10973,SUV Pro,PAINT-1,STN-02,2026-03-02 02:16,ENG-1331,SUP-024,EMP108,TL-062,C,Valid,MC-104,480,474,6,0.92,566,14,552
M7974,MA1AB100000000974,WO10974,Sedan X,TRIM-1,Stn-03,2026-03-02 02:17,ENG-1292,SUP-192,EMP398,TL-004,,Valid,MC-105,480,457,23,1.0,557,12,545
M7975,MA1AB100000000975,WO10975,SUV Pro,GA-2,Stn-03,2026-03-02 02:18,ENG-1360,SUP-104,EMP194,TL-048,,Valid,MC-101,480,463,17,0.83,537,0,537
M7976,MA1AB100000000976,WO10976,Hatch Z,GA-1,Stn-03,2026-03-02 02:20,ENG-1321,SUP-019,EMP297,TL-089,C,Valid,MC-102,480,449,31,1.09,507,6,501
M7977,MA1AB100000000977,WO10977,Hatch Z,GA-1,STN-03,2026-03-02 02:21,ENG-1218,SUP-193,EMP238,TL-090,B,Valid,MC-103,480,471,9,1.02,544,8,536
M7978,MA1AB100000000978,WO10978,Hatch Z,GA-1,STN-05,2026-03-02 02:22,ENG-1450,SUP-086,EMP128,TL-066,C,Valid,MC-104,480,433,47,0.85,489,4,485
M7979,MA1AB100000000979,WO10979,Sedan X,GA-1,STN-04,2026-03-02 02:23,ENG-1187,SUP-120,EMP120,TL-047,C,Valid,MC-105,480,434,46,0.82,462,10,452
M7980,MA1AB100000000980,WO10980,Sedan X,GA-1,STN-05,2026-03-02 02:25,ENG-1363,SUP-199,EMP204,TL-018,C,Valid,MC-101,480,441,39,0.82,534,10,524
M7981,MA1AB100000000981,WO10981,Sedan X,GA-1, stn-05 ,2026-03-02 02:26,ENG-1244,SUP-189,EMP397,TL-090,B,Valid,MC-102,480,438,42,1.08,515,2,513
M7982,MA1AB100000000982,WO10982,Hatch Z,GA-2,STN-03,2026-03-02 02:27,ENG-1180,SUP-069,EMP357,TL-088,,Valid,MC-103,480,433,47,1.13,544,15,529
M7983,MA1AB100000000983,WO10983,SUV Pro,GA-1,STN-01,2026-03-02 02:28,ENG-1190,SUP-089,EMP331,TL-063,A,Valid,MC-104,480,460,20,1.02,483,3,480
M7984,MA1AB100000000984,WO10984,SUV Pro,PAINT-1,STN-04,2026-03-02 02:30,ENG-1317,SUP-095,EMP133,TL-025,,Valid,MC-105,480,430,50,0.94,501,9,492
M7985,MA1AB100000000985,WO10985,Sedan X,GA-1,STN-04,2026-03-02 02:31,ENG-1459,SUP-046,EMP247,TL-010,A,Valid,MC-101,480,468,12,1.09,540,6,534
M7986,MA1AB100000000986,WO10986,Sedan X,PAINT-1,STN-01,2026-03-02 02:32,ENG-1356,SUP-038,EMP354,TL-020,B,Valid,MC-102,480,462,18,1.08,559,0,559
M7987,MA1AB100000000987,WO10987,Hatch Z,GA-1,STN-03,2026-03-02 02:33,ENG-1213,SUP-175,EMP377,TL-017,,Valid,MC-103,480,437,43,0.84,524,2,522
M7988,MA1AB100000000988,WO10988,SUV Pro,TRIM-1,STN-04,2026-03-02 02:35,ENG-1377,SUP-166,EMP110,TL-038,B,Valid,MC-104,480,470,10,0.86,585,7,578
M7989,MA1AB100000000989,WO10989,Sedan X,GA-1,Stn-03,2026-03-02 02:36,ENG-1410,SUP-060,EMP366,TL-083,C,Valid,MC-105,480,437,43,0.97,572,14,558
M7990,MA1AB100000000990,WO10990,SUV Pro,PAINT-1, stn-05 ,2026-03-02 02:37,ENG-1330,SUP-084,EMP348,TL-076,,Valid,MC-101,480,431,49,0.85,503,3,500
M7991,MA1AB100000000991,WO10991,SUV Pro,PAINT-1,STN-05,2026-03-02 02:38,ENG-1067,SUP-079,EMP187,TL-034,B,Valid,MC-102,480,468,12,1.09,514,9,505
M7992,MA1AB100000000992,WO10992,SUV Pro,PAINT-1,STN-03,2026-03-02 02:40,ENG-1394,SUP-013,EMP175,TL-046,C,Valid,MC-103,480,443,37,0.86,549,11,538
M7993,MA1AB100000000993,WO10993,SUV Pro,GA-2,STN-05,2026-03-02 02:41,ENG-1473,SUP-042,EMP374,TL-037,B,Valid,MC-104,480,459,21,0.97,470,14,456
M7994,MA1AB100000000994,WO10994,Sedan X,GA-2,STN-02,2026-03-02 02:42,ENG-1121,SUP-030,EMP121,TL-041,B,Valid,MC-105,480,465,15,0.88,593,8,585
M7995,MA1AB100000000995,WO10995,SUV Pro,PAINT-1,STN-03,2026-03-02 02:43,ENG-1094,SUP-053,EMP387,TL-091,A,Valid,MC-101,480,448,32,1.06,560,9,551
M7996,MA1AB100000000996,WO10996,Hatch Z,PAINT-1,STN-03,2026-03-02 02:45,ENG-1075,SUP-096,EMP329,TL-070,B,Valid,MC-102,480,439,41,1.2,451,15,436
M7997,MA1AB100000000997,WO10997,Hatch Z,PAINT-1,STN-01,2026-03-02 02:46,ENG-1471,SUP-007,EMP307,TL-064,B,Valid,MC-103,480,438,42,0.99,541,5,536
M7998,MA1AB100000000998,WO10998,SUV Pro,PAINT-1,STN-02,2026-03-02 02:47,ENG-1002,SUP-190,EMP379,TL-065,C,Valid,MC-104,480,437,43,1.17,460,14,446
M7999,XX1 2 3 4,WO10999,Hatch Z,PAINT-1,STN-04,2026-03-02 02:48,ENG-1458,SUP-075,EMP393,TL-086,B,Valid,MC-105,480,442,38,0.96,555,15,540
M8000,MA1AB100000001000,WO11000,Hatch Z,TRIM-1,STN-03,2026-03-02 02:50,ENG-1352,SUP-029,EMP345,TL-006,B,Valid,MC-101,480,451,29,1.02,555,12,543
M8001,MA1AB100000001001,WO11001,Hatch Z,GA-1,STN-03,2026-03-02 02:51,ENG-1012,SUP-103,EMP212,TL-058,C,Valid,MC-102,480,437,43,1.08,571,4,567
M8002,MA1AB100000001002,WO11002,Sedan X,PAINT-1,STN-01,2026-03-02 02:52,ENG-1311,SUP-165,EMP199,TL-075,B,Valid,MC-103,480,479,1,0.96,527,13,514
M8003,MA1AB100000001003,WO11003,SUV Pro,GA-2,STN-01,2026-03-02 02:53,ENG-1042,SUP-138,EMP328,TL-087,A,Valid,MC-104,480,454,26,1.12,495,4,491
M8004,MA1AB100000001004,WO11004,Hatch Z,TRIM-1,STN-02,2026-03-02 02:55,ENG-1251,SUP-082,EMP361,TL-008,C,Valid,MC-105,480,459,21,1.02,585,11,574
M8005,MA1AB100000001005,WO11005,SUV Pro,GA-2, stn-05 ,2026-03-02 02:56,ENG-1437,SUP-110,EMP289,TL-050,C,Valid,MC-101,480,455,25,0.99,461,13,448
M8006,MA1AB100000001006,WO11006,Sedan X,PAINT-1,STN-03,2026-03-02 02:57,ENG-1179,SUP-079,EMP328,TL-072,A,Valid,MC-102,480,480,0,0.9,557,5,552
M8007,MA1AB100000001007,WO11007,Sedan X,TRIM-1, stn-05 ,2026-03-02 02:58,ENG-1212,SUP-114,EMP247,TL-021,,Valid,MC-103,480,461,19,0.93,533,5,528
M8008,MA1AB100000001008,WO11008,Hatch Z,TRIM-1,STN-02,2026-03-02 03:00,ENG-1427,SUP-151,EMP144,TL-019,B,Valid,MC-104,480,469,11,1.19,458,4,454
M8009,MA1AB100000001009,WO11009,SUV Pro,TRIM-1,Stn-03,2026-03-02 03:01,ENG-1268,SUP-086,EMP133,TL-076,,Valid,MC-105,480,469,11,0.88,523,1,522
M8010,MA1AB100000001010,WO11010,Sedan X,GA-1,STN-04,2026-03-02 03:02,ENG-1327,SUP-070,EMP312,TL-023,,Valid,MC-101,480,477,3,1.14,593,11,582
M8011,MA1AB100000001011,WO11011,Hatch Z,GA-2,STN-02,2026-03-02 03:03,ENG-1095,SUP-098,EMP248,TL-071,,Valid,MC-102,480,430,50,0.84,513,4,509
M8012,MA1AB100000001012,WO11012,Sedan X,PAINT-1,Stn-03,2026-03-02 03:05,ENG-1299,SUP-078,EMP352,TL-072,,Valid,MC-103,480,469,11,0.84,453,9,444
M8013,MA1AB100000001013,WO11013,Sedan X,GA-1,Stn-03,2026-03-02 03:06,ENG-1001,SUP-040,EMP234,TL-039,,Valid,MC-104,480,439,41,0.91,560,8,552
M8014,MA1AB100000001014,WO11014,Sedan X,PAINT-1,STN-04,2026-03-02 03:07,ENG-1091,SUP-126,EMP225,TL-004,A,Valid,MC-105,480,474,6,1.13,503,15,488
M8015,MA1AB100000001015,WO11015,SUV Pro,TRIM-1,STN-01,2026-03-02 03:08,ENG-1001,SUP-154,EMP285,TL-075,,Valid,MC-101,480,454,26,1.1,501,14,487
M8016,MA1AB100000001016,WO11016,Hatch Z,TRIM-1,Stn-03,2026-03-02 03:10,ENG-1132,SUP-161,EMP343,TL-089,A,Valid,MC-102,480,445,35,1.02,570,6,564
M8017,MA1AB100000001017,WO11017,SUV Pro,GA-1,Stn-03,2026-03-02 03:11,ENG-1132,SUP-042,EMP397,TL-008,B,Valid,MC-103,480,447,33,0.99,474,8,466
M8018,MA1AB100000001018,WO11018,SUV Pro,TRIM-1, stn-05 ,2026-03-02 03:12,ENG-1069,SUP-092,EMP183,TL-007,C,Valid,MC-104,480,455,25,1.13,543,14,529
M8019,MA1AB100000001019,WO11019,SUV Pro,TRIM-1, stn-05 ,2026-03-02 03:13,ENG-1466,SUP-092,EMP124,TL-038,C,Valid,MC-105,480,446,34,0.93,549,15,534
M8020,MA1AB100000001020,WO11020,Hatch Z,GA-1,STN-05,2026-03-02 03:15,ENG-1099,SUP-197,EMP193,TL-098,A,Valid,MC-101,480,442,38,0.88,523,7,516
M8021,MA1AB100000001021,WO11021,Hatch Z,GA-2,STN-05,2026-03-02 03:16,ENG-1165,SUP-081,EMP254,TL-035,C,Valid,MC-102,480,466,14,0.88,549,11,538
M8022,MA1AB100000001022,WO11022,Sedan X,PAINT-1,Stn-03,2026-03-02 03:17,ENG-1073,SUP-004,EMP170,TL-067,C,Valid,MC-103,480,471,9,1.09,534,4,530
M8023,MA1AB100000001023,WO11023,SUV Pro,TRIM-1,STN-04,2026-03-02 03:18,ENG-1174,SUP-042,EMP152,TL-028,B,Valid,MC-104,480,466,14,0.86,547,10,537
M8024,MA1AB100000001024,WO11024,Hatch Z,GA-2,Stn-03,2026-03-02 03:20,ENG-1096,SUP-144,EMP369,TL-069,A,Valid,MC-105,480,465,15,0.84,479,3,476
M8025,MA1AB100000001025,WO11025,SUV Pro,TRIM-1,STN-01,2026-03-02 03:21,ENG-1059,SUP-034,EMP108,TL-062,C,Valid,MC-101,480,452,28,0.99,457,2,455
M8026,MA1AB100000001026,WO11026,SUV Pro,PAINT-1,STN-02,2026-03-02 03:22,ENG-1418,SUP-114,EMP367,TL-098,C,Valid,MC-102,480,478,2,1.19,590,14,576
M8027,MA1AB100000001027,WO11027,Sedan X,PAINT-1,STN-01,2026-03-02 03:23,ENG-1381,SUP-031,EMP213,TL-017,B,Valid,MC-103,480,472,8,1.0,534,15,519
M8028,MA1AB100000001028,WO11028,Hatch Z,GA-2,STN-03,2026-03-02 03:25,ENG-1064,SUP-054,EMP166,TL-011,,Valid,MC-104,480,461,19,0.8,517,10,507
M8029,MA1AB100000001029,WO11029,Hatch Z,GA-1,STN-01,2026-03-02 03:26,ENG-1009,SUP-199,EMP347,TL-097,,Valid,MC-105,480,462,18,1.09,477,6,471
M8030,MA1AB100000001030,WO11030,Sedan X,GA-2,STN-01,2026-03-02 03:27,ENG-1016,SUP-169,EMP362,TL-076,A,Valid,MC-101,480,436,44,0.95,567,7,560
M8031,MA1AB100000001031,WO11031,SUV Pro,GA-1,STN-03,2026-03-02 03:28,ENG-1022,SUP-017,EMP254,TL-086,A,Valid,MC-102,480,459,21,1.11,469,0,469
M8032,MA1AB100000001032,WO11032,Sedan X,GA-1,STN-05,2026-03-02 03:30,ENG-1105,SUP-151,EMP202,TL-024,C,Valid,MC-103,480,443,37,1.05,479,12,467
M8033,MA1AB100000001033,WO11033,Sedan X,GA-1,STN-02,2026-03-02 03:31,ENG-1433,SUP-192,EMP242,TL-075,C,Valid,MC-104,480,454,26,1.19,450,7,443
M8034,MA1AB100000001034,WO11034,SUV Pro,GA-2,Stn-03,2026-03-02 03:32,ENG-1256,SUP-200,EMP223,TL-065,A,Valid,MC-105,480,471,9,0.82,494,15,479
M8035,MA1AB100000001035,WO11035,Sedan X,GA-1,STN-05,2026-03-02 03:33,ENG-1111,SUP-184,EMP198,TL-037,B,Valid,MC-101,480,473,7,1.08,482,5,477
M8036,MA1AB100000001036,WO11036,Hatch Z,GA-1, stn-05 ,2026-03-02 03:35,ENG-1050,SUP-055,EMP358,TL-091,,Valid,MC-102,480,474,6,0.82,599,11,588
M8037,MA1AB100000001037,WO11037,SUV Pro,GA-2,STN-04,2026-03-02 03:36,ENG-1344,SUP-028,EMP192,TL-046,,Valid,MC-103,480,441,39,0.87,460,4,456
M8038,MA1AB100000001038,WO11038,SUV Pro,GA-2,STN-05,2026/03/02 03:37,ENG-1116,SUP-105,EMP157,TL-098,C,Valid,MC-104,480,459,21,0.9,581,9,572
M8039,MA1AB100000001039,WO11039,Sedan X,TRIM-1,STN-01,2026-03-02 03:38,ENG-1266,SUP-035,EMP353,TL-098,C,Valid,MC-105,480,462,18,1.01,579,10,569
M8040,MA1AB100000001040,WO11040,Hatch Z,PAINT-1,STN-05,2026-03-02 03:40,ENG-1369,SUP-011,EMP142,TL-042,,Valid,MC-101,480,468,12,1.19,498,4,494
M8041,MA1AB100000001041,WO11041,Sedan X,TRIM-1,STN-03,2026-03-02 03:41,ENG-1233,SUP-154,EMP259,TL-088,,Valid,MC-102,480,477,3,1.14,489,2,487
M8042,MA1AB100000001042,WO11042,Sedan X,TRIM-1,STN-03,2026-03-02 03:42,ENG-1437,SUP-110,EMP196,TL-009,,Valid,MC-103,480,453,27,0.86,456,14,442
M8043,MA1AB100000001043,WO11043,Hatch Z,PAINT-1,STN-02,2026-03-02 03:43,ENG-1006,SUP-173,EMP351,TL-087,A,Valid,MC-104,480,479,1,1.05,533,0,533
M8044,MA1AB100000001044,WO11044,SUV Pro,TRIM-1,STN-05,2026-03-02 03:45,ENG-1337,SUP-174,EMP143,TL-016,B,Valid,MC-105,480,470,10,1.14,561,9,552
M8045,MA1AB100000001045,WO11045,SUV Pro,TRIM-1, stn-05 ,2026-03-02 03:46,ENG-1302,SUP-027,EMP186,TL-009,C,Valid,MC-101,480,472,8,0.86,494,5,489
M8046,MA1AB100000001046,WO11046,Sedan X,PAINT-1,STN-02,2026-03-02 03:47,ENG-1304,SUP-104,EMP162,TL-030,,Valid,MC-102,480,449,31,0.88,540,4,536
M8047,MA1AB100000001047,WO11047,Hatch Z,TRIM-1,STN-03,2026-03-02 03:48,ENG-1391,SUP-183,EMP397,TL-076,C,Valid,MC-103,480,479,1,0.98,511,3,508
M8048,MA1AB100000001048,WO11048,Hatch Z,TRIM-1,STN-03,2026-03-02 03:50,ENG-1243,SUP-171,EMP307,TL-063,C,Valid,MC-104,480,479,1,1.03,552,8,544
M8049,MA1AB100000001049,WO11049,Sedan X,TRIM-1,STN-01,2026-03-02 03:51,ENG-1062,SUP-065,EMP350,TL-064,B,Valid,MC-105,480,473,7,0.95,592,9,583
M8050,MA1AB100000001050,WO11050,Hatch Z,GA-2,STN-01,2026-03-02 03:52,ENG-1050,SUP-189,EMP127,TL-009,,Valid,MC-101,480,443,37,1.1,510,6,504
M8051,MA1AB100000001051,WO11051,Hatch Z,GA-1,STN-02,2026-03-02 03:53,ENG-1195,SUP-155,EMP267,TL-020,C,Valid,MC-102,480,477,3,0.85,521,9,512
M8052,MA1AB100000001052,WO11052,Hatch Z,GA-1,Stn-03,2026-03-02 03:55,ENG-1039,SUP-170,EMP366,TL-099,,Valid,MC-103,480,474,6,0.83,521,9,512
M8053,MA1AB100000001053,WO11053,SUV Pro,GA-2,STN-03,2026-03-02 03:56,ENG-1338,SUP-128,EMP351,TL-065,C,Valid,MC-104,480,475,5,1.07,457,0,457
M8054,MA1AB100000001054,WO11054,Hatch Z,PAINT-1,Stn-03,2026-03-02 03:57,ENG-1440,SUP-139,EMP379,TL-003,A,Valid,MC-105,480,477,3,1.0,513,0,513
M8055,MA1AB100000001055,WO11055,SUV Pro,GA-1,STN-04,2026-03-02 03:70,ENG-1230,SUP-081,EMP292,TL-057,,Valid,MC-101,480,438,42,0.84,592,5,587
M8056,MA1AB100000001056,WO11056,Sedan X,GA-1,STN-02,2026-03-02 04:00,ENG-1285,SUP-169,EMP255,TL-091,B,Valid,MC-102,480,467,13,0.97,553,1,552
M8057,MA1AB100000001057,WO11057,SUV Pro,TRIM-1,STN-02,2026-03-02 04:01,ENG-1159,SUP-184,EMP299,TL-063,A,Valid,MC-103,480,468,12,0.88,472,10,462
M8058,MA1AB100000001058,WO11058,Hatch Z,TRIM-1, stn-05 ,2026-03-02 04:02,ENG-1283,SUP-176,EMP376,TL-074,,Valid,MC-104,480,432,48,1.0,538,10,528
M8059,MA1AB100000001059,WO11059,SUV Pro,GA-2,STN-05,2026-03-02 04:03,ENG-1028,SUP-101,EMP234,TL-064,,Valid,MC-105,480,480,0,1.02,469,3,466
M8060,MA1AB100000001060,WO11060,Hatch Z,PAINT-1,Stn-03,2026-03-02 04:05,ENG-1145,SUP-083,EMP131,TL-004,A,Valid,MC-101,480,433,47,0.92,554,15,539
M8061,MA1AB100000001061,WO11061,Sedan X,PAINT-1,STN-03,2026-03-02 04:06,ENG-1414,SUP-190,EMP398,TL-004,C,Valid,MC-102,480,435,45,1.04,585,13,572
M8062,MA1AB100000001062,WO11062,SUV Pro,GA-1,STN-04,2026-03-02 04:07,ENG-1176,SUP-092,EMP310,TL-045,A,Valid,MC-103,480,445,35,1.03,574,2,572
M8063,MA1AB100000001063,WO11063,Hatch Z,GA-2,STN-02,2026-03-02 04:08,ENG-1120,SUP-166,EMP259,TL-076,A,Valid,MC-104,480,471,9,0.81,523,4,519
M8064,MA1AB100000001064,WO11064,Hatch Z,GA-1,Stn-03,2026-03-02 04:10,ENG-1156,SUP-030,EMP272,TL-022,A,Valid,MC-105,480,458,22,1.13,527,0,527
M8065,MA1AB100000001065,WO11065,Hatch Z,PAINT-1,STN-01,2026-03-02 04:11,ENG-1235,SUP-169,EMP316,TL-073,,Valid,MC-101,480,436,44,0.81,547,5,542
M8066,MA1AB100000001066,WO11066,SUV Pro,GA-1, stn-05 ,2026-03-02 04:12,ENG-1240,SUP-151,EMP111,TL-041,,Valid,MC-102,480,452,28,1.04,564,9,555
M8067,MA1AB100000001067,WO11067,Hatch Z,TRIM-1,STN-03,2026-03-02 04:13,ENG-1293,SUP-026,EMP350,TL-013,B,Valid,MC-103,480,447,33,0.96,529,5,524
M8068,MA1AB100000001068,WO11068,SUV Pro,TRIM-1,STN-05,2026-03-02 04:15,ENG-1415,SUP-196,EMP273,TL-022,C,Valid,MC-104,480,452,28,1.03,455,6,449
M8069,MA1AB100000001069,WO11069,SUV Pro,TRIM-1,STN-02,2026-03-02 04:16,ENG-1254,SUP-163,EMP138,TL-069,B,Valid,MC-105,480,477,3,0.84,494,7,487
M8070,MA1AB100000001070,WO11070,SUV Pro,PAINT-1,STN-01,2026-03-02 04:17,ENG-1152,SUP-147,EMP305,TL-029,A,Valid,MC-101,480,474,6,0.87,476,13,463
M8071,MA1AB100000001071,WO11071,Hatch Z,GA-1,STN-05,2026-03-02 04:18,ENG-1172,SUP-070,EMP134,TL-073,,Valid,MC-102,480,442,38,0.89,559,7,552
M8072,MA1AB100000001072,WO11072,SUV Pro,GA-2,STN-03,2026-03-02 04:20,ENG-1407,SUP-020,EMP254,TL-065,C,Valid,MC-103,480,441,39,0.99,580,1,579
M8073,MA1AB100000001073,WO11073,SUV Pro,PAINT-1,STN-02,2026-03-02 04:21,ENG-1212,SUP-103,EMP228,TL-080,,Valid,MC-104,480,450,30,0.97,463,15,448
M8074,MA1AB100000001074,WO11074,Hatch Z,GA-2,STN-01,2026-03-02 04:22,ENG-1321,SUP-181,EMP364,TL-024,,Valid,MC-105,480,440,40,1.06,472,13,459
M8075,MA1AB100000001075,WO11075,Sedan X,TRIM-1,STN-03,2026-03-02 04:23,ENG-1479,SUP-164,EMP372,TL-079,,Valid,MC-101,480,445,35,1.16,600,12,588
M8076,MA1AB100000001076,WO11076,Hatch Z,GA-1,STN-05,2026-03-02 04:25,ENG-1102,SUP-094,EMP336,TL-019,B,Valid,MC-102,480,437,43,1.05,593,12,581
M8077,MA1AB100000001077,WO11077,Sedan X,PAINT-1,Stn-03,2026-03-02 04:26,ENG-1222,SUP-106,EMP263,TL-009,B,Valid,MC-103,480,450,30,1.01,476,4,472
